78	0.032	4	task-0:0.254	|	0.285027	0.241859	0.229049	0.222988	0.222938	0.222417	0.21956	0.206212	0.217353	0.201186	0.187018	0.186431	0.180846	0.176972	0.172309	0.16779	0.16307	0.15751	0.151712	0.146676	0.142674	0.137757	0.119127	0.0960443	0.0938429	0.086366	0.0715359	0.0619164	0.0524301	0.0406138	0.031185	0.0227334	0.0157439	0.0106147	0.00709313	0.00562158	0.00398583	0.00271842	0.00174585	0.00102243	0.000549741	0.00026477	0.000117334	4.44029e-005	1.39304e-005	3.53152e-006	7.10694e-007	1.05513e-007	1.10653e-008	7.47657e-010	3.00675e-011	9.92107e-011	1.67466e-012	5.05035e-012	5.05035e-012	1.66301e-012	6.57344e-013	3.22839e-013	1.56375e-013	8.18092e-014	3.99823e-014	1.61988e-014	5.78802e-015	1.875e-015	5.79461e-016	2.33142e-016	1.07959e-016	4.28719e-017	1.49111e-017	5.0058e-018	2.02749e-018	2.53089e-018	8.35243e-019	2.57226e-018	2.52599e-018	9.53267e-019	7.62432e-019	7.12952e-019	

60	0.031	4	task-0:0.47	|	0.297152	0.240965	0.230414	0.222472	0.222428	0.222968	0.219098	0.202602	0.20099	0.181172	0.177732	0.175426	0.160484	0.161689	0.157862	0.156851	0.156883	0.1543	0.154809	0.153895	0.152875	0.152448	0.151766	0.151058	0.150277	0.149364	0.148369	0.1473	0.146067	0.144329	0.1409	0.131753	0.116294	0.105869	0.101019	0.0959769	0.0910132	0.0861856	0.0816224	0.0774694	0.0738373	0.0710069	0.0671471	0.063556	0.0592955	0.0548272	0.0496217	0.0439579	0.0377649	0.0310123	0.0241142	0.0174691	0.0115643	0.0068341	0.00350868	0.00153251	0.000569587	0.000194777	7.96982e-005	9.17547e-005	

156	0.078	4	task-0:0.096	|	0.276325	0.31916	0.318118	0.250865	0.299353	0.299351	0.226561	0.258469	0.256903	0.227701	0.230619	0.230619	0.22206	0.22881	0.228201	0.222502	0.22181	0.221558	0.220159	0.219767	0.21866	0.217688	0.216718	0.215205	0.213292	0.210862	0.207758	0.213835	0.209436	0.195063	0.190876	0.187335	0.184142	0.180281	0.178422	0.173869	0.16991	0.167001	0.162977	0.15992	0.156278	0.152148	0.148417	0.144759	0.142865	0.14049	0.138672	0.137114	0.135704	0.134308	0.133997	0.132832	0.133373	0.132908	0.131197	0.130284	0.129194	0.127764	0.126145	0.124111	0.121491	0.117594	0.106296	0.0783614	0.0644511	0.0578847	0.0500479	0.042001	0.0339248	0.0268097	0.0217678	0.0200684	0.0165866	0.0144882	0.0124926	0.00997689	0.00788662	0.00594833	0.00418952	0.00280491	0.00175255	0.00101534	0.000537309	0.000297407	0.000179235	0.00011371	6.81586e-005	3.89009e-005	2.3116e-005	1.37036e-005	8.66433e-006	4.88529e-006	3.27697e-006	2.20557e-006	1.49911e-006	1.02207e-006	6.50797e-007	3.81017e-007	2.04837e-007	1.00147e-007	4.35948e-008	1.65655e-008	5.3447e-009	3.68413e-009	1.78388e-009	1.09281e-009	7.09377e-010	4.3491e-010	2.82126e-010	2.12914e-010	1.56187e-010	1.11546e-010	7.70314e-011	5.11853e-011	3.20166e-011	1.86418e-011	1.00042e-011	4.81944e-012	2.80569e-012	1.7466e-012	1.07635e-012	8.52351e-013	4.96336e-013	3.09691e-013	1.95718e-013	1.28741e-013	8.25612e-014	5.57454e-014	4.11644e-014	2.69673e-014	1.77208e-014	1.13046e-014	6.76599e-015	3.74745e-015	1.91376e-015	1.13075e-015	7.67049e-016	4.28884e-016	2.4133e-016	1.28637e-016	6.38094e-017	4.01513e-017	2.74001e-017	1.80321e-017	1.75069e-017	1.07076e-017	7.81527e-018	5.94459e-018	4.48608e-018	3.30077e-018	2.55973e-018	2.05173e-018	1.63356e-018	1.32051e-018	1.08103e-018	8.84764e-019	

156	0.078	4	task-0:0.096	|	0.276325	0.31916	0.318118	0.250865	0.299353	0.299351	0.226561	0.258469	0.256903	0.227701	0.230619	0.230619	0.22206	0.22881	0.228201	0.222502	0.22181	0.221558	0.220159	0.219767	0.21866	0.217688	0.216718	0.215205	0.213292	0.210862	0.207758	0.213835	0.209436	0.195063	0.190876	0.187335	0.184142	0.180281	0.178422	0.173869	0.16991	0.167001	0.162977	0.15992	0.156278	0.152148	0.148417	0.144759	0.142865	0.14049	0.138672	0.137114	0.135704	0.134308	0.133997	0.132832	0.133373	0.132908	0.131197	0.130284	0.129194	0.127764	0.126145	0.124111	0.121491	0.117594	0.106296	0.0783614	0.0644511	0.0578847	0.0500479	0.042001	0.0339248	0.0268097	0.0217678	0.0200684	0.0165866	0.0144882	0.0124926	0.00997689	0.00788662	0.00594833	0.00418952	0.00280491	0.00175255	0.00101534	0.000537309	0.000297407	0.000179235	0.00011371	6.81586e-005	3.89009e-005	2.3116e-005	1.37036e-005	8.66433e-006	4.88529e-006	3.27697e-006	2.20557e-006	1.49911e-006	1.02207e-006	6.50797e-007	3.81017e-007	2.04837e-007	1.00147e-007	4.35948e-008	1.65655e-008	5.3447e-009	3.68413e-009	1.78388e-009	1.09281e-009	7.09377e-010	4.3491e-010	2.82126e-010	2.12914e-010	1.56187e-010	1.11546e-010	7.70314e-011	5.11853e-011	3.20166e-011	1.86418e-011	1.00042e-011	4.81944e-012	2.80569e-012	1.7466e-012	1.07635e-012	8.52351e-013	4.96336e-013	3.09691e-013	1.95718e-013	1.28741e-013	8.25612e-014	5.57454e-014	4.11644e-014	2.69673e-014	1.77208e-014	1.13046e-014	6.76599e-015	3.74745e-015	1.91376e-015	1.13075e-015	7.67049e-016	4.28884e-016	2.4133e-016	1.28637e-016	6.38094e-017	4.01513e-017	2.74001e-017	1.80321e-017	1.75069e-017	1.07076e-017	7.81527e-018	5.94459e-018	4.48608e-018	3.30077e-018	2.55973e-018	2.05173e-018	1.63356e-018	1.32051e-018	1.08103e-018	8.84764e-019	

90	0.031	4	task-0:0.294	|	0.35392	0.221716	0.220559	0.22841	0.223541	0.203654	0.185391	0.165887	0.152684	0.149592	0.146791	0.141659	0.145305	0.143843	0.139299	0.138876	0.137909	0.136757	0.136559	0.135882	0.135837	0.135615	0.135428	0.135375	0.128538	0.232619	0.230819	0.130159	0.130876	0.130792	0.11948	0.117616	0.119122	0.116728	0.109302	0.103806	0.0980267	0.0901802	0.0817221	0.0726584	0.0640116	0.0568978	0.0517325	0.0480831	0.0454179	0.0430996	0.0412692	0.0389763	0.0365745	0.0338778	0.030852	0.0275611	0.023964	0.020168	0.0162978	0.0125084	0.00900204	0.0059792	0.00359589	0.00191445	0.000879137	0.000338083	0.000105313	2.55867e-005	4.6502e-006	6.14374e-007	7.98912e-008	9.14987e-008	2.10316e-008	3.12195e-008	1.68634e-008	6.29502e-009	2.39327e-009	1.09078e-009	3.74974e-010	7.36569e-011	1.85121e-011	1.28066e-011	4.98853e-012	1.2882e-012	2.90063e-013	5.32445e-014	7.72052e-015	7.49487e-016	5.13891e-017	6.49984e-018	1.78089e-018	3.29296e-019	4.45926e-020	5.05566e-021	

60	0.016	4	task-0:0.47	|	0.297152	0.240965	0.230414	0.222472	0.222428	0.222968	0.219098	0.202602	0.20099	0.181172	0.177732	0.175426	0.160484	0.161689	0.157862	0.156851	0.156883	0.1543	0.154809	0.153895	0.152875	0.152448	0.151766	0.151058	0.150277	0.149364	0.148369	0.1473	0.146067	0.144329	0.1409	0.131753	0.116294	0.105869	0.101019	0.0959769	0.0910132	0.0861856	0.0816224	0.0774694	0.0738373	0.0710069	0.0671471	0.063556	0.0592955	0.0548272	0.0496217	0.0439579	0.0377649	0.0310123	0.0241142	0.0174691	0.0115643	0.0068341	0.00350868	0.00153251	0.000569587	0.000194777	7.96982e-005	9.17547e-005	
