108	0.063	1	0	task-3:0.454	task-0:0.142	task-1:0.088	task-2:0.45	|	0.0556615	0.0550596	0.0542832	0.0540522	0.053665	0.0532893	0.0531296	0.0530419	0.053018	0.0529771	0.0529366	0.0530384	0.0529285	0.0529246	0.0529165	0.0529001	0.0528712	0.0528965	0.0530002	0.0519638	0.0506915	0.0472657	0.041179	0.0344395	0.0319332	0.0307107	0.029283	0.0265063	0.0218203	0.0166165	0.01887	0.0157431	0.0127875	0.011916	0.0118122	0.01161	0.0111896	0.0106295	0.0100222	0.00914631	0.00766906	0.00595282	0.00531605	0.00526946	0.00402049	0.00385068	0.00366807	0.00342263	0.00305864	0.00265712	0.002443	
441	0.203	2	0	task-3:0.318	task-0:0.104	task-1:0.078	task-2:0.34	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052532	0.0518571	0.0503617	0.0494077	0.0480485	0.0472166	0.046123	0.0452055	0.0439184	0.0429142	0.0415558	0.0403685	0.0383597	0.0394634	0.0375846	0.0372053	0.0368742	0.0364799	0.036114	0.0356934	0.0352193	0.0346736	0.0344994	0.0340579	0.0335182	0.0329768	0.0327648	0.0322027	0.0313818	0.0305932	0.0303078	0.0299075	0.029577	0.029182	0.0283205	0.0266423	0.0263405	0.0337053	0.0242233	0.023988	0.0236958	0.023067	0.0218727	0.0204176	0.0343614	0.0199727	0.0198183	0.0196742	0.0194725	0.0190311	0.0182523	0.0178388	0.0250758	0.017201	0.0171147	0.0170084	0.0167883	0.0164258	0.0162902	0.0160877	0.0159939	0.015799	0.0154441	0.0148617	0.0156366	0.0203167	0.013839	0.0137866	0.0137017	0.0135257	0.0132162	0.0129744	0.0135274	0.0126654	0.0126066	0.0125166	0.0124136	0.0123696	0.0123138	0.0122545	0.0121549	0.0120486	0.0119301	0.0118052	0.0116782	0.0116119	0.0115854	0.0115362	0.0114902	0.0114378	0.0113968	0.0113325	0.0113037	0.0112612	0.0112249	0.0111783	0.0111349	0.0111069	0.0110652	0.0110332	0.0109595	0.0108183	0.0106299	0.0107136	0.010502	0.010418	0.0104023	0.0103748	0.0103333	0.0102925	0.010205	0.0100319	0.00976973	0.0109532	0.00968937	0.00966643	0.00962083	0.00955168	0.00945908	0.00942192	0.00941422	0.00939282	0.00935719	0.00933043	0.00929131	0.00924443	0.00918044	0.00916633	0.00913018	0.00906672	0.00897926	0.00888871	0.00882349	0.00879152	0.0087509	0.00872623	0.0087108	0.00868692	0.00867	0.00862844	0.00857302	0.00853977	0.0085208	0.0084776	0.00839397	0.00826429	0.00803656	0.00891797	0.0102836	0.00773828	0.00771711	0.00767471	0.00759058	0.00743756	0.00724135	0.00758754	0.00720394	0.00718724	0.00715459	0.00710826	0.00707398	0.00702946	0.00701751	0.00699296	0.0069576	0.00691711	0.00690308	0.00688825	0.00687018	0.00683235	0.00681482	0.00678686	0.0067381	0.0066672	0.00667504	0.00661583	0.00660179	0.00657626	0.00652888	0.0064723	0.00636645	0.00654658	0.00639474	0.0062428	0.00623038	0.00620662	0.00615829	0.00606756	0.00593777	0.00662354	0.00589432	0.00588845	0.0058739	0.00584062	0.0057772	0.00566692	0.00604338	0.00607487	0.005531	0.00552175	0.00550275	0.00547287	0.00542497	0.00535048	0.005323	0.00530008	0.00526566	0.00525902	0.00525005	0.00522236	0.00520902	0.00519115	0.00515678	0.0051006	0.0051714	0.00539025	0.00502623	0.00502016	0.00500788	0.0049916	0.00496029	0.00491307	0.00483577	0.00486292	0.00477326	0.00476308	0.00475518	0.00473448	0.00471346	0.00470187	0.00468772	0.00466035	0.00463739	0.00459633	0.00452902	0.00483574	0.00447978	0.00447358	0.00446992	0.00445721	0.00443334	0.00440212	0.00436396	0.00433683	0.00442855	0.00429966	0.00429094	0.00427482	0.00425796	0.0042285	0.00417892	0.00416608	0.00425093	0.00410268	0.00409642	0.00408509	0.00405964	0.00401279	0.00403561	0.00398528	0.00395424	0.00394972	0.00394046	0.00391774	0.00388771	0.00386871	0.00386156	0.00384165	0.00383657	0.00382947	0.00381572	0.00379043	0.00376663	0.00375455	0.00374309	0.00374044	0.00373579	0.00373347	0.00372371	0.00370944	0.00370439	0.00369461	0.00367857	0.00366082	0.00366088	0.00364659	0.00364036	0.00363703	0.00363005	0.0036177	0.00359285	0.00354467	0.00348409	0.00392721	0.00345507	0.00345011	0.00344258	0.00342702	0.00339653	0.00333677	0.00321177	0.00358467	0.00513866	0.00297703	0.00296364	0.00292898	0.00284552	0.00267783	0.002376	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.062	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

