56	0.016	4	0	task-0:0.47	|	0.257384	0.3144	0.285634	0.236502	0.222653	0.222661	0.224403	0.224401	0.222348	0.222913	0.222897	0.222225	0.222443	0.222443	0.222188	0.222265	0.222267	0.222181	0.222206	0.222207	0.222178	0.222195	0.222201	0.222194	0.222203	0.22221	0.222213	0.22222	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.220677	0.209869	0.209864	0.218125	0.220707	0.218295	0.212018	0.216696	0.221562	0.221993	0.222074	0.222113	0.222128	0.222125	0.222097	
61	0.031	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

79	0.032	4	0	task-0:0.188	|	0.234063	0.317404	0.314321	0.279527	0.226399	0.24181	0.241803	0.221663	0.228214	0.227264	0.219621	0.219757	0.218143	0.215039	0.212038	0.207349	0.201071	0.192734	0.182077	0.16633	0.141567	0.109416	0.0894258	0.0759499	0.0540828	0.0391565	0.0227297	0.0102645	0.00638489	0.00621731	0.00304362	0.00109609	0.00173709	0.000771872	0.000626752	0.000580603	0.0004516	0.000379109	0.000303115	0.000171293	9.01561e-005	4.28581e-005	1.74987e-005	6.01145e-006	1.76563e-006	5.99743e-007	1.68787e-007	4.92811e-008	1.05218e-008	4.44393e-009	1.942e-009	1.91241e-009	1.91769e-009	3.13135e-009	1.53178e-008	2.60073e-007	6.56233e-009	6.28788e-009	4.57298e-009	1.57422e-006	3.03471e-008	1.77119e-008	2.48159e-008	8.25997e-008	7.02142e-007	3.15162e-008	8.30605e-008	5.10764e-007	5.23633e-006	1.76377e-007	8.24062e-008	5.9296e-008	5.00408e-007	3.71756e-006	2.81091e-007	1.56969e-007	1.06012e-007	8.55662e-008	8.4224e-008	

87	0.046	4	0	task-0:0.332	|	0.22511	0.32846	0.320522	0.203512	0.293622	0.293622	0.206892	0.216618	0.216618	0.190556	0.197057	0.191865	0.186928	0.19114	0.188233	0.18497	0.184274	0.183848	0.183564	0.182856	0.18192	0.181485	0.181542	0.181068	0.180275	0.179341	0.178437	0.177526	0.176615	0.175336	0.174026	0.172208	0.169341	0.164581	0.157093	0.147709	0.13914	0.131956	0.121235	0.112342	0.103209	0.0909035	0.0783993	0.0617603	0.0643672	0.0454411	0.0540749	0.0522936	0.0393418	0.0457566	0.0439127	0.0367806	0.0359876	0.0343307	0.0315118	0.029523	0.0266961	0.0232381	0.0198655	0.0162705	0.0128244	0.0122735	0.0095959	0.00578243	0.00355512	0.00249784	0.00192509	0.00136446	0.00101533	0.000810185	0.000591249	0.000453869	0.00035629	0.000259403	0.00019643	0.000164311	0.000125753	9.3526e-005	6.61486e-005	4.40512e-005	2.80453e-005	1.66944e-005	1.19561e-005	2.15089e-005	7.54502e-006	5.83231e-006	4.99929e-006	

61	0.032	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.031	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.031	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.031	4	0	task-0:0.47	|	0.253983	0.313928	0.313607	0.263447	0.226727	0.226246	0.22348	0.222496	0.221819	0.221524	0.22026	0.218546	0.215969	0.213411	0.210278	0.207992	0.202967	0.197423	0.191853	0.18733	0.182189	0.16549	0.153708	0.151029	0.142362	0.128275	0.107739	0.0741489	0.0537287	0.061415	0.0494331	0.0393588	0.031829	0.0260394	0.0198679	0.00852991	0.00570112	0.00334657	0.00145199	0.000507417	0.000260966	0.00019069	0.000105403	5.57719e-005	9.22711e-005	4.74215e-005	2.4279e-005	1.05485e-005	8.57934e-006	6.01976e-006	4.62491e-006	3.10227e-006	2.02302e-006	1.23397e-006	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.031	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.016	4	0	task-0:0.47	|	0.253983	0.313928	0.313607	0.263447	0.226727	0.226246	0.22348	0.222496	0.221819	0.221524	0.22026	0.218546	0.215969	0.213411	0.210278	0.207992	0.202967	0.197423	0.191853	0.18733	0.182189	0.16549	0.153708	0.151029	0.142362	0.128275	0.107739	0.0741489	0.0537287	0.061415	0.0494331	0.0393588	0.031829	0.0260394	0.0198679	0.00852991	0.00570112	0.00334657	0.00145199	0.000507417	0.000260966	0.00019069	0.000105403	5.57719e-005	9.22711e-005	4.74215e-005	2.4279e-005	1.05485e-005	8.57934e-006	6.01976e-006	4.62491e-006	3.10227e-006	2.02302e-006	1.23397e-006	

54	0.016	4	0	task-0:0.47	|	0.253983	0.313928	0.313607	0.263447	0.226727	0.226246	0.22348	0.222496	0.221819	0.221524	0.22026	0.218546	0.215969	0.213411	0.210278	0.207992	0.202967	0.197423	0.191853	0.18733	0.182189	0.16549	0.153708	0.151029	0.142362	0.128275	0.107739	0.0741489	0.0537287	0.061415	0.0494331	0.0393588	0.031829	0.0260394	0.0198679	0.00852991	0.00570112	0.00334657	0.00145199	0.000507417	0.000260966	0.00019069	0.000105403	5.57719e-005	9.22711e-005	4.74215e-005	2.4279e-005	1.05485e-005	8.57934e-006	6.01976e-006	4.62491e-006	3.10227e-006	2.02302e-006	1.23397e-006	

89	0.031	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

51	0.031	4	0	task-0:0.47	|	0.495883	0.232983	0.259121	0.242136	0.22146	0.22141	0.223959	0.223061	0.220019	0.21982	0.219473	0.21854	0.217918	0.21728	0.216335	0.214924	0.213018	0.21112	0.210211	0.210989	0.211533	0.211504	0.21121	0.211419	0.212004	0.212908	0.214187	0.215481	0.216903	0.217757	0.217868	0.217181	0.220327	0.220996	0.221323	0.221479	0.221519	0.221983	0.222174	0.222206	0.222215	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	

89	0.031	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

89	0.031	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

89	0.031	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.031	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

89	0.031	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

51	0.016	4	0	task-0:0.47	|	0.495883	0.232983	0.259121	0.242136	0.22146	0.22141	0.223959	0.223061	0.220019	0.21982	0.219473	0.21854	0.217918	0.21728	0.216335	0.214924	0.213018	0.21112	0.210211	0.210989	0.211533	0.211504	0.21121	0.211419	0.212004	0.212908	0.214187	0.215481	0.216903	0.217757	0.217868	0.217181	0.220327	0.220996	0.221323	0.221479	0.221519	0.221983	0.222174	0.222206	0.222215	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

51	0.015	4	0	task-0:0.47	|	0.495883	0.232983	0.259121	0.242136	0.22146	0.22141	0.223959	0.223061	0.220019	0.21982	0.219473	0.21854	0.217918	0.21728	0.216335	0.214924	0.213018	0.21112	0.210211	0.210989	0.211533	0.211504	0.21121	0.211419	0.212004	0.212908	0.214187	0.215481	0.216903	0.217757	0.217868	0.217181	0.220327	0.220996	0.221323	0.221479	0.221519	0.221983	0.222174	0.222206	0.222215	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	

89	0.032	4	0	task-0:0.346	|	0.308113	0.308512	0.305365	0.236593	0.297979	0.297924	0.225136	0.245581	0.245581	0.223197	0.229613	0.229613	0.220422	0.222501	0.221486	0.218637	0.218223	0.217083	0.215498	0.213769	0.211868	0.209663	0.20749	0.205157	0.202234	0.199135	0.195491	0.191218	0.186693	0.183834	0.180674	0.179806	0.180203	0.179383	0.176686	0.17376	0.169981	0.14665	0.114647	0.110386	0.12341	0.147673	0.147801	0.13147	0.134555	0.132005	0.127734	0.130319	0.130815	0.132001	0.135	0.141015	0.149264	0.159486	0.172333	0.176749	0.185043	0.191645	0.19263	0.197574	0.199377	0.200785	0.201766	0.20279	0.186007	0.151842	0.14692	0.208293	0.207014	0.204749	0.204543	0.205396	0.206181	0.153875	0.207003	0.207438	0.207059	0.188381	0.153183	0.204535	0.206783	0.205733	0.19052	0.149535	0.206528	0.206304	0.204961	0.203081	0.199042	

54	0.016	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

51	0.016	4	0	task-0:0.47	|	0.495883	0.232983	0.259121	0.242136	0.22146	0.22141	0.223959	0.223061	0.220019	0.21982	0.219473	0.21854	0.217918	0.21728	0.216335	0.214924	0.213018	0.21112	0.210211	0.210989	0.211533	0.211504	0.21121	0.211419	0.212004	0.212908	0.214187	0.215481	0.216903	0.217757	0.217868	0.217181	0.220327	0.220996	0.221323	0.221479	0.221519	0.221983	0.222174	0.222206	0.222215	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	

54	0.031	4	0	task-0:0.47	|	0.235174	0.371748	0.33774	0.267957	0.22637	0.230207	0.230071	0.222203	0.228778	0.228707	0.222673	0.222207	0.222049	0.221216	0.222142	0.22166	0.220193	0.219285	0.218563	0.218167	0.217662	0.216869	0.215943	0.21507	0.214883	0.215042	0.215331	0.21528	0.215371	0.215602	0.216	0.216566	0.217081	0.217699	0.218487	0.219448	0.220405	0.221195	0.221733	0.22203	0.222158	0.222197	0.222223	0.222232	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

