3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0395786	0.0204724	0.0030441	0.00141662	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0776874	0.0373068	0.00148135	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.14783	0.104548	0.00742792	0.00200499	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0160671	0.0105018	0.00305514	0.0012031	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.125564	0.0763599	0.00360716	0.00175345	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0692604	0.0347498	0.00325726	0.00176277	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.112077	0.061979	0.003116	0.0017759	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.10701	0.0582993	0.00281994	0.00161273	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0195555	0.0116314	0.00245421	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0677034	0.0310492	0.0018081	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0363127	0.0192634	0.00295093	0.00135079	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0125524	0.00885802	0.00324539	0.00119163	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0626386	0.0305054	0.00220062	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0233635	0.0135657	0.00266236	0.00114293	

