3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.122436	0.0768966	0.00541809	0.00239345	

3	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0536319	0.0284803	0.00367082	0.00178767	

4	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.19	|	0.0644414	0.0366171	0.00575006	0.00252373	0.00084511	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.19	|	0.029056	0.0188448	0.00519021	0.00202925	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0491879	0.0250956	0.00261952	0.00134423	

3	0.001	0	0	task-3:0.188	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0565789	0.0293984	0.00342968	0.00175382	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0364128	0.0220879	0.00502026	0.00209556	

4	0.001	0	0	task-3:0.152	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0423383	0.0270824	0.00691555	0.00258466	0.000909111	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.061656	0.0344774	0.00543697	0.00244025	

4	0.001	0	0	task-3:0.178	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0959599	0.054468	0.00546752	0.00259928	0.000849219	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.118353	0.0730004	0.00569831	0.00249536	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0997111	0.0550492	0.00412822	0.00217776	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0838091	0.0437863	0.00293821	0.00162179	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0774272	0.041133	0.00424837	0.00222345	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0176539	0.0128892	0.00510904	0.00174591	

