52	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0952418	0.00137699	1.58669e-005	1.623e-006	4.4401e-009	1.20536e-011	2.01137e-013	2.07664e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00558565	3.1912e-005	1.18596e-007	9.42631e-010	4.34493e-012	0	0	0	0	0	0	0	0	0	0	1.23002e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4389e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00661202	0.000245946	6.23584e-006	1.14396e-007	5.64159e-009	1.49883e-011	0	0	0	0	0	0	0	0	0	0	2.22881e-015	0	0	0	0	0	0	0	2.51784e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.069668	0.00143997	3.0459e-005	3.40374e-007	5.99211e-010	9.46508e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00610544	0.000114125	2.44232e-006	1.13398e-008	7.79332e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0329779	0.00050451	9.55006e-006	5.21113e-007	1.6764e-009	2.82576e-013	0	0	0	0	0	0	1.96739e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95443e-015	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00713842	2.83887e-005	6.70289e-008	3.43458e-010	9.34878e-014	0	0	0	0	0	0	0	0	0	0	6.00015e-014	0	0	1.67578e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95182e-015	0	

53	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0491316	0.00812989	0.000452344	2.33541e-005	1.41751e-006	2.03632e-008	1.06803e-010	2.2652e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0916276	0.00238	1.11282e-005	1.03301e-007	5.26888e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41421e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.136024	0.00492934	3.28547e-005	2.1224e-007	7.38251e-010	1.99068e-013	0	0	0	0	1.54005e-014	0	0	0	4.94771e-015	0	0	0	0	0	1.89183e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0201489	7.73398e-006	4.01877e-010	3.39419e-013	4.10727e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37105e-015	0	0	0	0	2.11485e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23238e-015	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0203719	0.000447429	1.10245e-006	9.83602e-009	4.21832e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02521e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34612e-015	0	0	0	0	0	0	0	0	0	0	0	2.1298e-015	0	0	0	0	0	0	

53	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0759051	0.00816591	0.000806165	2.88691e-005	1.2211e-007	6.74336e-011	7.47612e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0785735	0.00745561	0.000163522	9.60966e-007	1.32177e-009	3.09642e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0811176	0.00998042	0.000106991	7.67863e-007	1.07059e-008	7.0834e-010	5.81085e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52586e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0677902	0.00204111	2.66676e-005	7.99204e-007	3.25042e-008	4.8718e-011	0	0	6.60189e-015	0	0	0	0	0	2.90523e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0555247	0.00359	0.000149449	9.73133e-006	5.46534e-007	1.20865e-008	6.89489e-011	1.48067e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0310924	0.000137066	3.13724e-007	2.18357e-009	4.88652e-012	0	0	0	0	0	0	0	0	0	0	0	2.58075e-015	0	0	0	0	4.08578e-015	0	0	0	8.46161e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0483337	0.000379202	8.68515e-008	5.92156e-011	7.94745e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89937e-015	0	0	0	0	0	0	0	0	0	3.95468e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0135406	0.000296236	2.33701e-006	3.47961e-008	1.36511e-009	5.62428e-012	0	0	0	0	0	0	0	0	0	3.89126e-015	0	0	0	0	0	0	0	0	0	0	5.20415e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.013658	9.47286e-006	4.00556e-008	2.63317e-010	8.17771e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0366259	4.4194e-005	4.61697e-008	3.52611e-010	5.05238e-012	0	0	0	0	0	0	0	0	0	0	2.78663e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00535604	8.32555e-007	1.24007e-010	2.3981e-013	4.76366e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33676e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0108893	8.06888e-006	1.36785e-008	5.19407e-011	4.5017e-014	0	0	0	0	0	0	2.43527e-015	0	0	0	0	1.52091e-014	0	2.89106e-014	0	0	2.34394e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.161938	0.00801167	6.54877e-005	6.45963e-007	1.01122e-008	7.18144e-012	0	0	0	0	0	4.56782e-015	0	0	3.09464e-015	0	0	0	0	0	0	0	0	2.71031e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0894142	0.00208233	3.10449e-005	4.68706e-007	9.28368e-009	1.61084e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.106821	0.00604751	1.95577e-005	9.97927e-008	3.84048e-010	1.20775e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0349302	0.000998243	3.91286e-006	9.23164e-008	1.73471e-010	0	0	0	0	5.29677e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97727e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.019657	0.000185563	5.63617e-007	4.89711e-009	2.93626e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48614e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22941e-014	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0215422	3.17018e-005	6.03199e-008	7.87707e-011	2.23551e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61649e-014	0	1.48585e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61474e-015	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.169576	0.00998694	1.69681e-005	1.49026e-008	1.53034e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90019e-015	0	0	0	0	7.38587e-015	1.91929e-015	0	0	0	0	0	0	0	0	0	2.17136e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0280504	5.42593e-005	9.00908e-008	3.19668e-010	3.0388e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17395e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0803258	0.00216587	1.06006e-005	5.31395e-008	1.49416e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93603e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

