117	0.062	1	0	task-3:0.458	task-0:0.182	task-1:0.074	task-2:0.43	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0521157	0.0509582	0.0479242	0.0427983	0.037589	0.0334869	0.0323179	0.0297867	0.0265594	0.0223875	0.0189517	0.0163032	0.0165712	0.0158209	0.0141372	0.0127597	0.0126319	0.0123512	0.0117593	0.0106369	0.00876043	0.00679365	0.0106539	0.00680094	0.00587466	0.00580416	0.00564894	0.00536436	0.00491367	0.00467698	0.00415955	0.00396407	0.00385024	0.00369678	0.00337621	0.00279974	0.00192228	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

108	0.047	1	0	task-3:0.46	task-0:0.142	task-1:0.13	task-2:0.472	|	0.0588093	0.0580664	0.0568047	0.0560519	0.0554857	0.0547297	0.0541855	0.0537844	0.0536314	0.0533478	0.053105	0.0535067	0.0530671	0.0530559	0.0530397	0.0530096	0.0529648	0.0528931	0.0530664	0.0533393	0.0528351	0.0528342	0.0528322	0.0528282	0.0528214	0.0519764	0.0506808	0.0473825	0.0421473	0.0373196	0.032742	0.0301234	0.0274642	0.0248933	0.0205766	0.01569	0.0123194	0.0153109	0.0108556	0.0100846	0.00954871	0.00925415	0.00870515	0.00777123	0.00633093	0.00412524	0.00165364	

89	0.046	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

108	0.063	1	0	task-3:0.46	task-0:0.142	task-1:0.13	task-2:0.472	|	0.0588093	0.0580664	0.0568047	0.0560519	0.0554857	0.0547297	0.0541855	0.0537844	0.0536314	0.0533478	0.053105	0.0535067	0.0530671	0.0530559	0.0530397	0.0530096	0.0529648	0.0528931	0.0530664	0.0533393	0.0528351	0.0528342	0.0528322	0.0528282	0.0528214	0.0519764	0.0506808	0.0473825	0.0421473	0.0373196	0.032742	0.0301234	0.0274642	0.0248933	0.0205766	0.01569	0.0123194	0.0153109	0.0108556	0.0100846	0.00954871	0.00925415	0.00870515	0.00777123	0.00633093	0.00412524	0.00165364	

89	0.031	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.031	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.046	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

108	0.063	1	0	task-3:0.46	task-0:0.142	task-1:0.13	task-2:0.472	|	0.0588093	0.0580664	0.0568047	0.0560519	0.0554857	0.0547297	0.0541855	0.0537844	0.0536314	0.0533478	0.053105	0.0535067	0.0530671	0.0530559	0.0530397	0.0530096	0.0529648	0.0528931	0.0530664	0.0533393	0.0528351	0.0528342	0.0528322	0.0528282	0.0528214	0.0519764	0.0506808	0.0473825	0.0421473	0.0373196	0.032742	0.0301234	0.0274642	0.0248933	0.0205766	0.01569	0.0123194	0.0153109	0.0108556	0.0100846	0.00954871	0.00925415	0.00870515	0.00777123	0.00633093	0.00412524	0.00165364	

