67	0.062	1	0	task-0:0.47	|	0.231976	0.249438	0.249184	0.228929	0.224381	0.224372	0.22268	0.222681	0.222353	0.222311	0.222189	0.222219	0.222161	0.221857	0.22028	0.212704	0.195184	0.196691	0.204838	0.212127	0.218859	0.218757	0.215709	0.21126	0.211332	0.213765	0.216872	0.217549	0.217412	0.21741	0.217564	0.217891	0.218389	0.219033	0.219764	0.220127	0.220368	0.220368	0.219815	0.218351	0.220966	0.221311	0.221428	0.22137	0.221057	0.220131	0.217434	0.220626	0.220827	0.220718	0.220158	0.218563	0.22105	0.221346	0.221437	0.221347	0.220958	0.219785	0.216155	0.220118	0.220274	0.219982	0.218932	0.221191	0.221532	0.22168	0.221702	

54	0.016	1	0	task-0:0.47	|	0.231329	0.252938	0.249801	0.228931	0.224583	0.224503	0.222707	0.222685	0.222251	0.221943	0.221436	0.220587	0.2203	0.219827	0.21971	0.220406	0.221123	0.221001	0.219636	0.215981	0.209167	0.199241	0.198139	0.202452	0.203453	0.203391	0.204799	0.206417	0.20765	0.208477	0.209008	0.209399	0.209872	0.21065	0.211936	0.21215	0.211925	0.212687	0.213475	0.214616	0.215939	0.21644	0.216051	0.214531	0.219327	0.220335	0.220813	0.220973	0.220885	0.220464	0.221667	0.222128	0.222192	0.222208	

54	0.047	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

57	0.015	1	0	task-0:0.47	|	0.224628	0.261314	0.260657	0.237843	0.222413	0.249768	0.249447	0.227809	0.22283	0.222813	0.22271	0.222701	0.222172	0.222182	0.222302	0.222303	0.222175	0.221996	0.221439	0.219675	0.213938	0.21373	0.217295	0.217042	0.214983	0.2145	0.215181	0.215891	0.21565	0.214977	0.21491	0.215247	0.215823	0.216325	0.216932	0.217858	0.218969	0.220083	0.221026	0.221694	0.222071	0.222215	0.222261	0.222266	0.222252	0.222233	0.222215	0.222207	0.222216	0.222224	0.222224	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.016	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

54	0.015	1	0	task-0:0.47	|	0.231329	0.252938	0.249801	0.228931	0.224583	0.224503	0.222707	0.222685	0.222251	0.221943	0.221436	0.220587	0.2203	0.219827	0.21971	0.220406	0.221123	0.221001	0.219636	0.215981	0.209167	0.199241	0.198139	0.202452	0.203453	0.203391	0.204799	0.206417	0.20765	0.208477	0.209008	0.209399	0.209872	0.21065	0.211936	0.21215	0.211925	0.212687	0.213475	0.214616	0.215939	0.21644	0.216051	0.214531	0.219327	0.220335	0.220813	0.220973	0.220885	0.220464	0.221667	0.222128	0.222192	0.222208	

78	0.016	1	0	task-0:0.47	|	0.264121	0.231477	0.231158	0.222285	0.222283	0.224336	0.224336	0.222611	0.222403	0.222403	0.222233	0.222233	0.222247	0.222247	0.222223	0.22224	0.222239	0.222222	0.22219	0.221534	0.211156	0.211057	0.218358	0.218435	0.214829	0.210433	0.210689	0.213877	0.215107	0.215348	0.215795	0.216464	0.217344	0.21838	0.219464	0.220015	0.22017	0.219948	0.219105	0.216886	0.220189	0.220581	0.22064	0.220363	0.219496	0.217222	0.220321	0.220685	0.220773	0.220569	0.219858	0.217912	0.220741	0.221068	0.221154	0.221001	0.220436	0.218794	0.221105	0.221346	0.221397	0.221252	0.220739	0.219197	0.221261	0.221453	0.221476	0.221309	0.220755	0.219054	0.221219	0.221396	0.221391	0.221161	0.22043	0.218176	0.220914	0.221108	

54	0.031	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

54	0.016	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

54	0.015	1	0	task-0:0.47	|	0.269326	0.225931	0.224903	0.225813	0.225814	0.222202	0.225823	0.225782	0.223039	0.222248	0.222247	0.222264	0.222264	0.222159	0.222286	0.222289	0.222196	0.222184	0.222194	0.2222	0.222209	0.222214	0.222219	0.222221	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222208	0.221939	0.213603	0.218345	0.222095	0.222179	0.222172	0.222148	0.222074	0.221812	0.220574	0.214097	0.21887	0.22197	0.222144	0.22217	0.222182	

54	0.016	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

83	0.031	1	0	task-0:0.47	|	0.250354	0.269326	0.269326	0.226509	0.267798	0.267798	0.227678	0.230018	0.230018	0.222728	0.230423	0.230423	0.223988	0.222911	0.222857	0.222541	0.222498	0.222333	0.222248	0.222184	0.222068	0.22185	0.221551	0.221106	0.220397	0.219238	0.217357	0.214524	0.210833	0.206952	0.20334	0.200284	0.198386	0.197627	0.195523	0.19391	0.190829	0.187751	0.183546	0.179045	0.174085	0.168823	0.163516	0.160433	0.158894	0.15761	0.156608	0.156728	0.158397	0.161234	0.165743	0.172559	0.182717	0.195529	0.199639	0.203051	0.20437	0.203311	0.200099	0.195547	0.19196	0.189425	0.189722	0.189722	0.189129	0.188108	0.187598	0.186526	0.185246	0.184561	0.184176	0.184554	0.185082	0.185672	0.186429	0.187198	0.188017	0.189128	0.19073	0.190333	0.190822	0.191398	0.192101	

57	0.016	1	0	task-0:0.47	|	0.42124	0.239188	0.244096	0.239613	0.222146	0.249818	0.249504	0.227255	0.22214	0.221903	0.221134	0.220651	0.219632	0.218433	0.216488	0.21361	0.209402	0.203637	0.196432	0.19389	0.194429	0.193704	0.194676	0.196291	0.19829	0.200479	0.202631	0.204548	0.20609	0.207182	0.207836	0.208314	0.208964	0.211093	0.215125	0.215393	0.214048	0.21275	0.214279	0.217084	0.21866	0.21919	0.219158	0.221228	0.221666	0.221875	0.222107	0.22217	0.222205	0.222217	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

54	0.015	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

54	0.016	1	0	task-0:0.47	|	0.227883	0.262757	0.252063	0.228827	0.224418	0.224415	0.222645	0.222654	0.222374	0.222373	0.222234	0.222227	0.222219	0.222213	0.222187	0.22217	0.222132	0.22203	0.221755	0.220928	0.218277	0.21213	0.212956	0.217775	0.219151	0.21948	0.219877	0.220349	0.220849	0.221136	0.221213	0.221088	0.220708	0.219681	0.216809	0.220166	0.220397	0.220187	0.219346	0.21723	0.22033	0.220731	0.220859	0.220722	0.220159	0.218616	0.221018	0.221316	0.221414	0.221336	0.22098	0.21992	0.216692	0.220305	

54	0.015	1	0	task-0:0.47	|	0.269326	0.225931	0.224903	0.225813	0.225814	0.222202	0.225823	0.225782	0.223039	0.222248	0.222247	0.222264	0.222264	0.222159	0.222286	0.222289	0.222196	0.222184	0.222194	0.2222	0.222209	0.222214	0.222219	0.222221	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222208	0.221939	0.213603	0.218345	0.222095	0.222179	0.222172	0.222148	0.222074	0.221812	0.220574	0.214097	0.21887	0.22197	0.222144	0.22217	0.222182	

