105	0.078	1	0	task-3:0.06	task-0:0.134	task-1:0.204	task-2:0.132	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0525891	0.0516128	0.0491419	0.0457065	0.0428999	0.0385723	0.0341659	0.0345249	0.0301743	0.0284406	0.0256564	0.0250785	0.0242104	0.0237834	0.0230165	0.0220396	0.0204394	0.0180098	0.01755	0.0154783	0.0148119	0.0137065	0.0122562	0.0114219	0.0112613	0.0105627	0.0103981	0.0100796	0.00951333	

111	0.047	1	0	task-3:0.034	task-0:0.172	task-1:0.216	task-2:0.132	|	0.0615747	0.0591906	0.0560972	0.0558642	0.055436	0.0547098	0.0538653	0.0541818	0.0536555	0.0535719	0.0535176	0.0534246	0.0532898	0.0534078	0.0532418	0.0532149	0.0532063	0.0531864	0.053144	0.053069	0.0531198	0.0530326	0.0524643	0.0515538	0.049232	0.046081	0.0440125	0.0409152	0.0388546	0.041187	0.037062	0.0364054	0.0349704	0.0321661	0.0288076	0.0282472	0.0294004	0.0260133	0.0254775	0.0250896	0.0243404	0.0232595	0.023523	0.0242001	0.0211567	0.0208274	0.0204157	0.0196339	0.0186134	0.018282	0.0180507	0.0174412	0.0172612	0.0170539	0.0166165	0.0158085	0.0149411	0.0178912	0.0141021	0.0139773	0.0137175	0.013275	0.0126565	0.011907	0.0143528	0.0140051	0.0107583	0.0107076	0.0106037	0.0104528	0.0103192	0.0101341	0.00996277	

181	0.093	1	0	task-3:0.044	task-0:0.164	task-1:0.224	task-2:0.118	|	0.0582297	0.0580528	0.0575452	0.0564905	0.0548331	0.053811	0.0554464	0.053789	0.0537789	0.0537391	0.0536718	0.0536024	0.0534708	0.053323	0.053501	0.0532627	0.0532448	0.0532145	0.0531791	0.0531263	0.0530968	0.0530734	0.0530533	0.0525134	0.0516585	0.0493442	0.0452103	0.0413796	0.0392742	0.0413021	0.0365979	0.0357649	0.0341161	0.0316311	0.0289921	0.0284317	0.0306285	0.0275799	0.0272373	0.027026	0.0266659	0.0259795	0.0247807	0.0235883	0.0333143	0.022113	0.0217822	0.021263	0.0206372	0.020388	0.0201704	0.0200636	0.0198622	0.0196105	0.0191222	0.0185251	0.0184447	0.0181916	0.0180957	0.0178883	0.0174875	0.0174471	0.0170147	0.0168584	0.0167523	0.0166439	0.0164314	0.0161345	0.0162607	0.016066	0.0156232	0.0155458	0.015429	0.0153261	0.015266	0.0152291	0.0151317	0.0149632	0.0148515	0.0147487	0.0146552	0.0145405	0.0143684	0.0144915	0.0141363	0.0139782	0.0139618	0.0139145	0.0138146	0.0136339	0.0133112	0.0130742	0.0139049	0.012791	0.0127451	0.0126601	0.0125115	0.0122766	0.0118555	0.0119323	0.0149087	0.0115966	0.0115552	0.0114591	0.0112802	0.0110567	0.0110515	0.0109485	0.0109183	0.010861	0.0107437	0.010527	0.0106645	0.0103918	0.0103075	0.0102938	0.010254	0.0101673	0.00999033	

85	0.078	1	0	task-3:0.05	task-0:0.182	task-1:0.236	task-2:0.094	|	0.0554329	0.0553087	0.0550193	0.0545645	0.0538747	0.0534745	0.053453	0.0532735	0.053257	0.0532251	0.0531816	0.0531422	0.0533105	0.0530835	0.0530723	0.0530502	0.0530103	0.0523705	0.0515092	0.0489484	0.0454251	0.0416299	0.0366106	0.033856	0.0326696	0.0298958	0.0284454	0.0256963	0.0218765	0.0198769	0.0258447	0.0173368	0.0159489	0.0155403	0.0151944	0.0147352	0.0139992	0.0133929	0.0123509	0.010691	0.00947491	

111	0.063	1	0	task-3:0.046	task-0:0.162	task-1:0.232	task-2:0.112	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0530637	0.0520557	0.0493169	0.0439141	0.035887	0.0324374	0.0362322	0.0298977	0.0290612	0.0271153	0.0261836	0.024288	0.0210449	0.0172847	0.0234736	0.0169168	0.0164233	0.0160685	0.0153364	0.0139921	0.0121286	0.0140853	0.0203312	0.0125482	0.0181464	0.0107132	0.01014	0.00960618	

181	0.109	1	0	task-3:0.044	task-0:0.164	task-1:0.224	task-2:0.118	|	0.0582297	0.0580528	0.0575452	0.0564905	0.0548331	0.053811	0.0554464	0.053789	0.0537789	0.0537391	0.0536718	0.0536024	0.0534708	0.053323	0.053501	0.0532627	0.0532448	0.0532145	0.0531791	0.0531263	0.0530968	0.0530734	0.0530533	0.0525134	0.0516585	0.0493442	0.0452103	0.0413796	0.0392742	0.0413021	0.0365979	0.0357649	0.0341161	0.0316311	0.0289921	0.0284317	0.0306285	0.0275799	0.0272373	0.027026	0.0266659	0.0259795	0.0247807	0.0235883	0.0333143	0.022113	0.0217822	0.021263	0.0206372	0.020388	0.0201704	0.0200636	0.0198622	0.0196105	0.0191222	0.0185251	0.0184447	0.0181916	0.0180957	0.0178883	0.0174875	0.0174471	0.0170147	0.0168584	0.0167523	0.0166439	0.0164314	0.0161345	0.0162607	0.016066	0.0156232	0.0155458	0.015429	0.0153261	0.015266	0.0152291	0.0151317	0.0149632	0.0148515	0.0147487	0.0146552	0.0145405	0.0143684	0.0144915	0.0141363	0.0139782	0.0139618	0.0139145	0.0138146	0.0136339	0.0133112	0.0130742	0.0139049	0.012791	0.0127451	0.0126601	0.0125115	0.0122766	0.0118555	0.0119323	0.0149087	0.0115966	0.0115552	0.0114591	0.0112802	0.0110567	0.0110515	0.0109485	0.0109183	0.010861	0.0107437	0.010527	0.0106645	0.0103918	0.0103075	0.0102938	0.010254	0.0101673	0.00999033	
