84	0.032	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.031	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.047	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.047	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

111	0.063	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.047	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.047	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.063	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

