3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0975951	0.0542489	0.00366528	0.00180222	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.137339	0.0927957	0.00709578	0.00229878	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0205674	0.0129485	0.00317125	0.00122607	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00682416	0.00550016	0.00292618	0.0008829	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.109365	0.0630768	0.00332183	0.00163369	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.146119	0.104739	0.0098654	0.00221633	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.077455	0.0393746	0.00270426	0.00146907	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0772933	0.0393121	0.00225208	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0357213	0.0193473	0.00260758	0.00118526	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0148588	0.0102482	0.00339658	0.00118493	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0736061	0.038963	0.00311954	0.00156138	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0155905	0.0106461	0.00343926	0.00122639	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.10968	0.0636397	0.00391593	0.00185738	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.115463	0.068567	0.00409956	0.00190021	

