241	0.142	3	0	task-3:0.098	task-0:0.212	task-1:0.12	task-2:0.116	|	0.111325	0.0773913	0.0531811	0.0522079	0.0519166	0.0517711	0.0517455	0.0516964	0.0516191	0.051595	0.0515703	0.0515659	0.0515656	0.0515645	0.0515624	0.0515625	0.0515655	0.0515576	0.0515556	0.0515551	0.051555	0.0515552	0.0515544	0.0515541	0.051555	0.0515544	0.0515555	0.051556	0.0515559	0.0515559	0.0514231	0.0513152	0.0510096	0.0503926	0.0494628	0.0505781	0.048967	0.0488434	0.0488126	0.0486941	0.0484434	0.0480789	0.0476152	0.0506343	0.0491887	0.0472017	0.0469759	0.0469029	0.0468793	0.0468295	0.0467139	0.0467076	0.0466159	0.0466057	0.0466077	0.0465672	0.046525	0.0465209	0.0459109	0.0453494	0.0437907	0.0420727	0.0409505	0.0409143	0.0404154	0.0392199	0.0368944	0.0326885	0.036619	0.0308375	0.0289482	0.0282735	0.0275624	0.0272693	0.0270315	0.0264486	0.0250883	0.0235385	0.0230973	0.0223293	0.021503	0.0212213	0.0211372	0.0211052	0.020823	0.0201526	0.0193826	0.0184306	0.0185851	0.0179268	0.0175293	0.017366	0.0171062	0.016535	0.0158538	0.0145581	0.0123002	0.0104622	0.0428013	0.0137849	0.101251	0.00877364	0.00881454	0.00874485	0.00861379	0.00858116	0.00851808	0.00839325	0.0081161	0.00819907	0.00924342	0.0077089	0.0076694	0.00758686	0.00744897	0.00718013	0.00667628	0.00579225	0.00439737	0.0442661	0.00510405	0.0104419	0.00433391	0.00425966	0.00419529	0.0041852	0.00416388	0.00411432	0.00400939	0.0037947	0.00339794	0.00273832	0.00372524	0.0763055	0.00195199	

362	0.201	3	0	task-3:0.084	task-0:0.232	task-1:0.126	task-2:0.058	|	0.123517	0.0855326	0.0526303	0.051876	0.0516575	0.0515883	0.0515839	0.0515776	0.0515697	0.0515628	0.0515585	0.0515606	0.0515601	0.05156	0.0515599	0.0515598	0.0515593	0.0515599	0.0515599	0.0515598	0.0513695	0.0512533	0.0509553	0.0505316	0.0502841	0.0499717	0.0498434	0.0508328	0.0495432	0.049142	0.0487036	0.0485023	0.0481546	0.0476855	0.0482807	0.0479442	0.046936	0.0466413	0.0465033	0.0463025	0.0461255	0.0466371	0.0457259	0.0455666	0.0453307	0.0449	0.0444254	0.0445685	0.0450463	0.0437234	0.0434327	0.0432835	0.0432125	0.043077	0.0428629	0.0428029	0.0431954	0.0418366	0.0417641	0.0417371	0.0416177	0.041367	0.0409571	0.0404122	0.0407897	0.0405199	0.0398015	0.0396416	0.0395973	0.0395541	0.0394228	0.0393526	0.0391415	0.0388851	0.0384561	0.0386582	0.0385919	0.0380643	0.037906	0.0377868	0.0376951	0.0375536	0.0380622	0.03738	0.037276	0.0372592	0.0371827	0.0369972	0.0366071	0.0358883	0.0348607	0.0488659	0.0346541	0.0346154	0.0345359	0.0343795	0.0340935	0.0338709	0.0380659	0.033413	0.0333392	0.0332002	0.0331222	0.0329178	0.0329665	0.0327639	0.0327679	0.032778	0.0327218	0.0325961	0.0323826	0.0319617	0.031218	0.0299011	0.0340506	0.0977304	0.0306187	0.0304155	0.0301127	0.0294985	0.0286777	0.0283444	0.0280525	0.0280684	0.0286741	0.0279186	0.0278265	0.0277547	0.0277257	0.0276964	0.0277341	0.0277255	0.0276346	0.0275085	0.0273303	0.027491	0.0273805	0.0273319	0.0272578	0.0272394	0.0272171	0.0270561	0.0271192	0.0270853	0.0270201	0.0269605	0.0268619	0.026659	0.0268015	0.0262376	0.0258299	0.0253733	0.0250455	0.0244566	0.0244689	0.0244	0.0241881	0.0238455	0.0237058	0.023363	0.023083	0.0225337	0.0235883	0.0224155	0.0223861	0.0222803	0.0220477	0.0216302	0.0213359	0.0379591	0.0211596	0.0211398	0.0210999	0.0210997	0.0210228	0.0210149	0.0208878	0.0209502	0.0209153	0.0208516	0.0208767	0.0208554	0.0207971	0.0202533	0.0197819	0.0198257	0.0171467	0.0152591	0.0141023	0.0120784	0.0100999	0.00779093	0.00570437	0.00349771	0.00523634	0.00277862	0.00250469	0.00215297	

362	0.211	3	0	task-3:0.084	task-0:0.232	task-1:0.126	task-2:0.058	|	0.123517	0.0855326	0.0526303	0.051876	0.0516575	0.0515883	0.0515839	0.0515776	0.0515697	0.0515628	0.0515585	0.0515606	0.0515601	0.05156	0.0515599	0.0515598	0.0515593	0.0515599	0.0515599	0.0515598	0.0513695	0.0512533	0.0509553	0.0505316	0.0502841	0.0499717	0.0498434	0.0508328	0.0495432	0.049142	0.0487036	0.0485023	0.0481546	0.0476855	0.0482807	0.0479442	0.046936	0.0466413	0.0465033	0.0463025	0.0461255	0.0466371	0.0457259	0.0455666	0.0453307	0.0449	0.0444254	0.0445685	0.0450463	0.0437234	0.0434327	0.0432835	0.0432125	0.043077	0.0428629	0.0428029	0.0431954	0.0418366	0.0417641	0.0417371	0.0416177	0.041367	0.0409571	0.0404122	0.0407897	0.0405199	0.0398015	0.0396416	0.0395973	0.0395541	0.0394228	0.0393526	0.0391415	0.0388851	0.0384561	0.0386582	0.0385919	0.0380643	0.037906	0.0377868	0.0376951	0.0375536	0.0380622	0.03738	0.037276	0.0372592	0.0371827	0.0369972	0.0366071	0.0358883	0.0348607	0.0488659	0.0346541	0.0346154	0.0345359	0.0343795	0.0340935	0.0338709	0.0380659	0.033413	0.0333392	0.0332002	0.0331222	0.0329178	0.0329665	0.0327639	0.0327679	0.032778	0.0327218	0.0325961	0.0323826	0.0319617	0.031218	0.0299011	0.0340506	0.0977304	0.0306187	0.0304155	0.0301127	0.0294985	0.0286777	0.0283444	0.0280525	0.0280684	0.0286741	0.0279186	0.0278265	0.0277547	0.0277257	0.0276964	0.0277341	0.0277255	0.0276346	0.0275085	0.0273303	0.027491	0.0273805	0.0273319	0.0272578	0.0272394	0.0272171	0.0270561	0.0271192	0.0270853	0.0270201	0.0269605	0.0268619	0.026659	0.0268015	0.0262376	0.0258299	0.0253733	0.0250455	0.0244566	0.0244689	0.0244	0.0241881	0.0238455	0.0237058	0.023363	0.023083	0.0225337	0.0235883	0.0224155	0.0223861	0.0222803	0.0220477	0.0216302	0.0213359	0.0379591	0.0211596	0.0211398	0.0210999	0.0210997	0.0210228	0.0210149	0.0208878	0.0209502	0.0209153	0.0208516	0.0208767	0.0208554	0.0207971	0.0202533	0.0197819	0.0198257	0.0171467	0.0152591	0.0141023	0.0120784	0.0100999	0.00779093	0.00570437	0.00349771	0.00523634	0.00277862	0.00250469	0.00215297	

457	0.264	3	0	task-3:0.086	task-0:0.086	task-1:0.122	task-2:0.068	|	0.123517	0.0855326	0.0526303	0.051876	0.0516575	0.0515883	0.0515839	0.0515776	0.0515697	0.0515628	0.0515585	0.0515606	0.0515601	0.05156	0.0515599	0.0515598	0.0515593	0.0515599	0.0515599	0.0515598	0.0513695	0.0512533	0.0509553	0.0505316	0.0502841	0.0499717	0.0498434	0.0508328	0.0495432	0.049142	0.0487036	0.0485023	0.0481546	0.0476855	0.0482807	0.0479442	0.046936	0.0466413	0.0465033	0.0463025	0.0461255	0.0466371	0.0457259	0.0455666	0.0453307	0.0449	0.0444254	0.0445685	0.0450463	0.0437234	0.0434327	0.0432835	0.0432125	0.043077	0.0428629	0.0428029	0.0431954	0.0418366	0.0417641	0.0417371	0.0416177	0.041367	0.0409571	0.0404122	0.0407897	0.0405199	0.0398015	0.0396416	0.0395973	0.0395541	0.0394228	0.0393526	0.0391415	0.0388851	0.0384561	0.0386582	0.0385919	0.0380643	0.037906	0.0377868	0.0376951	0.0375536	0.0380622	0.03738	0.037276	0.0372592	0.0371827	0.0369972	0.0366071	0.0358883	0.0348607	0.0488659	0.0346541	0.0346154	0.0345359	0.0343795	0.0340935	0.0338709	0.0380659	0.033413	0.0333392	0.0332002	0.0331222	0.0329178	0.0329665	0.0327639	0.0327679	0.032778	0.0327218	0.0325961	0.0323826	0.0319617	0.031218	0.0299011	0.0340506	0.0977304	0.0306187	0.0304155	0.0301127	0.0294985	0.0286777	0.0283444	0.0280525	0.0280684	0.0286741	0.0279186	0.0278265	0.0277547	0.0277257	0.0276964	0.0277341	0.0277255	0.0276346	0.0275085	0.0273303	0.027491	0.0273805	0.0273319	0.0272578	0.0272394	0.0272171	0.0270561	0.0271192	0.0270853	0.0270201	0.0269605	0.0268619	0.0263966	0.0265556	0.025768	0.0247163	0.0230714	0.0218568	0.0215236	0.0211996	0.0209591	0.0206031	0.020125	0.0212347	0.0197255	0.0196717	0.0196057	0.0194583	0.0192352	0.0192806	0.0189616	0.0187981	0.018492	0.0179221	0.0170293	0.015979	0.0153373	0.0152602	0.0158907	0.0147493	0.0147076	0.014621	0.0144694	0.0141858	0.0138171	0.0155925	0.013706	0.0136994	0.0136873	0.013676	0.0136364	0.0136007	0.0135351	0.0134352	0.0134214	0.0133173	0.0132894	0.0132426	0.0132038	0.013144	0.0130431	0.0129612	0.01313	0.0128939	0.0128837	0.012865	0.012832	0.0127678	0.0127539	0.0127071	0.0126914	0.0126867	0.0126757	0.0126656	0.0126441	0.0126341	0.0126141	0.0125722	0.0124992	0.0124143	0.0123531	0.0123421	0.0122565	0.0122476	0.0122366	0.0122234	0.0121983	0.0121747	0.0122654	0.0122061	0.0121046	0.0121002	0.012086	0.0120556	0.012	0.0119215	0.0119994	0.0124156	0.0118552	0.0118481	0.0118298	0.0117953	0.0117504	0.011759	0.011732	0.0117254	0.011723	0.0117146	0.0116961	0.0116577	0.011592	0.011759	0.0115512	0.0115462	0.0115367	0.0115109	0.0114826	0.011463	0.0114307	0.011427	0.0114264	0.0114199	0.011406	0.011291	0.0112025	0.0110908	0.0107577	0.0102465	0.00950985	0.00884701	0.00829341	0.00797315	0.00772453	0.00742799	0.00746821	0.00731651	0.00725703	0.00722068	0.00716215	0.0070543	0.0068672	0.00654651	0.00610429	0.00599995	0.00585445	0.00581472	0.00577511	0.00573644	0.00569447	0.00563606	0.00556967	0.00547065	0.00527698	0.00491316	0.00437013	0.00373808	0.00339564	0.00294584	0.00262333	0.00247242	

220	0.142	2	0	task-3:0.078	task-0:0.084	task-1:0.242	task-2:0.048	|	0.064687	0.0574719	0.0521879	0.052123	0.0520091	0.051889	0.0518318	0.0517251	0.0516038	0.0515975	0.0522423	0.0515644	0.0515595	0.0515595	0.0515585	0.0512897	0.0511205	0.0506422	0.0496632	0.0480446	0.0460152	0.0448945	0.0442339	0.0447489	0.0436907	0.0434489	0.0433879	0.0432677	0.0430628	0.0427162	0.042618	0.0443597	0.0423792	0.0422715	0.0422668	0.0422601	0.0422519	0.0421997	0.0421677	0.0421161	0.0420241	0.0419302	0.0432046	0.0419038	0.0419002	0.0414036	0.0410238	0.0399645	0.0378893	0.0350976	0.0331654	0.0355187	0.0313023	0.0310134	0.0304066	0.0290377	0.0263867	0.0216854	0.0235288	0.0402344	0.0159493	0.015693	0.0152718	0.0145696	0.0142805	0.0138761	0.0137657	0.013528	0.0130493	0.0121358	0.0105336	0.0116827	0.0236593	0.00902887	0.00859078	0.00831043	0.00825669	0.00814949	0.00793085	0.00754335	0.00782871	0.00748662	0.00711216	0.00707422	0.00698531	0.00679574	0.00641924	0.0057273	0.00503811	0.0347372	0.00463391	0.00460927	0.0045609	0.00449482	0.00437883	0.00430434	0.00437727	0.00419104	0.00416057	0.00413021	0.00407021	0.00403734	0.00395727	0.00395814	0.00395696	0.00395605	0.00395213	0.00394322	0.00389927	0.00383071	0.00381624	0.00375032	0.00374038	0.00373784	0.00373349	0.00372465	0.00371235	0.00365735	0.0036211	0.00356453	0.00345308	0.00323947	0.00284898	0.0021972	

220	0.125	2	0	task-3:0.078	task-0:0.084	task-1:0.242	task-2:0.048	|	0.064687	0.0574719	0.0521879	0.052123	0.0520091	0.051889	0.0518318	0.0517251	0.0516038	0.0515975	0.0522423	0.0515644	0.0515595	0.0515595	0.0515585	0.0512897	0.0511205	0.0506422	0.0496632	0.0480446	0.0460152	0.0448945	0.0442339	0.0447489	0.0436907	0.0434489	0.0433879	0.0432677	0.0430628	0.0427162	0.042618	0.0443597	0.0423792	0.0422715	0.0422668	0.0422601	0.0422519	0.0421997	0.0421677	0.0421161	0.0420241	0.0419302	0.0432046	0.0419038	0.0419002	0.0414036	0.0410238	0.0399645	0.0378893	0.0350976	0.0331654	0.0355187	0.0313023	0.0310134	0.0304066	0.0290377	0.0263867	0.0216854	0.0235288	0.0402344	0.0159493	0.015693	0.0152718	0.0145696	0.0142805	0.0138761	0.0137657	0.013528	0.0130493	0.0121358	0.0105336	0.0116827	0.0236593	0.00902887	0.00859078	0.00831043	0.00825669	0.00814949	0.00793085	0.00754335	0.00782871	0.00748662	0.00711216	0.00707422	0.00698531	0.00679574	0.00641924	0.0057273	0.00503811	0.0347372	0.00463391	0.00460927	0.0045609	0.00449482	0.00437883	0.00430434	0.00437727	0.00419104	0.00416057	0.00413021	0.00407021	0.00403734	0.00395727	0.00395814	0.00395696	0.00395605	0.00395213	0.00394322	0.00389927	0.00383071	0.00381624	0.00375032	0.00374038	0.00373784	0.00373349	0.00372465	0.00371235	0.00365735	0.0036211	0.00356453	0.00345308	0.00323947	0.00284898	0.0021972	
