
164	0.11	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

164	0.093	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

164	0.078	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

164	0.094	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

150	0.078	1	task-3:0.056	task-0:0.16	task-1:0.2	task-2:0.13	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653807	0.0646709	0.0632267	0.0605687	0.0571513	0.0543563	0.0511898	0.0471681	0.0480112	0.0432626	0.0411246	0.0401436	0.0390223	0.0379031	0.0367613	0.0357577	0.0348953	0.033136	0.0299022	0.026215	0.0272785	0.0241005	0.0235103	0.0228582	0.0219492	0.0211164	0.0201569	0.0191387	0.0178989	0.0170353	0.0164856	0.016242	0.0156994	0.014672	0.0134262	0.0150393	

164	0.078	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

