3	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0467051	0.0240772	0.00271359	0.00131008	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0492573	0.0260429	0.0030233	0.00146579	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0235506	0.014699	0.00343303	0.00131926	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00924899	0.00698696	0.00307117	0.000980287	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0442468	0.023496	0.00300141	0.00142227	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0893249	0.0467623	0.00250029	0.00134333	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0304257	0.0177902	0.00320556	0.00130994	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.050124	0.026355	0.00291329	0.00141984	

3	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0959892	0.0531119	0.00339259	0.00171453	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0143224	0.00988832	0.00330017	0.00115446	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.196	|	0.107112	0.0615052	0.00399975	0.00187818	

3	0.001	0	0	task-3:0.202	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0208596	0.0132665	0.00337543	0.00129116	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0850944	0.0450889	0.00324846	0.00171343	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0340435	0.0188695	0.00272999	0.00120997	

