225	0.016	2	task-0:0.314	|	0.269006	0.230195	0.228716	0.226205	0.223067	0.220733	0.21904	0.216179	0.21631	0.219327	0.211623	0.211164	0.21029	0.209521	0.208899	0.208624	0.207861	0.206962	0.206169	0.20608	0.205456	0.205135	0.204719	0.203851	0.203551	0.203613	0.20256	0.202384	0.202054	0.201411	0.201504	0.201068	0.200584	0.200483	0.200292	0.20001	0.199395	0.198216	0.196588	0.230582	0.196397	0.19652	0.196246	0.196216	0.196157	0.19604	0.195931	0.195962	0.195843	0.195812	0.195761	0.19565	0.195518	0.197678	0.192245	0.190057	0.189574	0.188232	0.185254	0.180055	0.233795	0.179199	0.178824	0.17811	0.176564	0.174875	0.183171	0.173758	0.173451	0.172718	0.172093	0.172026	0.171285	0.17099	0.17061	0.170109	0.168993	0.167135	0.173193	0.166709	0.16648	0.166199	0.16564	0.164783	0.165632	0.16437	0.164161	0.163914	0.163592	0.162837	0.16252	0.164019	0.161645	0.161457	0.161173	0.160731	0.160283	0.16049	0.159886	0.159724	0.159525	0.159345	0.158928	0.158827	0.158685	0.158523	0.158376	0.158169	0.157895	0.157702	0.157629	0.157491	0.157337	0.134569	0.129347	0.120531	0.11068	0.105079	0.094783	0.0775481	0.0567443	0.0820429	0.0524501	0.0503553	0.0488942	0.04591	0.0411453	0.0392234	0.0441956	0.0337218	

93	0	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

109	0.015	1	task-0:0.256	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168513	0.160792	0.149922	0.142808	0.135402	0.125255	0.104231	0.0707766	0.0622456	0.184407	0.0433241	0.0397245	0.0369618	0.0361232	0.0344843	0.032381	0.0320966	0.0312396	

93	0	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

93	0.047	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

