40	0.037	4	0	task-3:0.456	task-0:0.516	task-1:0.406	task-2:0.454	|	0.0580929	0.0807456	0.0654665	0.0547891	0.058742	0.0579762	0.0548078	0.0546521	0.0547258	0.0544028	0.0544396	0.0544163	0.0542705	0.0539238	0.0535937	0.0532866	0.0532586	0.0531488	0.0526999	0.0524993	0.0524486	0.0523241	0.0518506	0.0514892	0.0508764	0.0504168	0.0500131	0.0497235	0.049214	0.0486618	0.0476133	0.046775	0.0459636	0.0447113	0.0436232	0.042792	0.0417493	0.0409493	0.0402759	0.0397483	
73	0.054	4	0	task-3:0.364	task-0:0.44	task-1:0.582	task-2:0.356	|	0.05423	0.0991999	0.0881907	0.0613528	0.0562861	0.0569645	0.0536352	0.0538881	0.0532384	0.0511041	0.0501069	0.0491203	0.0479662	0.0467851	0.0463565	0.0455295	0.0460952	0.045658	0.0448018	0.0450831	0.0451546	0.0455809	0.0457876	0.0455083	0.0454953	0.0456668	0.0458641	0.0461732	0.0460896	0.0458026	0.0455665	0.0453246	0.0452164	0.0451901	0.0452166	0.0453674	0.0452647	0.0450058	0.0447852	0.0445592	0.0444287	0.0448303	0.0454776	0.0447868	0.0445234	0.0445324	0.0450097	0.0448774	0.044496	0.0443533	0.0443059	0.0442406	0.044095	0.0438181	0.0435172	0.043146	0.0430465	0.0428012	0.0427508	0.0428531	0.0431219	0.0435046	0.0436386	0.0439578	0.0442745	0.044583	0.0448866	0.0448013	0.0447088	0.0441611	0.04295	0.0402386	0.0374445	

73	0.058	4	0	task-3:0.364	task-0:0.44	task-1:0.582	task-2:0.356	|	0.05423	0.0991999	0.0881907	0.0613528	0.0562861	0.0569645	0.0536352	0.0538881	0.0532384	0.0511041	0.0501069	0.0491203	0.0479662	0.0467851	0.0463565	0.0455295	0.0460952	0.045658	0.0448018	0.0450831	0.0451546	0.0455809	0.0457876	0.0455083	0.0454953	0.0456668	0.0458641	0.0461732	0.0460896	0.0458026	0.0455665	0.0453246	0.0452164	0.0451901	0.0452166	0.0453674	0.0452647	0.0450058	0.0447852	0.0445592	0.0444287	0.0448303	0.0454776	0.0447868	0.0445234	0.0445324	0.0450097	0.0448774	0.044496	0.0443533	0.0443059	0.0442406	0.044095	0.0438181	0.0435172	0.043146	0.0430465	0.0428012	0.0427508	0.0428531	0.0431219	0.0435046	0.0436386	0.0439578	0.0442745	0.044583	0.0448866	0.0448013	0.0447088	0.0441611	0.04295	0.0402386	0.0374445	

34	0.026	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

21	0.012	4	0	task-3:0.45	task-0:0.378	task-1:0.452	task-2:0.476	|	0.0765763	0.0721395	0.0680083	0.0548506	0.0641953	0.0642005	0.056628	0.0554482	0.0554424	0.0545891	0.05449	0.0544125	0.0542235	0.0537151	0.052028	0.0454131	0.043707	0.0463469	0.0456338	0.041706	0.0367398	

34	0.028	4	0	task-3:0.398	task-0:0.404	task-1:0.478	task-2:0.362	|	0.0578432	0.062104	0.0561551	0.0577258	0.0578372	0.0554236	0.0546781	0.0546492	0.0546893	0.0546476	0.0544517	0.0543348	0.0541235	0.0546808	0.0544305	0.0538539	0.0537006	0.0536142	0.0530696	0.0525403	0.0522718	0.0522441	0.0519012	0.0514403	0.0510351	0.0503888	0.0496286	0.048772	0.0478967	0.0473572	0.0459093	0.0445992	0.0453539	0.0397591	

