66	0.031	4	0	task-0:0.458	|	0.226621	0.326362	0.318313	0.215608	0.265402	0.265333	0.197626	0.228894	0.228486	0.194442	0.197138	0.195151	0.186818	0.18638	0.182532	0.177704	0.174725	0.169931	0.163285	0.154791	0.147249	0.140537	0.134047	0.125763	0.115532	0.102977	0.0892879	0.0745825	0.0634049	0.0511989	0.0400931	0.0308929	0.02401	0.0181877	0.0550229	0.021534	0.0115808	0.0116677	0.0108668	0.0104593	0.0151855	0.0124365	0.0172218	0.0212267	0.0244191	0.030702	0.0426507	0.0248808	0.021055	0.0185189	0.0176433	0.016877	0.0166861	0.0170493	0.0187145	0.0211152	0.0250029	0.0309464	0.0395765	0.0506977	0.0641187	0.0791599	0.0915093	0.100917	0.108488	0.111471	
105	0.047	4	0	task-0:0.322	|	0.269751	0.324954	0.324861	0.268872	0.283125	0.283095	0.226503	0.250351	0.239461	0.223056	0.221855	0.219989	0.217168	0.213694	0.209486	0.204958	0.199653	0.193836	0.187211	0.181038	0.178256	0.174302	0.170087	0.168407	0.165485	0.16386	0.159054	0.136724	0.112488	0.106796	0.10803	0.127224	0.12605	0.111826	0.102645	0.102645	0.110157	0.116337	0.12073	0.12775	0.136774	0.14691	0.159571	0.163897	0.167949	0.169194	0.169274	0.166473	0.159832	0.16854	0.16865	0.172358	0.174067	0.16784	0.163841	0.161616	0.178411	0.14784	0.147081	0.138483	0.133023	0.123118	0.0841658	0.053168	0.0367722	0.00445137	0.000795799	0.0327219	0.0272698	0.000598603	0.000598603	0.000265204	0.0295046	0.0292903	0.0114253	0.000289909	0.000289909	0.000328875	0.00225408	0.000510019	7.46559e-005	4.67876e-005	3.88947e-005	6.17558e-005	2.17871e-005	3.79269e-006	1.05842e-006	4.1519e-007	2.89209e-007	1.53674e-007	7.78699e-008	3.7273e-008	1.70892e-008	7.64081e-008	7.51901e-007	1.36783e-007	5.45388e-009	1.92023e-009	1.12378e-009	1.97916e-009	3.93258e-009	1.51424e-009	3.31458e-010	1.36984e-010	9.33353e-011	

58	0.016	4	0	task-0:0.47	|	0.262965	0.325543	0.325523	0.277426	0.258663	0.256789	0.222485	0.222491	0.227641	0.227624	0.222139	0.222521	0.222212	0.220902	0.221317	0.220825	0.21974	0.218851	0.218008	0.21732	0.216479	0.215214	0.213628	0.211721	0.209389	0.20641	0.202003	0.196626	0.190512	0.183949	0.182473	0.189799	0.203537	0.19601	0.183569	0.179684	0.175768	0.170121	0.157094	0.148345	0.132866	0.123819	0.127686	0.124767	0.129581	0.128797	0.118717	0.115543	0.115799	0.113236	0.108076	0.104816	0.103344	0.105248	0.110193	0.116499	0.12514	0.136997	

62	0.031	4	0	task-0:0.47	|	0.229558	0.321684	0.314877	0.246126	0.212202	0.212459	0.209674	0.20446	0.199153	0.195944	0.196423	0.183858	0.162737	0.14623	0.13626	0.132118	0.127703	0.130913	0.143414	0.121439	0.113327	0.112632	0.105349	0.0892109	0.0795837	0.0713947	0.0641462	0.066361	0.062352	0.0593491	0.0601953	0.0678767	0.0782724	0.0932143	0.113793	0.137539	0.160352	0.181116	0.186856	0.193012	0.197606	0.194664	0.193791	0.158555	0.0790817	0.0748062	0.157039	0.185505	0.184927	0.184394	0.184311	0.184599	0.184065	0.180135	0.123758	0.183801	0.18403	0.183974	0.184025	0.183885	0.172276	0.127836	

62	0.015	4	0	task-0:0.47	|	0.229558	0.321684	0.314877	0.246126	0.212202	0.212459	0.209674	0.20446	0.199153	0.195944	0.196423	0.183858	0.162737	0.14623	0.13626	0.132118	0.127703	0.130913	0.143414	0.121439	0.113327	0.112632	0.105349	0.0892109	0.0795837	0.0713947	0.0641462	0.066361	0.062352	0.0593491	0.0601953	0.0678767	0.0782724	0.0932143	0.113793	0.137539	0.160352	0.181116	0.186856	0.193012	0.197606	0.194664	0.193791	0.158555	0.0790817	0.0748062	0.157039	0.185505	0.184927	0.184394	0.184311	0.184599	0.184065	0.180135	0.123758	0.183801	0.18403	0.183974	0.184025	0.183885	0.172276	0.127836	

86	0.032	4	0	task-0:0.23	|	0.241689	0.328528	0.328296	0.291738	0.244978	0.24492	0.234642	0.234642	0.221824	0.220984	0.219992	0.217959	0.216214	0.215069	0.212662	0.20905	0.204041	0.197783	0.192276	0.187062	0.182731	0.179086	0.175455	0.17233	0.169335	0.167667	0.165263	0.163801	0.158456	0.126171	0.101924	0.0959478	0.103216	0.0971892	0.079325	0.062923	0.0568382	0.0528853	0.045163	0.0356483	0.0306453	0.0258231	0.0236926	0.0191397	0.0159294	0.0127275	0.00945882	0.00679393	0.00699826	0.00481438	0.00327471	0.0028872	0.0028154	0.00212928	0.00174516	0.00157533	0.00107691	0.000752896	0.000543717	0.000399694	0.000273672	0.00018556	0.000122813	9.42845e-005	7.46981e-005	5.52999e-005	4.12464e-005	3.13035e-005	1.97626e-005	1.08765e-005	6.41915e-006	5.34912e-006	3.6773e-006	2.51632e-006	1.64011e-006	1.03705e-006	6.37894e-007	6.02828e-007	4.79711e-007	3.14087e-007	2.08373e-007	1.34358e-007	8.93937e-008	7.25681e-008	5.61857e-008	4.23404e-008	

105	0.046	4	0	task-0:0.322	|	0.269751	0.324954	0.324861	0.268872	0.283125	0.283095	0.226503	0.250351	0.239461	0.223056	0.221855	0.219989	0.217168	0.213694	0.209486	0.204958	0.199653	0.193836	0.187211	0.181038	0.178256	0.174302	0.170087	0.168407	0.165485	0.16386	0.159054	0.136724	0.112488	0.106796	0.10803	0.127224	0.12605	0.111826	0.102645	0.102645	0.110157	0.116337	0.12073	0.12775	0.136774	0.14691	0.159571	0.163897	0.167949	0.169194	0.169274	0.166473	0.159832	0.16854	0.16865	0.172358	0.174067	0.16784	0.163841	0.161616	0.178411	0.14784	0.147081	0.138483	0.133023	0.123118	0.0841658	0.053168	0.0367722	0.00445137	0.000795799	0.0327219	0.0272698	0.000598603	0.000598603	0.000265204	0.0295046	0.0292903	0.0114253	0.000289909	0.000289909	0.000328875	0.00225408	0.000510019	7.46559e-005	4.67876e-005	3.88947e-005	6.17558e-005	2.17871e-005	3.79269e-006	1.05842e-006	4.1519e-007	2.89209e-007	1.53674e-007	7.78699e-008	3.7273e-008	1.70892e-008	7.64081e-008	7.51901e-007	1.36783e-007	5.45388e-009	1.92023e-009	1.12378e-009	1.97916e-009	3.93258e-009	1.51424e-009	3.31458e-010	1.36984e-010	9.33353e-011	

86	0.032	4	0	task-0:0.23	|	0.241689	0.328528	0.328296	0.291738	0.244978	0.24492	0.234642	0.234642	0.221824	0.220984	0.219992	0.217959	0.216214	0.215069	0.212662	0.20905	0.204041	0.197783	0.192276	0.187062	0.182731	0.179086	0.175455	0.17233	0.169335	0.167667	0.165263	0.163801	0.158456	0.126171	0.101924	0.0959478	0.103216	0.0971892	0.079325	0.062923	0.0568382	0.0528853	0.045163	0.0356483	0.0306453	0.0258231	0.0236926	0.0191397	0.0159294	0.0127275	0.00945882	0.00679393	0.00699826	0.00481438	0.00327471	0.0028872	0.0028154	0.00212928	0.00174516	0.00157533	0.00107691	0.000752896	0.000543717	0.000399694	0.000273672	0.00018556	0.000122813	9.42845e-005	7.46981e-005	5.52999e-005	4.12464e-005	3.13035e-005	1.97626e-005	1.08765e-005	6.41915e-006	5.34912e-006	3.6773e-006	2.51632e-006	1.64011e-006	1.03705e-006	6.37894e-007	6.02828e-007	4.79711e-007	3.14087e-007	2.08373e-007	1.34358e-007	8.93937e-008	7.25681e-008	5.61857e-008	4.23404e-008	

105	0.047	4	0	task-0:0.322	|	0.269751	0.324954	0.324861	0.268872	0.283125	0.283095	0.226503	0.250351	0.239461	0.223056	0.221855	0.219989	0.217168	0.213694	0.209486	0.204958	0.199653	0.193836	0.187211	0.181038	0.178256	0.174302	0.170087	0.168407	0.165485	0.16386	0.159054	0.136724	0.112488	0.106796	0.10803	0.127224	0.12605	0.111826	0.102645	0.102645	0.110157	0.116337	0.12073	0.12775	0.136774	0.14691	0.159571	0.163897	0.167949	0.169194	0.169274	0.166473	0.159832	0.16854	0.16865	0.172358	0.174067	0.16784	0.163841	0.161616	0.178411	0.14784	0.147081	0.138483	0.133023	0.123118	0.0841658	0.053168	0.0367722	0.00445137	0.000795799	0.0327219	0.0272698	0.000598603	0.000598603	0.000265204	0.0295046	0.0292903	0.0114253	0.000289909	0.000289909	0.000328875	0.00225408	0.000510019	7.46559e-005	4.67876e-005	3.88947e-005	6.17558e-005	2.17871e-005	3.79269e-006	1.05842e-006	4.1519e-007	2.89209e-007	1.53674e-007	7.78699e-008	3.7273e-008	1.70892e-008	7.64081e-008	7.51901e-007	1.36783e-007	5.45388e-009	1.92023e-009	1.12378e-009	1.97916e-009	3.93258e-009	1.51424e-009	3.31458e-010	1.36984e-010	9.33353e-011	

86	0.031	4	0	task-0:0.23	|	0.241689	0.328528	0.328296	0.291738	0.244978	0.24492	0.234642	0.234642	0.221824	0.220984	0.219992	0.217959	0.216214	0.215069	0.212662	0.20905	0.204041	0.197783	0.192276	0.187062	0.182731	0.179086	0.175455	0.17233	0.169335	0.167667	0.165263	0.163801	0.158456	0.126171	0.101924	0.0959478	0.103216	0.0971892	0.079325	0.062923	0.0568382	0.0528853	0.045163	0.0356483	0.0306453	0.0258231	0.0236926	0.0191397	0.0159294	0.0127275	0.00945882	0.00679393	0.00699826	0.00481438	0.00327471	0.0028872	0.0028154	0.00212928	0.00174516	0.00157533	0.00107691	0.000752896	0.000543717	0.000399694	0.000273672	0.00018556	0.000122813	9.42845e-005	7.46981e-005	5.52999e-005	4.12464e-005	3.13035e-005	1.97626e-005	1.08765e-005	6.41915e-006	5.34912e-006	3.6773e-006	2.51632e-006	1.64011e-006	1.03705e-006	6.37894e-007	6.02828e-007	4.79711e-007	3.14087e-007	2.08373e-007	1.34358e-007	8.93937e-008	7.25681e-008	5.61857e-008	4.23404e-008	

86	0.031	4	0	task-0:0.23	|	0.241689	0.328528	0.328296	0.291738	0.244978	0.24492	0.234642	0.234642	0.221824	0.220984	0.219992	0.217959	0.216214	0.215069	0.212662	0.20905	0.204041	0.197783	0.192276	0.187062	0.182731	0.179086	0.175455	0.17233	0.169335	0.167667	0.165263	0.163801	0.158456	0.126171	0.101924	0.0959478	0.103216	0.0971892	0.079325	0.062923	0.0568382	0.0528853	0.045163	0.0356483	0.0306453	0.0258231	0.0236926	0.0191397	0.0159294	0.0127275	0.00945882	0.00679393	0.00699826	0.00481438	0.00327471	0.0028872	0.0028154	0.00212928	0.00174516	0.00157533	0.00107691	0.000752896	0.000543717	0.000399694	0.000273672	0.00018556	0.000122813	9.42845e-005	7.46981e-005	5.52999e-005	4.12464e-005	3.13035e-005	1.97626e-005	1.08765e-005	6.41915e-006	5.34912e-006	3.6773e-006	2.51632e-006	1.64011e-006	1.03705e-006	6.37894e-007	6.02828e-007	4.79711e-007	3.14087e-007	2.08373e-007	1.34358e-007	8.93937e-008	7.25681e-008	5.61857e-008	4.23404e-008	

