156	0.063	4	task-0:0.14	|	0.234524	0.318595	0.315701	0.262701	0.231361	0.231359	0.225158	0.225158	0.22126	0.220819	0.219328	0.218162	0.216121	0.224553	0.218883	0.20955	0.206935	0.20285	0.200926	0.196402	0.191778	0.18787	0.183412	0.179082	0.174738	0.170161	0.165924	0.162022	0.157944	0.154168	0.150967	0.147019	0.143506	0.13986	0.136524	0.132921	0.130046	0.127015	0.123853	0.11775	0.107956	0.0982999	0.0920788	0.0872047	0.0837219	0.0791168	0.0744475	0.0690575	0.0622292	0.0553306	0.0492894	0.0438243	0.0388293	0.0329967	0.0272852	0.0215379	0.0162613	0.0115124	0.00749758	0.00440733	0.00232416	0.00109733	0.000482336	0.000218464	0.000107159	5.28022e-005	2.53845e-005	1.66151e-005	8.1545e-006	5.11266e-006	3.59725e-006	2.63838e-006	1.92692e-006	1.70401e-006	1.44801e-006	1.20237e-006	9.90487e-007	8.18449e-007	6.86695e-007	5.28137e-007	3.96603e-007	2.84421e-007	1.94004e-007	1.24634e-007	7.54196e-008	4.30799e-008	2.317e-008	1.16501e-008	5.44882e-009	2.26011e-009	8.05676e-010	2.3854e-010	5.60596e-011	9.93073e-012	1.24827e-012	1.03751e-013	5.24376e-015	1.45777e-016	1.97603e-018	1.12986e-020	2.28835e-023	1.11111e-005	3.33333e-005	0.188538	0.188538	3.33353e-005	3.33353e-005	0.00020927	0.000214208	3.39781e-005	3.40149e-005	4.61705e-005	0.000225165	0.000204541	7.98193e-005	4.4487e-005	5.60766e-005	0.000516646	0.000260408	4.31889e-005	3.68353e-005	3.59159e-005	3.53063e-005	3.5557e-005	3.73933e-005	4.16683e-005	3.38914e-005	3.78005e-005	3.54647e-005	3.50311e-005	3.4725e-005	3.41556e-005	4.53175e-005	4.76479e-005	4.50796e-005	4.34492e-005	3.98149e-005	3.82575e-005	3.66751e-005	3.56845e-005	4.28444e-005	5.35075e-005	6.81301e-005	3.33345e-005	3.3428e-005	0.00294147	0.00294147	5.60245e-005	3.43702e-005	3.34685e-005	3.41898e-005	7.90288e-005	7.90288e-005	3.91391e-005	3.52765e-005	3.45126e-005	
66	0.016	4	task-0:0.3	|	0.227031	0.323762	0.315509	0.222639	0.238802	0.237138	0.204035	0.210039	0.211033	0.191429	0.173499	0.151516	0.136815	0.117648	0.131896	0.12118	0.101219	0.094767	0.0851381	0.076431	0.0676573	0.0575739	0.0497774	0.0420867	0.0342878	0.0270138	0.0202853	0.0143891	0.00977141	0.00652126	0.00444686	0.00308379	0.00296853	0.00210837	0.00159166	0.00122544	0.000774437	0.00050869	0.000323776	0.000191107	0.000103955	5.11064e-005	2.23377e-005	8.52595e-006	2.79622e-006	8.14867e-007	2.34804e-007	4.71767e-008	5.83805e-009	5.25118e-010	3.0354e-011	9.2322e-013	1.45887e-014	9.94059e-017	2.61056e-019	2.07713e-022	4.47143e-026	1.11111e-005	3.33333e-005	3.33333e-005	0.205055	0.205055	6.04759e-005	3.33418e-005	3.45291e-005	0.000857842	

70	0.031	4	task-0:0.282	|	0.228464	0.32477	0.32038	0.247041	0.236172	0.236121	0.210071	0.21033	0.197268	0.189221	0.182102	0.176918	0.170127	0.158347	0.147669	0.142883	0.135597	0.117489	0.0904163	0.105837	0.0830175	0.0555102	0.0484311	0.0379051	0.0278874	0.0201091	0.0154726	0.0148651	0.0113221	0.00922929	0.00669265	0.00484431	0.00334867	0.00227193	0.00141655	0.0009203	0.000540712	0.00029787	0.000169449	9.60841e-005	5.13418e-005	2.59519e-005	1.44896e-005	6.48973e-006	2.20181e-006	6.27875e-007	1.53162e-007	2.71407e-008	3.3266e-009	2.7913e-010	1.47042e-011	4.64704e-013	1.10812e-014	7.17318e-015	6.57383e-016	1.4518e-015	1.44486e-015	1.54111e-016	1.55346e-016	7.61857e-017	5.20316e-017	7.26238e-017	3.54452e-017	2.48302e-017	2.24696e-017	1.75651e-017	1.31509e-017	9.30169e-018	6.15382e-018	3.75901e-018	

60	0.015	4	task-0:0.47	|	0.258945	0.321444	0.3206	0.258496	0.274509	0.274507	0.222935	0.265938	0.264303	0.232575	0.223376	0.223084	0.218191	0.215986	0.212841	0.208447	0.202295	0.195277	0.187869	0.180918	0.175527	0.171505	0.16776	0.164394	0.161201	0.157857	0.151139	0.143785	0.124235	0.107026	0.0981772	0.0910594	0.0853369	0.0814936	0.0768686	0.0717984	0.0663476	0.0605877	0.0546013	0.0484574	0.0422197	0.0363384	0.0300494	0.0238333	0.0179672	0.0126959	0.00826232	0.00481054	0.00252329	0.00117054	0.000506849	0.000250931	0.000223014	0.000143134	0.000112826	8.54187e-005	6.7623e-005	5.15524e-005	4.11913e-005	3.50311e-005	

146	0.079	4	task-0:0.204	|	0.288921	0.256925	0.244958	0.225667	0.22786	0.227844	0.222247	0.227184	0.227184	0.223385	0.222386	0.222228	0.218122	0.262363	0.235294	0.201071	0.198972	0.189286	0.183914	0.174974	0.170511	0.164479	0.15715	0.154615	0.150841	0.147798	0.144179	0.141615	0.139668	0.139236	0.138533	0.138714	0.138597	0.138227	0.138371	0.138251	0.138062	0.138035	0.137925	0.137752	0.137616	0.13742	0.137146	0.136826	0.136467	0.136106	0.135813	0.135477	0.135127	0.486996	0.469797	0.245687	0.13638	0.135712	0.135305	0.135036	0.134567	0.134302	0.133695	0.134101	0.13257	0.1276	0.119924	0.117728	0.114131	0.116077	0.115976	0.1118	0.112002	0.111343	0.109887	0.110099	0.10971	0.108931	0.108399	0.107786	0.107099	0.106282	0.105284	0.104148	0.102756	0.101111	0.0991757	0.0968731	0.0941483	0.0909338	0.0871569	0.0827463	0.0776312	0.0717639	0.0651426	0.0578539	0.0500469	0.0420196	0.0342119	0.0264996	0.0191831	0.0123112	0.00710035	0.00616541	0.00307681	0.00183147	0.000984672	0.000449309	0.000173268	5.41698e-005	1.38597e-005	3.09852e-006	7.40175e-007	1.52128e-006	2.91671e-007	1.76701e-006	1.76309e-006	2.6058e-007	3.80818e-007	3.80818e-007	2.00523e-007	2.31205e-007	2.06376e-007	1.637e-007	1.57325e-007	1.3924e-007	1.20028e-007	1.01952e-007	8.36564e-008	6.58932e-008	4.93844e-008	3.48342e-008	2.28247e-008	1.36863e-008	7.39442e-009	3.55103e-009	1.50634e-009	5.69739e-010	1.9997e-010	2.46746e-010	8.02153e-011	2.50362e-010	2.50178e-010	8.03637e-011	8.08243e-011	7.64194e-011	6.05254e-011	6.33992e-011	5.56789e-011	4.61048e-011	

157	0.062	4	task-0:0.126	|	0.261135	0.307002	0.302781	0.238312	0.273155	0.273153	0.225873	0.24287	0.241406	0.223207	0.228656	0.228656	0.221625	0.22359	0.223216	0.220664	0.221592	0.221397	0.219763	0.218679	0.220998	0.215456	0.216057	0.213781	0.210255	0.211344	0.209086	0.203816	0.20094	0.198344	0.196187	0.193601	0.190952	0.188738	0.185162	0.182876	0.179822	0.175491	0.170689	0.165865	0.161432	0.156497	0.151921	0.147608	0.14353	0.140026	0.137216	0.136629	0.134414	0.133057	0.131934	0.131021	0.129894	0.12879	0.127557	0.126241	0.124891	0.123606	0.122613	0.121904	0.121317	0.120576	0.119867	0.119033	0.117923	0.116502	0.114761	0.112651	0.106575	0.078192	0.0587218	0.0576261	0.0536953	0.0484618	0.0490064	0.0455589	0.036313	0.0302228	0.0249421	0.0190502	0.0136853	0.00942116	0.00605441	0.00392313	0.00320192	0.0025039	0.00244553	0.00233286	0.00201796	0.00174734	0.00153823	0.00142229	0.00126613	0.00116951	0.00105139	0.000893844	0.00074315	0.000605318	0.000475424	0.000356715	0.000255768	0.000174349	0.000112331	6.79137e-005	3.82306e-005	1.99853e-005	9.99312e-006	4.36964e-006	1.70951e-006	6.89406e-007	3.9441e-007	1.85588e-007	7.76196e-008	3.4454e-008	1.5618e-008	7.69264e-009	3.06923e-009	1.58839e-009	8.97564e-010	5.1559e-010	2.84794e-010	1.52873e-010	7.75818e-011	4.5174e-011	2.63775e-011	1.7067e-011	1.00011e-011	5.53434e-012	2.84062e-012	1.31863e-012	5.8429e-013	2.37919e-013	1.02261e-013	5.9899e-014	3.41289e-014	1.81597e-014	9.75861e-015	5.68968e-015	2.68357e-015	1.31636e-015	6.19025e-016	3.49059e-016	2.01473e-016	1.15994e-016	6.31908e-017	3.25806e-017	1.55645e-017	6.67147e-018	2.68471e-018	9.97499e-019	4.07504e-019	2.14023e-019	1.21874e-019	5.80197e-020	2.9792e-020	1.72766e-020	7.03946e-021	

