160	0.016	2	task-0:0.242	|	0.265282	0.228584	0.226637	0.223275	0.219362	0.216838	0.216068	0.214392	0.212116	0.211367	0.214761	0.209297	0.208992	0.208873	0.208559	0.208208	0.207945	0.207793	0.207625	0.207261	0.206472	0.205994	0.20684	0.20542	0.205345	0.205281	0.205146	0.205042	0.205074	0.205033	0.184866	0.179171	0.169802	0.161443	0.156894	0.148448	0.133271	0.121219	0.120497	0.110545	0.109011	0.106217	0.106281	0.104198	0.102553	0.100386	0.0977876	0.0942318	0.0959812	0.0934978	0.0929317	0.0916454	0.0901767	0.0889349	0.0890126	0.0886349	0.0882568	0.0873923	0.0862766	0.0841036	0.0849144	0.0834312	0.083291	0.0830265	0.0824741	0.0824008	0.0821523	0.0821954	0.0821499	0.0820313	0.0817615	0.0812158	0.0804329	0.0798244	0.0801501	0.0802614	0.0802838	0.0803935	0.0803216	0.0803175	0.0803087	0.0802911	0.0802919	0.0802903	0.0802859	0.0644238	0.0534277	0.0464198	

146	0.016	2	task-0:0.258	|	0.276712	0.226702	0.225485	0.223978	0.222427	0.220832	0.2205	0.219771	0.219199	0.218129	0.217619	0.216683	0.215511	0.212913	0.208098	0.228815	0.226007	0.205734	0.2079	0.203965	0.203942	0.203936	0.203935	0.20393	0.203921	0.203904	0.203888	0.203886	0.203884	0.20388	0.182898	0.17749	0.16762	0.159734	0.155226	0.147861	0.135635	0.125	0.119876	0.115634	0.113694	0.109039	0.101246	0.093808	0.129419	0.0904882	0.0901751	0.0894522	0.0887694	0.0885342	0.087665	0.0870379	0.0863553	0.0851713	0.0844213	0.0844221	0.0838908	0.0837463	0.0834505	0.0827909	0.0814489	0.0806897	0.0854773	0.0803051	0.0802738	0.0801005	0.0798855	0.0797273	0.0797916	0.0797484	0.0797402	0.0797249	0.0796919	0.0796293	0.0796585	0.0795877	0.0632465	0.0510384	0.0469283	

147	0.015	2	task-0:0.226	|	0.276712	0.226702	0.225485	0.223978	0.222427	0.220832	0.2205	0.219771	0.219199	0.218129	0.217619	0.216683	0.215511	0.212913	0.208098	0.228815	0.226007	0.205734	0.2079	0.203965	0.203942	0.203936	0.203935	0.20393	0.203921	0.203904	0.203888	0.203886	0.203884	0.20388	0.182898	0.17749	0.16762	0.159734	0.155226	0.147861	0.135635	0.125	0.119876	0.115634	0.113694	0.109039	0.101246	0.093808	0.129419	0.0904882	0.0901751	0.0894522	0.0887694	0.0885342	0.087665	0.0870379	0.0863553	0.0851713	0.0844213	0.0844221	0.0838908	0.0837463	0.0834505	0.0827909	0.0814489	0.0806897	0.0854773	0.0803051	0.0802738	0.0801005	0.0798855	0.0797273	0.0797916	0.0797484	0.0797402	0.0797249	0.0796919	0.0796293	0.0796585	0.0795877	0.0585995	0.0562136	0.0463064	0.0454453	

147	0.016	2	task-0:0.226	|	0.276712	0.226702	0.225485	0.223978	0.222427	0.220832	0.2205	0.219771	0.219199	0.218129	0.217619	0.216683	0.215511	0.212913	0.208098	0.228815	0.226007	0.205734	0.2079	0.203965	0.203942	0.203936	0.203935	0.20393	0.203921	0.203904	0.203888	0.203886	0.203884	0.20388	0.182898	0.17749	0.16762	0.159734	0.155226	0.147861	0.135635	0.125	0.119876	0.115634	0.113694	0.109039	0.101246	0.093808	0.129419	0.0904882	0.0901751	0.0894522	0.0887694	0.0885342	0.087665	0.0870379	0.0863553	0.0851713	0.0844213	0.0844221	0.0838908	0.0837463	0.0834505	0.0827909	0.0814489	0.0806897	0.0854773	0.0803051	0.0802738	0.0801005	0.0798855	0.0797273	0.0797916	0.0797484	0.0797402	0.0797249	0.0796919	0.0796293	0.0796585	0.0795877	0.0585995	0.0562136	0.0463064	0.0454453	

147	0.016	2	task-0:0.226	|	0.276712	0.226702	0.225485	0.223978	0.222427	0.220832	0.2205	0.219771	0.219199	0.218129	0.217619	0.216683	0.215511	0.212913	0.208098	0.228815	0.226007	0.205734	0.2079	0.203965	0.203942	0.203936	0.203935	0.20393	0.203921	0.203904	0.203888	0.203886	0.203884	0.20388	0.182898	0.17749	0.16762	0.159734	0.155226	0.147861	0.135635	0.125	0.119876	0.115634	0.113694	0.109039	0.101246	0.093808	0.129419	0.0904882	0.0901751	0.0894522	0.0887694	0.0885342	0.087665	0.0870379	0.0863553	0.0851713	0.0844213	0.0844221	0.0838908	0.0837463	0.0834505	0.0827909	0.0814489	0.0806897	0.0854773	0.0803051	0.0802738	0.0801005	0.0798855	0.0797273	0.0797916	0.0797484	0.0797402	0.0797249	0.0796919	0.0796293	0.0796585	0.0795877	0.0585995	0.0562136	0.0463064	0.0454453	

151	0.015	2	task-0:0.232	|	0.276712	0.226702	0.225485	0.223978	0.222427	0.220832	0.2205	0.219771	0.219199	0.218129	0.217619	0.216683	0.215511	0.212913	0.208098	0.228815	0.226007	0.205734	0.2079	0.203965	0.203942	0.203936	0.203935	0.20393	0.203921	0.203904	0.203888	0.203886	0.203884	0.20388	0.182898	0.17749	0.16762	0.159734	0.155226	0.147861	0.135635	0.125	0.119876	0.115634	0.113694	0.109039	0.101246	0.093808	0.129419	0.0904882	0.0901751	0.0894522	0.0887694	0.0885342	0.087665	0.0870379	0.0863553	0.0851713	0.0844213	0.0844221	0.0838908	0.0837463	0.0834505	0.0827909	0.0814489	0.0806897	0.0854773	0.0803051	0.0802738	0.0801005	0.0798855	0.0797273	0.0797916	0.0797484	0.0797402	0.0797249	0.0796919	0.0796293	0.0796585	0.0795877	0.0594824	0.056909	0.0466614	0.0454395	
