108	0.063	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.062	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.063	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.046	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.062	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.062	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.047	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.062	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.063	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

118	0.046	1	0	task-3:0.456	task-0:0.176	task-1:0.154	task-2:0.466	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.0521533	0.0510827	0.0482933	0.0436359	0.0395858	0.0354029	0.0376533	0.0333536	0.0325884	0.0308813	0.0275638	0.0231603	0.0262661	0.0216064	0.0208935	0.0202903	0.0194895	0.0185295	0.0173258	0.0166692	0.0161713	0.0152976	0.0146198	0.013973	0.0137955	0.0133946	0.0127842	0.0119136	0.0118532	0.0112082	0.0109875	0.0105688	0.0101241	0.00982735	

