115	0.062	1	0	task-3:0.068	task-0:0.144	task-1:0.24	task-2:0.13	|	0.0568823	0.0562898	0.0555737	0.0554774	0.0552963	0.0549463	0.054485	0.0537894	0.0567883	0.0539449	0.0534739	0.0534425	0.0533793	0.0532765	0.0531592	0.05325	0.0531267	0.0531186	0.0531061	0.0530925	0.053063	0.0530102	0.052464	0.051492	0.0491826	0.0456268	0.0423313	0.037694	0.0338718	0.0337673	0.0305077	0.029117	0.0265094	0.0234925	0.0231567	0.0221366	0.0197946	0.0189387	0.0186515	0.0182424	0.0178292	0.0170967	0.0157674	0.0144856	0.0134093	0.0150757	0.0127711	0.0122268	0.0119883	0.0115083	0.0106229	0.00917687	
306	0.156	1	0	task-3:0.404	task-0:0.46	task-1:0.432	task-2:0.402	|	0.0586933	0.0579871	0.0569525	0.0566473	0.0562684	0.0557958	0.0552966	0.0545999	0.0562036	0.0545884	0.0542931	0.0542348	0.0541026	0.0538615	0.0536366	0.0538641	0.0535405	0.0535179	0.0534774	0.0534431	0.0533802	0.0532921	0.0531977	0.0533233	0.0531415	0.0531255	0.0530999	0.0530729	0.0530612	0.0530403	0.0530161	0.0527052	0.0522026	0.0509342	0.0490258	0.0470982	0.0458795	0.044112	0.0424603	0.041624	0.0411839	0.0406646	0.0404023	0.0398466	0.0389453	0.0378331	0.0371579	0.0366407	0.0360703	0.035541	0.0352311	0.0345517	0.0333358	0.0325481	0.0359822	0.0315776	0.031399	0.0310916	0.0308267	0.0307731	0.0306081	0.0304825	0.0302995	0.030173	0.0300121	0.0298078	0.0295782	0.0295137	0.029331	0.0290553	0.0288366	0.0287091	0.0285988	0.0284831	0.0282562	0.0279096	0.0272058	0.0259612	0.0302157	0.0288432	0.0246658	0.0245331	0.0244284	0.0242105	0.0239004	0.0234552	0.0236804	0.0233402	0.0229477	0.0228838	0.0227778	0.0225731	0.022334	0.0223354	0.0222269	0.0221651	0.0220688	0.0219735	0.0217911	0.0215645	0.0215691	0.0214676	0.0214044	0.021303	0.0211988	0.0210324	0.0209544	0.0208829	0.0208237	0.0207705	0.0206771	0.0206261	0.0205623	0.0204666	0.0203459	0.0202922	0.0201641	0.0199219	0.0197521	0.0201255	0.0195222	0.0194579	0.0193466	0.0192301	0.0191043	0.019022	0.0188946	0.0187796	0.0187231	0.0186797	0.0185865	0.0184036	0.01816	0.0179962	0.0184753	0.0177669	0.0177103	0.0176151	0.0175286	0.0174248	0.0173617	0.0172339	0.0170179	0.0169427	0.0170182	0.0167027	0.0166665	0.0166062	0.0165016	0.0164777	0.0164541	0.0164115	0.0163278	0.0161929	0.0160836	0.0160444	0.0159493	0.0159153	0.0158773	0.01579	0.0157722	0.015743	0.0157137	0.0156627	0.0155892	0.0155457	0.0155074	0.0154217	0.0153116	0.0151428	0.014913	0.0156793	0.0148433	0.0148034	0.0147325	0.0146631	0.0145425	0.0143029	0.0144474	0.0146937	0.0139707	0.013932	0.0138732	0.0137483	0.0134941	0.0130053	0.0122992	0.0297181	0.012338	0.0122726	0.012088	0.0120748	0.0120418	0.0119617	0.0118183	0.0118972	0.0117379	0.0116755	0.0116659	0.0116372	0.0115692	0.0114444	0.0113305	0.0123719	0.0112144	0.0111947	0.0111546	0.0110735	0.0109454	0.0109801	0.0108558	0.010805	0.0107951	0.0107707	0.0107191	0.0106301	0.0106344	0.0106083	0.0105752	0.0105652	0.0105474	0.0105177	0.0104521	0.0103427	0.0103347	0.0104269	0.0101765	0.0101605	0.0101345	0.0100701	0.0100528	0.0100306	0.00999722	

233	0.125	1	0	task-3:0.394	task-0:0.456	task-1:0.428	task-2:0.4	|	0.059895	0.0583196	0.0563352	0.0562389	0.0560133	0.0555489	0.05484	0.0544672	0.0558935	0.0542224	0.0540456	0.0540258	0.0539761	0.0538909	0.0538035	0.0536444	0.0534996	0.053792	0.0534018	0.0533759	0.0533304	0.0532751	0.0532474	0.0531914	0.0531121	0.0532534	0.0530886	0.0530761	0.052806	0.0523936	0.0513219	0.0494404	0.0474078	0.0462053	0.0454729	0.0446208	0.0439491	0.0435285	0.0429745	0.0422037	0.0415483	0.040957	0.0397801	0.038283	0.0379429	0.0370034	0.0366085	0.0361015	0.0355335	0.035052	0.0343862	0.033551	0.0333107	0.0328531	0.0326442	0.0321992	0.0313051	0.0306135	0.0335276	0.029775	0.0296295	0.029375	0.0291266	0.0290164	0.0288964	0.0287785	0.0285281	0.0280614	0.0279113	0.0277156	0.0273723	0.0272813	0.0271375	0.0268285	0.0262102	0.0250341	0.0260304	0.0375732	0.0234912	0.0234203	0.0232639	0.0229433	0.0223223	0.0212053	0.021236	0.0417278	0.0208767	0.0235204	0.0194614	0.0194032	0.0193063	0.019159	0.0189	0.0186156	0.0199496	0.0184526	0.0184126	0.0183607	0.0182518	0.0180405	0.0176776	0.0174916	0.0237047	0.0171689	0.0171336	0.0170527	0.0168932	0.0166243	0.0164236	0.0173793	0.0162936	0.0162665	0.0162171	0.0161172	0.0160017	0.0157775	0.0153847	0.0155132	0.0235933	0.014741	0.0146998	0.0146121	0.0144443	0.0141939	0.0142024	0.0171731	0.0139595	0.0139343	0.0138765	0.0137597	0.01353	0.0133195	0.0139823	0.0132434	0.0132289	0.0132053	0.0131553	0.0130743	0.012967	0.0128432	0.013025	0.0128042	0.0127773	0.0127296	0.0126713	0.0125657	0.0123705	0.0120537	0.0140164	0.0132869	0.0116332	0.0115942	0.0115437	0.0115091	0.0114389	0.011326	0.0112235	0.0128058	0.0111441	0.0111281	0.011096	0.0110301	0.0109079	0.0107112	0.0109313	0.0109563	0.0105358	0.0105228	0.0104924	0.01043	0.0103113	0.0102811	0.0103157	0.0101327	0.0101084	0.0100727	0.0100003	0.00990321	

306	0.172	1	0	task-3:0.404	task-0:0.46	task-1:0.432	task-2:0.402	|	0.0586933	0.0579871	0.0569525	0.0566473	0.0562684	0.0557958	0.0552966	0.0545999	0.0562036	0.0545884	0.0542931	0.0542348	0.0541026	0.0538615	0.0536366	0.0538641	0.0535405	0.0535179	0.0534774	0.0534431	0.0533802	0.0532921	0.0531977	0.0533233	0.0531415	0.0531255	0.0530999	0.0530729	0.0530612	0.0530403	0.0530161	0.0527052	0.0522026	0.0509342	0.0490258	0.0470982	0.0458795	0.044112	0.0424603	0.041624	0.0411839	0.0406646	0.0404023	0.0398466	0.0389453	0.0378331	0.0371579	0.0366407	0.0360703	0.035541	0.0352311	0.0345517	0.0333358	0.0325481	0.0359822	0.0315776	0.031399	0.0310916	0.0308267	0.0307731	0.0306081	0.0304825	0.0302995	0.030173	0.0300121	0.0298078	0.0295782	0.0295137	0.029331	0.0290553	0.0288366	0.0287091	0.0285988	0.0284831	0.0282562	0.0279096	0.0272058	0.0259612	0.0302157	0.0288432	0.0246658	0.0245331	0.0244284	0.0242105	0.0239004	0.0234552	0.0236804	0.0233402	0.0229477	0.0228838	0.0227778	0.0225731	0.022334	0.0223354	0.0222269	0.0221651	0.0220688	0.0219735	0.0217911	0.0215645	0.0215691	0.0214676	0.0214044	0.021303	0.0211988	0.0210324	0.0209544	0.0208829	0.0208237	0.0207705	0.0206771	0.0206261	0.0205623	0.0204666	0.0203459	0.0202922	0.0201641	0.0199219	0.0197521	0.0201255	0.0195222	0.0194579	0.0193466	0.0192301	0.0191043	0.019022	0.0188946	0.0187796	0.0187231	0.0186797	0.0185865	0.0184036	0.01816	0.0179962	0.0184753	0.0177669	0.0177103	0.0176151	0.0175286	0.0174248	0.0173617	0.0172339	0.0170179	0.0169427	0.0170182	0.0167027	0.0166665	0.0166062	0.0165016	0.0164777	0.0164541	0.0164115	0.0163278	0.0161929	0.0160836	0.0160444	0.0159493	0.0159153	0.0158773	0.01579	0.0157722	0.015743	0.0157137	0.0156627	0.0155892	0.0155457	0.0155074	0.0154217	0.0153116	0.0151428	0.014913	0.0156793	0.0148433	0.0148034	0.0147325	0.0146631	0.0145425	0.0143029	0.0144474	0.0146937	0.0139707	0.013932	0.0138732	0.0137483	0.0134941	0.0130053	0.0122992	0.0297181	0.012338	0.0122726	0.012088	0.0120748	0.0120418	0.0119617	0.0118183	0.0118972	0.0117379	0.0116755	0.0116659	0.0116372	0.0115692	0.0114444	0.0113305	0.0123719	0.0112144	0.0111947	0.0111546	0.0110735	0.0109454	0.0109801	0.0108558	0.010805	0.0107951	0.0107707	0.0107191	0.0106301	0.0106344	0.0106083	0.0105752	0.0105652	0.0105474	0.0105177	0.0104521	0.0103427	0.0103347	0.0104269	0.0101765	0.0101605	0.0101345	0.0100701	0.0100528	0.0100306	0.00999722	

306	0.14	1	0	task-3:0.404	task-0:0.46	task-1:0.432	task-2:0.402	|	0.0586933	0.0579871	0.0569525	0.0566473	0.0562684	0.0557958	0.0552966	0.0545999	0.0562036	0.0545884	0.0542931	0.0542348	0.0541026	0.0538615	0.0536366	0.0538641	0.0535405	0.0535179	0.0534774	0.0534431	0.0533802	0.0532921	0.0531977	0.0533233	0.0531415	0.0531255	0.0530999	0.0530729	0.0530612	0.0530403	0.0530161	0.0527052	0.0522026	0.0509342	0.0490258	0.0470982	0.0458795	0.044112	0.0424603	0.041624	0.0411839	0.0406646	0.0404023	0.0398466	0.0389453	0.0378331	0.0371579	0.0366407	0.0360703	0.035541	0.0352311	0.0345517	0.0333358	0.0325481	0.0359822	0.0315776	0.031399	0.0310916	0.0308267	0.0307731	0.0306081	0.0304825	0.0302995	0.030173	0.0300121	0.0298078	0.0295782	0.0295137	0.029331	0.0290553	0.0288366	0.0287091	0.0285988	0.0284831	0.0282562	0.0279096	0.0272058	0.0259612	0.0302157	0.0288432	0.0246658	0.0245331	0.0244284	0.0242105	0.0239004	0.0234552	0.0236804	0.0233402	0.0229477	0.0228838	0.0227778	0.0225731	0.022334	0.0223354	0.0222269	0.0221651	0.0220688	0.0219735	0.0217911	0.0215645	0.0215691	0.0214676	0.0214044	0.021303	0.0211988	0.0210324	0.0209544	0.0208829	0.0208237	0.0207705	0.0206771	0.0206261	0.0205623	0.0204666	0.0203459	0.0202922	0.0201641	0.0199219	0.0197521	0.0201255	0.0195222	0.0194579	0.0193466	0.0192301	0.0191043	0.019022	0.0188946	0.0187796	0.0187231	0.0186797	0.0185865	0.0184036	0.01816	0.0179962	0.0184753	0.0177669	0.0177103	0.0176151	0.0175286	0.0174248	0.0173617	0.0172339	0.0170179	0.0169427	0.0170182	0.0167027	0.0166665	0.0166062	0.0165016	0.0164777	0.0164541	0.0164115	0.0163278	0.0161929	0.0160836	0.0160444	0.0159493	0.0159153	0.0158773	0.01579	0.0157722	0.015743	0.0157137	0.0156627	0.0155892	0.0155457	0.0155074	0.0154217	0.0153116	0.0151428	0.014913	0.0156793	0.0148433	0.0148034	0.0147325	0.0146631	0.0145425	0.0143029	0.0144474	0.0146937	0.0139707	0.013932	0.0138732	0.0137483	0.0134941	0.0130053	0.0122992	0.0297181	0.012338	0.0122726	0.012088	0.0120748	0.0120418	0.0119617	0.0118183	0.0118972	0.0117379	0.0116755	0.0116659	0.0116372	0.0115692	0.0114444	0.0113305	0.0123719	0.0112144	0.0111947	0.0111546	0.0110735	0.0109454	0.0109801	0.0108558	0.010805	0.0107951	0.0107707	0.0107191	0.0106301	0.0106344	0.0106083	0.0105752	0.0105652	0.0105474	0.0105177	0.0104521	0.0103427	0.0103347	0.0104269	0.0101765	0.0101605	0.0101345	0.0100701	0.0100528	0.0100306	0.00999722	

103	0.047	1	0	task-3:0.02	task-0:0.168	task-1:0.262	task-2:0.144	|	0.0563966	0.0561399	0.0557667	0.0557042	0.0556147	0.055462	0.0553003	0.0549839	0.0544727	0.05445	0.0548458	0.0540346	0.0539863	0.0538867	0.0536957	0.0533855	0.0536046	0.0538533	0.0531496	0.0531429	0.0531258	0.0530918	0.0530642	0.0530449	0.0530032	0.0529907	0.0529773	0.0524134	0.0515833	0.0495054	0.0464808	0.0438123	0.0398951	0.0354993	0.0379876	0.0315066	0.0300658	0.0279893	0.027086	0.0258524	0.0249662	0.0234134	0.0209023	0.0169648	0.0116711	0.0352063	0.0282923	0.0178572	0.0125557	0.00806362	

136	0.078	1	0	task-3:0.054	task-0:0.144	task-1:0.228	task-2:0.128	|	0.0792868	0.0719942	0.0561661	0.0553084	0.0546557	0.054532	0.0543174	0.0540721	0.0538186	0.0536594	0.0535186	0.0533155	0.0535888	0.0532701	0.0532599	0.0532419	0.0532254	0.0531902	0.0531307	0.0531083	0.0530775	0.0530632	0.0530574	0.0524719	0.051592	0.0494093	0.0461039	0.0434083	0.040092	0.0378386	0.0432485	0.0356969	0.0347608	0.0329315	0.0302385	0.0281113	0.030321	0.0272136	0.026546	0.0262127	0.0256711	0.0248301	0.0238992	0.0233076	0.0240712	0.0221636	0.0218814	0.0216012	0.0209679	0.0197897	0.0182042	0.0199671	0.0207964	0.0163398	0.01618	0.0160386	0.0157157	0.0150865	0.0140781	0.0155831	0.0137189	0.013625	0.0134337	0.0131363	0.0125509	0.0115082	0.0110005	0.0250675	0.00984853	

136	0.078	1	0	task-3:0.054	task-0:0.144	task-1:0.228	task-2:0.128	|	0.0792868	0.0719942	0.0561661	0.0553084	0.0546557	0.054532	0.0543174	0.0540721	0.0538186	0.0536594	0.0535186	0.0533155	0.0535888	0.0532701	0.0532599	0.0532419	0.0532254	0.0531902	0.0531307	0.0531083	0.0530775	0.0530632	0.0530574	0.0524719	0.051592	0.0494093	0.0461039	0.0434083	0.040092	0.0378386	0.0432485	0.0356969	0.0347608	0.0329315	0.0302385	0.0281113	0.030321	0.0272136	0.026546	0.0262127	0.0256711	0.0248301	0.0238992	0.0233076	0.0240712	0.0221636	0.0218814	0.0216012	0.0209679	0.0197897	0.0182042	0.0199671	0.0207964	0.0163398	0.01618	0.0160386	0.0157157	0.0150865	0.0140781	0.0155831	0.0137189	0.013625	0.0134337	0.0131363	0.0125509	0.0115082	0.0110005	0.0250675	0.00984853	

136	0.078	1	0	task-3:0.054	task-0:0.144	task-1:0.228	task-2:0.128	|	0.0792868	0.0719942	0.0561661	0.0553084	0.0546557	0.054532	0.0543174	0.0540721	0.0538186	0.0536594	0.0535186	0.0533155	0.0535888	0.0532701	0.0532599	0.0532419	0.0532254	0.0531902	0.0531307	0.0531083	0.0530775	0.0530632	0.0530574	0.0524719	0.051592	0.0494093	0.0461039	0.0434083	0.040092	0.0378386	0.0432485	0.0356969	0.0347608	0.0329315	0.0302385	0.0281113	0.030321	0.0272136	0.026546	0.0262127	0.0256711	0.0248301	0.0238992	0.0233076	0.0240712	0.0221636	0.0218814	0.0216012	0.0209679	0.0197897	0.0182042	0.0199671	0.0207964	0.0163398	0.01618	0.0160386	0.0157157	0.0150865	0.0140781	0.0155831	0.0137189	0.013625	0.0134337	0.0131363	0.0125509	0.0115082	0.0110005	0.0250675	0.00984853	

136	0.078	1	0	task-3:0.054	task-0:0.144	task-1:0.228	task-2:0.128	|	0.0792868	0.0719942	0.0561661	0.0553084	0.0546557	0.054532	0.0543174	0.0540721	0.0538186	0.0536594	0.0535186	0.0533155	0.0535888	0.0532701	0.0532599	0.0532419	0.0532254	0.0531902	0.0531307	0.0531083	0.0530775	0.0530632	0.0530574	0.0524719	0.051592	0.0494093	0.0461039	0.0434083	0.040092	0.0378386	0.0432485	0.0356969	0.0347608	0.0329315	0.0302385	0.0281113	0.030321	0.0272136	0.026546	0.0262127	0.0256711	0.0248301	0.0238992	0.0233076	0.0240712	0.0221636	0.0218814	0.0216012	0.0209679	0.0197897	0.0182042	0.0199671	0.0207964	0.0163398	0.01618	0.0160386	0.0157157	0.0150865	0.0140781	0.0155831	0.0137189	0.013625	0.0134337	0.0131363	0.0125509	0.0115082	0.0110005	0.0250675	0.00984853	

112	0.063	1	0	task-3:0.046	task-0:0.152	task-1:0.242	task-2:0.114	|	0.0792868	0.0719942	0.0561661	0.0553084	0.0546557	0.054532	0.0543174	0.0540721	0.0538186	0.0536594	0.0535186	0.0533155	0.0535888	0.0532701	0.0532599	0.0532419	0.0532254	0.0531902	0.0531307	0.0531083	0.0530775	0.0530632	0.0530574	0.0524565	0.0515103	0.0489764	0.0444401	0.0392033	0.0348914	0.0341908	0.0315682	0.0293953	0.0268591	0.0227389	0.0191877	0.0375915	0.0173503	0.0162285	0.0157452	0.01525	0.0145805	0.013618	0.012972	0.0126304	0.0116187	0.0110073	0.0101152	0.00929876	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

102	0.062	1	0	task-3:0.06	task-0:0.126	task-1:0.214	task-2:0.132	|	0.0607357	0.0586331	0.0561759	0.0560376	0.05573	0.0551267	0.0541222	0.0539485	0.069921	0.0531108	0.0530745	0.0530225	0.053012	0.0529917	0.05296	0.0529105	0.0528876	0.0535208	0.0528684	0.0528637	0.0528606	0.0528545	0.0522657	0.0513815	0.0491714	0.0460819	0.0434999	0.0395422	0.0349923	0.0357713	0.0308494	0.0288244	0.0266475	0.0252177	0.0245082	0.0237924	0.0223542	0.020492	0.0190733	0.0186636	0.0182648	0.0176291	0.0171678	0.0165159	0.0155403	0.0142409	0.0142627	0.0134724	0.0131394	0.0126964	0.0122918	0.0116756	0.010627	0.00970785	

100	0.047	1	0	task-3:0.088	task-0:0.16	task-1:0.226	task-2:0.118	|	0.0610631	0.0599048	0.0581509	0.0578346	0.057336	0.0563858	0.0550895	0.0560319	0.0544605	0.05423	0.0541974	0.0541224	0.0540159	0.0539423	0.0537924	0.0535308	0.0532076	0.0546757	0.0557565	0.0528754	0.052872	0.0528698	0.052867	0.052861	0.0528511	0.0528446	0.0529514	0.0528378	0.0528313	0.0528308	0.0528297	0.0528276	0.0522616	0.0513637	0.0488854	0.0441989	0.0379445	0.0349502	0.0340496	0.0324646	0.0305661	0.0285952	0.0251467	0.0244253	0.0227503	0.0209421	0.0203692	0.0191733	0.0172379	0.0151369	0.0148881	0.0124588	0.0114141	0.0108032	0.00995294	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

