4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.121622	0.0830096	0.0100645	0.00269858	0.00104596	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0968368	0.0588754	0.00619627	0.00247235	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0259591	0.0165733	0.00398251	0.00147193	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0331434	0.0214722	0.00537543	0.0019285	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0272088	0.0175657	0.00449099	0.00165815	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0212469	0.0142823	0.00426593	0.00151674	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0843314	0.0512557	0.00682637	0.00257942	0.000877317	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0409069	0.0259283	0.00574431	0.00208338	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.11349	0.0738006	0.00850389	0.00281321	0.00100836	

4	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.111519	0.0725109	0.00809719	0.00266841	0.000963377	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0806845	0.0473629	0.00471949	0.00201361	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0861642	0.0506825	0.00522969	0.00222714	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0882412	0.0535992	0.00523495	0.00207079	

4	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0911644	0.0555624	0.00677827	0.00258884	0.000881478	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0603289	0.0354269	0.0052537	0.00215402	

