51	0.109	16	0	task-3:0.49	task-0:0.334	task-1:0.348	task-2:0.17	|	0.0571861	0.119996	0.119993	0.118483	0.0654751	0.0824476	0.0722994	0.0537743	0.0656791	0.0631398	0.054188	0.0551117	0.0542588	0.0531804	0.0534538	0.0532619	0.0525084	0.0518562	0.0509826	0.0546619	0.0520176	0.0507925	0.0500386	0.0510276	0.0510507	0.0495989	0.0492117	0.0493723	0.0494582	0.0495664	0.0493491	0.0490332	0.0488148	0.0486198	0.0485307	0.0483773	0.0483794	0.0483772	0.0483862	0.0481491	0.0478997	0.0475228	0.0471961	0.0475855	0.0465521	0.0464062	0.0453899	0.0444853	0.0433595	0.0416845	0.038952	
35	0.078	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

61	0.141	16	0	task-3:0.344	task-0:0.41	task-1:0.402	task-2:0.364	|	0.0753704	0.119672	0.118934	0.0770181	0.0720154	0.0616404	0.0557719	0.0561628	0.0546701	0.0549031	0.054776	0.0545204	0.0545453	0.0545276	0.0544515	0.0543484	0.0540517	0.0545033	0.0540665	0.0541714	0.053867	0.0535032	0.0532187	0.0529312	0.0526587	0.052284	0.0475631	0.0462097	0.0499613	0.049187	0.0448925	0.0434773	0.044152	0.0451947	0.0466401	0.0502494	0.0501941	0.0574338	0.0563835	0.0486145	0.0475978	0.0486917	0.0500488	0.0465801	0.0463218	0.0457407	0.0452203	0.0457163	0.0451392	0.0444557	0.0441986	0.0438669	0.0436325	0.0434258	0.043122	0.042657	0.0419383	0.0407941	0.040222	0.0400974	0.039303	

35	0.078	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

35	0.078	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

35	0.078	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

19	0.047	16	0	task-3:0.43	task-0:0.362	task-1:0.364	task-2:0.414	|	0.0853829	0.099884	0.0996844	0.0855213	0.0627329	0.0566915	0.0550223	0.0544779	0.0542657	0.05404	0.0536942	0.0533226	0.0525992	0.0511194	0.0487376	0.0465472	0.0443729	0.0417857	0.0377194	

35	0.063	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

35	0.078	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

35	0.079	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

19	0.046	16	0	task-3:0.43	task-0:0.362	task-1:0.364	task-2:0.414	|	0.0853829	0.099884	0.0996844	0.0855213	0.0627329	0.0566915	0.0550223	0.0544779	0.0542657	0.05404	0.0536942	0.0533226	0.0525992	0.0511194	0.0487376	0.0465472	0.0443729	0.0417857	0.0377194	

35	0.079	16	0	task-3:0.348	task-0:0.324	task-1:0.314	task-2:0.47	|	0.0579456	0.11998	0.119957	0.114288	0.0545273	0.0548371	0.0585905	0.0563747	0.0546283	0.0551502	0.0549013	0.0546898	0.0546553	0.0546586	0.0547058	0.054536	0.0542877	0.0550361	0.0542101	0.0538696	0.0537482	0.0533191	0.0527672	0.0514301	0.0485468	0.0451264	0.043978	0.0432698	0.0428164	0.0430691	0.0412635	0.040485	0.0400713	0.0404633	0.0378165	

15	0.031	16	0	task-3:0.45	task-0:0.374	task-1:0.298	task-2:0.428	|	0.0820455	0.118229	0.116343	0.0685967	0.0616067	0.0596553	0.0543011	0.0569167	0.0550535	0.0521188	0.0527075	0.0514157	0.0470174	0.0424237	0.0396905	

28	0.063	16	0	task-3:0.482	task-0:0.284	task-1:0.322	task-2:0.52	|	0.0599135	0.0998409	0.0994061	0.0814442	0.0672809	0.0631904	0.0550881	0.0549869	0.0559645	0.0556097	0.0544554	0.0547721	0.0544318	0.0535512	0.0526521	0.0520641	0.0510733	0.0500126	0.0489159	0.0475239	0.046342	0.0452929	0.044992	0.0450998	0.0449336	0.0435934	0.0432869	0.036183	

19	0.047	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.031	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.031	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.032	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

27	0.062	16	0	task-3:0.224	task-0:0.464	task-1:0.26	task-2:0.322	|	0.0771848	0.099598	0.097943	0.0649027	0.0688144	0.0697027	0.0564556	0.0553871	0.0557001	0.0546508	0.0549992	0.0547904	0.0545037	0.0547247	0.0546987	0.0545998	0.0546446	0.0546257	0.0548317	0.0545623	0.0545352	0.0466284	0.0461711	0.0456774	0.0444099	0.0430069	0.0385669	

19	0.047	16	0	task-3:0.396	task-0:0.302	task-1:0.362	task-2:0.288	|	0.0560378	0.119404	0.117601	0.0890722	0.052087	0.0536859	0.0518906	0.052012	0.0569249	0.0521037	0.0511948	0.0508964	0.0492011	0.0484649	0.0469274	0.0451199	0.0419601	0.0404284	0.0387681	

