23	0.047	16	0	task-3:0.464	task-0:0.374	task-1:0.2	task-2:0.458	|	0.0571861	0.119996	0.119993	0.118301	0.0604343	0.0896717	0.0798738	0.0547247	0.0657675	0.0634308	0.0544744	0.0566219	0.0552332	0.0541523	0.0541383	0.0541892	0.0542793	0.0545215	0.0472851	0.0529038	0.0456787	0.0441329	0.0298891	
34	0.062	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

168	0.328	16	0	task-3:0.468	task-0:0.338	task-1:0.594	task-2:0.534	|	0.0584169	0.0988672	0.0959584	0.0749837	0.0552671	0.0557545	0.0543781	0.0544294	0.054428	0.0543107	0.0541896	0.0540769	0.0539392	0.0538658	0.0538505	0.0538747	0.0596361	0.0881181	0.0879562	0.0807527	0.0798677	0.0739039	0.0764779	0.0449709	0.0436733	0.0785169	0.077574	0.0423753	0.0417291	0.0404929	0.0504997	0.0657415	0.0665532	0.0591174	0.0629849	0.0733365	0.0774258	0.0791428	0.0800277	0.0803146	0.0797767	0.0780852	0.0861461	0.0857187	0.0681447	0.0607755	0.0509903	0.0508377	0.0520729	0.0578556	0.0613881	0.0607651	0.0592475	0.057967	0.0570886	0.0566117	0.0564627	0.0562766	0.0559777	0.0556503	0.0553066	0.05495	0.054595	0.0544384	0.0520827	0.0516482	0.0529672	0.0531452	0.0519065	0.0517552	0.0516402	0.0511011	0.0504575	0.0523376	0.0537171	0.0516647	0.0521266	0.0524799	0.0566392	0.055591	0.053089	0.0534653	0.0507247	0.0553374	0.081002	0.0810312	0.077582	0.0817786	0.0701717	0.0559443	0.0503057	0.0463903	0.0462799	0.050007	0.0499251	0.0543513	0.0542996	0.0541819	0.0454759	0.0452627	0.0492549	0.0539722	0.0544742	0.0542386	0.0516274	0.0538518	0.0538485	0.0538404	0.0538362	0.0538251	0.0772955	0.0946739	0.107506	0.0568848	0.0599987	0.0721337	0.0542412	0.0530576	0.0537351	0.053706	0.05371	0.0537245	0.0537369	0.0537524	0.0537419	0.0537161	0.0536854	0.0536489	0.0536057	0.0535548	0.053495	0.0479237	0.0765688	0.0715035	0.055286	0.0567618	0.0472582	0.0415726	0.0434113	0.0428665	0.0465233	0.0464245	0.0446253	0.0445041	0.0452923	0.052437	0.0524005	0.0518695	0.0512117	0.0476038	0.0447005	0.0447838	0.0460796	0.0503921	0.0503155	0.0500452	0.0497752	0.0493628	0.0489661	0.0490992	0.0503271	0.0417116	0.0415089	0.0410991	0.0406668	0.0405316	0.0400909	0.0394441	

34	0.063	16	0	task-3:0.422	task-0:0.308	task-1:0.354	task-2:0.46	|	0.0611133	0.0999632	0.0999232	0.0956851	0.0660092	0.0655101	0.0706785	0.0701572	0.0542012	0.0704354	0.0700852	0.0565827	0.0550802	0.0552237	0.053171	0.0548338	0.0542677	0.05251	0.0527824	0.0527224	0.0520698	0.0516533	0.051443	0.0511002	0.0508766	0.0508821	0.0504951	0.0498376	0.0482929	0.046703	0.0449418	0.043915	0.040588	0.0376608	

34	0.062	16	0	task-3:0.422	task-0:0.308	task-1:0.354	task-2:0.46	|	0.0611133	0.0999632	0.0999232	0.0956851	0.0660092	0.0655101	0.0706785	0.0701572	0.0542012	0.0704354	0.0700852	0.0565827	0.0550802	0.0552237	0.053171	0.0548338	0.0542677	0.05251	0.0527824	0.0527224	0.0520698	0.0516533	0.051443	0.0511002	0.0508766	0.0508821	0.0504951	0.0498376	0.0482929	0.046703	0.0449418	0.043915	0.040588	0.0376608	

168	0.313	16	0	task-3:0.468	task-0:0.338	task-1:0.594	task-2:0.534	|	0.0584169	0.0988672	0.0959584	0.0749837	0.0552671	0.0557545	0.0543781	0.0544294	0.054428	0.0543107	0.0541896	0.0540769	0.0539392	0.0538658	0.0538505	0.0538747	0.0596361	0.0881181	0.0879562	0.0807527	0.0798677	0.0739039	0.0764779	0.0449709	0.0436733	0.0785169	0.077574	0.0423753	0.0417291	0.0404929	0.0504997	0.0657415	0.0665532	0.0591174	0.0629849	0.0733365	0.0774258	0.0791428	0.0800277	0.0803146	0.0797767	0.0780852	0.0861461	0.0857187	0.0681447	0.0607755	0.0509903	0.0508377	0.0520729	0.0578556	0.0613881	0.0607651	0.0592475	0.057967	0.0570886	0.0566117	0.0564627	0.0562766	0.0559777	0.0556503	0.0553066	0.05495	0.054595	0.0544384	0.0520827	0.0516482	0.0529672	0.0531452	0.0519065	0.0517552	0.0516402	0.0511011	0.0504575	0.0523376	0.0537171	0.0516647	0.0521266	0.0524799	0.0566392	0.055591	0.053089	0.0534653	0.0507247	0.0553374	0.081002	0.0810312	0.077582	0.0817786	0.0701717	0.0559443	0.0503057	0.0463903	0.0462799	0.050007	0.0499251	0.0543513	0.0542996	0.0541819	0.0454759	0.0452627	0.0492549	0.0539722	0.0544742	0.0542386	0.0516274	0.0538518	0.0538485	0.0538404	0.0538362	0.0538251	0.0772955	0.0946739	0.107506	0.0568848	0.0599987	0.0721337	0.0542412	0.0530576	0.0537351	0.053706	0.05371	0.0537245	0.0537369	0.0537524	0.0537419	0.0537161	0.0536854	0.0536489	0.0536057	0.0535548	0.053495	0.0479237	0.0765688	0.0715035	0.055286	0.0567618	0.0472582	0.0415726	0.0434113	0.0428665	0.0465233	0.0464245	0.0446253	0.0445041	0.0452923	0.052437	0.0524005	0.0518695	0.0512117	0.0476038	0.0447005	0.0447838	0.0460796	0.0503921	0.0503155	0.0500452	0.0497752	0.0493628	0.0489661	0.0490992	0.0503271	0.0417116	0.0415089	0.0410991	0.0406668	0.0405316	0.0400909	0.0394441	

