462	0.203	2	2	task-3:0.114	task-0:0.416	task-1:0.234	task-2:0.034	|	0.0546406	0.0544119	0.0541364	0.0540545	0.0538891	0.0536032	0.0534608	0.0541761	0.053263	0.0532434	0.053206	0.0531613	0.0531388	0.0531202	0.0530827	0.0530266	0.0530363	0.0530015	0.0529943	0.0526076	0.0520164	0.0503452	0.0468548	0.041019	0.0509583	0.0385903	0.0372813	0.0371049	0.0366708	0.035786	0.0343473	0.0320046	0.0289743	0.0423835	0.0363412	0.0263593	0.0242023	0.0239153	0.0236262	0.0233129	0.0230418	0.0227022	0.0222654	0.0244942	0.0231673	0.0219986	0.0218764	0.021646	0.0213115	0.0209716	0.0205813	0.0200702	0.020074	0.0197499	0.019667	0.0194994	0.0192266	0.0190782	0.018902	0.0188643	0.0187796	0.0187018	0.0185582	0.0184343	0.0182151	0.0178212	0.0171687	0.0200692	0.0170981	0.0170358	0.0169692	0.0168659	0.0166635	0.0162973	0.0157741	0.0177341	0.0210018	0.015138	0.0150342	0.0148979	0.0146986	0.014543	0.0143668	0.0141118	0.0141966	0.0151687	0.0139136	0.0139016	0.0138686	0.0138065	0.0136648	0.0134186	0.0131739	0.0135434	0.0130337	0.0129807	0.0129009	0.0128625	0.0127831	0.0127364	0.0126848	0.012608	0.012483	0.0124951	0.0124445	0.0123899	0.0123677	0.0123293	0.0122595	0.0121241	0.0118828	0.0115427	0.0157178	0.0138852	0.0112839	0.0111403	0.0110091	0.01082	0.0108108	0.0106796	0.0106581	0.0106122	0.0105295	0.0104192	0.0109306	0.0103306	0.0103221	0.0103096	0.0102675	0.0101864	0.0100576	0.010054	0.0100964	0.00987564	0.00986024	0.00983459	0.00975649	0.00974211	0.00973054	0.00967339	0.00963736	0.00957161	0.00943938	0.00918492	0.00937756	0.0126802	0.00882949	0.00876058	0.00874627	0.00872443	0.00868336	0.00861479	0.00856411	0.00870897	0.00851011	0.00849248	0.00846534	0.0084248	0.00834969	0.00830934	0.00827957	0.00823585	0.00821259	0.00818683	0.00815178	0.00810678	0.00811998	0.00808738	0.0080699	0.00805493	0.0080243	0.00796204	0.00785395	0.0077053	0.00992509	0.00763031	0.00762811	0.00761536	0.00758148	0.007518	0.00742281	0.00761837	0.00755497	0.00731615	0.00730773	0.00728962	0.00724129	0.00715115	0.0070458	0.00739385	0.00698919	0.00698464	0.0069785	0.00696619	0.00692301	0.00689501	0.00683638	0.00670838	0.00687851	0.00709211	0.00656306	0.00655363	0.00653406	0.00649494	0.00641523	0.006554	0.0064107	0.00639663	0.00637082	0.00634274	0.00629151	0.00622046	0.00641235	0.0061974	0.00618339	0.0061575	0.00614048	0.00609665	0.00608424	0.0060373	0.00603862	0.00603541	0.00603771	0.00601954	0.00598997	0.00598112	0.00596187	0.00592004	0.00582607	0.00590543	0.00603945	0.00571696	0.00571008	0.00569665	0.00565968	0.00559082	0.0056782	0.00559527	0.00551183	0.00550701	0.00549813	0.00546134	0.00545559	0.00544759	0.00541041	0.00540509	0.00539914	0.00536566	0.00536035	0.00535616	0.00532016	0.00531621	0.00530827	0.00529708	0.00526162	0.00525822	0.00522117	0.00522056	0.00521662	0.00521346	0.00519676	0.00516787	0.00516696	0.00513506	0.00511969	0.00511678	0.00511582	0.00508629	0.00507562	0.00507231	0.0050673	0.00506298	0.00503266	0.0050245	0.00500843	0.00497918	0.00491962	0.0051614	0.00487773	0.00487342	0.00487474	0.00486694	0.00485106	0.00482351	0.00481942	0.00478098	0.00478262	0.00478101	0.00478431	0.00476645	0.00474893	0.00474651	0.00474673	0.00473892	0.00472249	0.00468941	0.00462153	0.00451563	0.00468399	0.00769925	0.00436714	0.00434801	0.00432371	0.00429612	0.00428522	0.00427915	0.00426048	0.00422911	0.00421136	0.00418236	0.00422422	0.0041835	0.00417821	0.00416969	0.00417067	0.00415817	0.00413737	0.0041223	0.0040973	0.00403615	0.00403842	0.00393932	0.00379427	0.0035422	0.00323575	0.00300649	0.00280319	0.00256049	0.00232859	

132	0.063	1	0	task-3:0.456	task-0:0.148	task-1:0.132	task-2:0.466	|	0.0646721	0.0602301	0.0546763	0.0545939	0.0544169	0.0540939	0.0536056	0.0539965	0.0542796	0.0532338	0.053218	0.0531818	0.0531096	0.0530619	0.0531673	0.0530006	0.0529904	0.052971	0.0529457	0.052925	0.0529332	0.0529143	0.0521058	0.0509733	0.0481025	0.0435915	0.0400884	0.0365353	0.0358276	0.0339898	0.03339	0.0321077	0.0298325	0.0254007	0.0224606	0.030379	0.0184268	0.0179167	0.0168448	0.0148402	0.0123591	0.0232308	0.0116082	0.0114593	0.0111936	0.0108299	0.0101804	0.00923745	0.0101334	0.0158226	0.00818698	0.0080597	0.00782846	0.00745086	0.006758	0.00578709	0.00527493	0.00977094	0.00483678	0.00472807	0.00461314	0.00449373	0.00433548	0.00414938	0.0040895	0.00403077	0.00395525	0.00379282	0.00352405	0.00348798	0.00329997	0.00322693	0.00320341	0.0031679	0.00309119	0.00293358	0.00281492	0.00271946	0.00269757	0.00257563	0.00253465	0.00250836	0.00245266	

132	0.062	1	0	task-3:0.456	task-0:0.148	task-1:0.132	task-2:0.466	|	0.0646721	0.0602301	0.0546763	0.0545939	0.0544169	0.0540939	0.0536056	0.0539965	0.0542796	0.0532338	0.053218	0.0531818	0.0531096	0.0530619	0.0531673	0.0530006	0.0529904	0.052971	0.0529457	0.052925	0.0529332	0.0529143	0.0521058	0.0509733	0.0481025	0.0435915	0.0400884	0.0365353	0.0358276	0.0339898	0.03339	0.0321077	0.0298325	0.0254007	0.0224606	0.030379	0.0184268	0.0179167	0.0168448	0.0148402	0.0123591	0.0232308	0.0116082	0.0114593	0.0111936	0.0108299	0.0101804	0.00923745	0.0101334	0.0158226	0.00818698	0.0080597	0.00782846	0.00745086	0.006758	0.00578709	0.00527493	0.00977094	0.00483678	0.00472807	0.00461314	0.00449373	0.00433548	0.00414938	0.0040895	0.00403077	0.00395525	0.00379282	0.00352405	0.00348798	0.00329997	0.00322693	0.00320341	0.0031679	0.00309119	0.00293358	0.00281492	0.00271946	0.00269757	0.00257563	0.00253465	0.00250836	0.00245266	

462	0.219	2	2	task-3:0.114	task-0:0.416	task-1:0.234	task-2:0.034	|	0.0546406	0.0544119	0.0541364	0.0540545	0.0538891	0.0536032	0.0534608	0.0541761	0.053263	0.0532434	0.053206	0.0531613	0.0531388	0.0531202	0.0530827	0.0530266	0.0530363	0.0530015	0.0529943	0.0526076	0.0520164	0.0503452	0.0468548	0.041019	0.0509583	0.0385903	0.0372813	0.0371049	0.0366708	0.035786	0.0343473	0.0320046	0.0289743	0.0423835	0.0363412	0.0263593	0.0242023	0.0239153	0.0236262	0.0233129	0.0230418	0.0227022	0.0222654	0.0244942	0.0231673	0.0219986	0.0218764	0.021646	0.0213115	0.0209716	0.0205813	0.0200702	0.020074	0.0197499	0.019667	0.0194994	0.0192266	0.0190782	0.018902	0.0188643	0.0187796	0.0187018	0.0185582	0.0184343	0.0182151	0.0178212	0.0171687	0.0200692	0.0170981	0.0170358	0.0169692	0.0168659	0.0166635	0.0162973	0.0157741	0.0177341	0.0210018	0.015138	0.0150342	0.0148979	0.0146986	0.014543	0.0143668	0.0141118	0.0141966	0.0151687	0.0139136	0.0139016	0.0138686	0.0138065	0.0136648	0.0134186	0.0131739	0.0135434	0.0130337	0.0129807	0.0129009	0.0128625	0.0127831	0.0127364	0.0126848	0.012608	0.012483	0.0124951	0.0124445	0.0123899	0.0123677	0.0123293	0.0122595	0.0121241	0.0118828	0.0115427	0.0157178	0.0138852	0.0112839	0.0111403	0.0110091	0.01082	0.0108108	0.0106796	0.0106581	0.0106122	0.0105295	0.0104192	0.0109306	0.0103306	0.0103221	0.0103096	0.0102675	0.0101864	0.0100576	0.010054	0.0100964	0.00987564	0.00986024	0.00983459	0.00975649	0.00974211	0.00973054	0.00967339	0.00963736	0.00957161	0.00943938	0.00918492	0.00937756	0.0126802	0.00882949	0.00876058	0.00874627	0.00872443	0.00868336	0.00861479	0.00856411	0.00870897	0.00851011	0.00849248	0.00846534	0.0084248	0.00834969	0.00830934	0.00827957	0.00823585	0.00821259	0.00818683	0.00815178	0.00810678	0.00811998	0.00808738	0.0080699	0.00805493	0.0080243	0.00796204	0.00785395	0.0077053	0.00992509	0.00763031	0.00762811	0.00761536	0.00758148	0.007518	0.00742281	0.00761837	0.00755497	0.00731615	0.00730773	0.00728962	0.00724129	0.00715115	0.0070458	0.00739385	0.00698919	0.00698464	0.0069785	0.00696619	0.00692301	0.00689501	0.00683638	0.00670838	0.00687851	0.00709211	0.00656306	0.00655363	0.00653406	0.00649494	0.00641523	0.006554	0.0064107	0.00639663	0.00637082	0.00634274	0.00629151	0.00622046	0.00641235	0.0061974	0.00618339	0.0061575	0.00614048	0.00609665	0.00608424	0.0060373	0.00603862	0.00603541	0.00603771	0.00601954	0.00598997	0.00598112	0.00596187	0.00592004	0.00582607	0.00590543	0.00603945	0.00571696	0.00571008	0.00569665	0.00565968	0.00559082	0.0056782	0.00559527	0.00551183	0.00550701	0.00549813	0.00546134	0.00545559	0.00544759	0.00541041	0.00540509	0.00539914	0.00536566	0.00536035	0.00535616	0.00532016	0.00531621	0.00530827	0.00529708	0.00526162	0.00525822	0.00522117	0.00522056	0.00521662	0.00521346	0.00519676	0.00516787	0.00516696	0.00513506	0.00511969	0.00511678	0.00511582	0.00508629	0.00507562	0.00507231	0.0050673	0.00506298	0.00503266	0.0050245	0.00500843	0.00497918	0.00491962	0.0051614	0.00487773	0.00487342	0.00487474	0.00486694	0.00485106	0.00482351	0.00481942	0.00478098	0.00478262	0.00478101	0.00478431	0.00476645	0.00474893	0.00474651	0.00474673	0.00473892	0.00472249	0.00468941	0.00462153	0.00451563	0.00468399	0.00769925	0.00436714	0.00434801	0.00432371	0.00429612	0.00428522	0.00427915	0.00426048	0.00422911	0.00421136	0.00418236	0.00422422	0.0041835	0.00417821	0.00416969	0.00417067	0.00415817	0.00413737	0.0041223	0.0040973	0.00403615	0.00403842	0.00393932	0.00379427	0.0035422	0.00323575	0.00300649	0.00280319	0.00256049	0.00232859	

132	0.063	1	0	task-3:0.456	task-0:0.148	task-1:0.132	task-2:0.466	|	0.0646721	0.0602301	0.0546763	0.0545939	0.0544169	0.0540939	0.0536056	0.0539965	0.0542796	0.0532338	0.053218	0.0531818	0.0531096	0.0530619	0.0531673	0.0530006	0.0529904	0.052971	0.0529457	0.052925	0.0529332	0.0529143	0.0521058	0.0509733	0.0481025	0.0435915	0.0400884	0.0365353	0.0358276	0.0339898	0.03339	0.0321077	0.0298325	0.0254007	0.0224606	0.030379	0.0184268	0.0179167	0.0168448	0.0148402	0.0123591	0.0232308	0.0116082	0.0114593	0.0111936	0.0108299	0.0101804	0.00923745	0.0101334	0.0158226	0.00818698	0.0080597	0.00782846	0.00745086	0.006758	0.00578709	0.00527493	0.00977094	0.00483678	0.00472807	0.00461314	0.00449373	0.00433548	0.00414938	0.0040895	0.00403077	0.00395525	0.00379282	0.00352405	0.00348798	0.00329997	0.00322693	0.00320341	0.0031679	0.00309119	0.00293358	0.00281492	0.00271946	0.00269757	0.00257563	0.00253465	0.00250836	0.00245266	

