93	0.047	1	0	task-3:0.456	task-0:0.154	task-1:0.13	task-2:0.474	|	0.0573498	0.0561176	0.0545314	0.0543955	0.0541414	0.053775	0.0535949	0.0538998	0.0533846	0.0533645	0.0533305	0.0532854	0.0532559	0.0532128	0.0531361	0.0531053	0.0530964	0.0530448	0.0530359	0.053021	0.0529945	0.0520983	0.0508402	0.0477828	0.0446094	0.0420094	0.0382313	0.0354994	0.0342042	0.0328007	0.0318439	0.0305036	0.0277898	0.0230326	0.0256241	0.0206237	0.0191098	0.0187825	0.0180071	0.0165139	0.016563	0.0154193	0.0146242	0.0143615	0.0140219	0.0135015	0.0128642	0.0121064	0.0108482	0.00938126	
92	0.047	1	0	task-3:0.456	task-0:0.16	task-1:0.27	task-2:0.472	|	0.0683835	0.0648486	0.0570496	0.0560565	0.0551417	0.0549882	0.0547805	0.054435	0.0540887	0.0538628	0.0538573	0.0537178	0.0536791	0.0536102	0.053536	0.0534001	0.0532187	0.0537426	0.0532778	0.0530384	0.0530297	0.0530104	0.0521438	0.0509302	0.0479525	0.0448978	0.0429292	0.0400433	0.0374856	0.0349639	0.0308181	0.0240204	0.0376058	0.0329784	0.0180197	0.0345752	0.0145977	0.0142977	0.0139201	0.0132026	0.012053	0.0111987	0.0119103	0.0104657	0.0101187	0.00970628	

92	0.047	1	0	task-3:0.456	task-0:0.16	task-1:0.27	task-2:0.472	|	0.0683835	0.0648486	0.0570496	0.0560565	0.0551417	0.0549882	0.0547805	0.054435	0.0540887	0.0538628	0.0538573	0.0537178	0.0536791	0.0536102	0.053536	0.0534001	0.0532187	0.0537426	0.0532778	0.0530384	0.0530297	0.0530104	0.0521438	0.0509302	0.0479525	0.0448978	0.0429292	0.0400433	0.0374856	0.0349639	0.0308181	0.0240204	0.0376058	0.0329784	0.0180197	0.0345752	0.0145977	0.0142977	0.0139201	0.0132026	0.012053	0.0111987	0.0119103	0.0104657	0.0101187	0.00970628	

99	0.047	1	0	task-3:0.456	task-0:0.212	task-1:0.152	task-2:0.474	|	0.0618062	0.0585631	0.0547229	0.0545848	0.0542999	0.0538521	0.0535578	0.0540404	0.0534119	0.0533568	0.0533322	0.0532772	0.0531843	0.0531169	0.0539782	0.0530535	0.0529952	0.0529904	0.0529783	0.0521013	0.0508047	0.0474594	0.0420731	0.0369662	0.0320233	0.029445	0.0267725	0.0247643	0.0218772	0.0208124	0.0196816	0.0183232	0.0175992	0.0162637	0.0138698	0.011124	0.00920577	

92	0.047	1	0	task-3:0.456	task-0:0.16	task-1:0.27	task-2:0.472	|	0.0683835	0.0648486	0.0570496	0.0560565	0.0551417	0.0549882	0.0547805	0.054435	0.0540887	0.0538628	0.0538573	0.0537178	0.0536791	0.0536102	0.053536	0.0534001	0.0532187	0.0537426	0.0532778	0.0530384	0.0530297	0.0530104	0.0521438	0.0509302	0.0479525	0.0448978	0.0429292	0.0400433	0.0374856	0.0349639	0.0308181	0.0240204	0.0376058	0.0329784	0.0180197	0.0345752	0.0145977	0.0142977	0.0139201	0.0132026	0.012053	0.0111987	0.0119103	0.0104657	0.0101187	0.00970628	

92	0.031	1	0	task-3:0.456	task-0:0.16	task-1:0.27	task-2:0.472	|	0.0683835	0.0648486	0.0570496	0.0560565	0.0551417	0.0549882	0.0547805	0.054435	0.0540887	0.0538628	0.0538573	0.0537178	0.0536791	0.0536102	0.053536	0.0534001	0.0532187	0.0537426	0.0532778	0.0530384	0.0530297	0.0530104	0.0521438	0.0509302	0.0479525	0.0448978	0.0429292	0.0400433	0.0374856	0.0349639	0.0308181	0.0240204	0.0376058	0.0329784	0.0180197	0.0345752	0.0145977	0.0142977	0.0139201	0.0132026	0.012053	0.0111987	0.0119103	0.0104657	0.0101187	0.00970628	

