110	0.06	1	0	task-3:0.126	task-0:0.078	task-1:0.15	task-2:0.102	|	0.0713765	0.0655473	0.0554689	0.0541157	0.0533968	0.0522388	0.0506635	0.0519031	0.0554995	0.0501984	0.0501287	0.0500812	0.0499856	0.0498255	0.0496901	0.0495174	0.0501555	0.0494661	0.0494354	0.0494309	0.0494168	0.0493873	0.0484502	0.0471713	0.0435141	0.0376811	0.0326483	0.0287104	0.0254976	0.0219273	0.0183983	0.0123956	0.0058674	0.00369574	0.00656785	0.00254566	0.00238203	
111	0.064	1	0	task-3:0.126	task-0:0.058	task-1:0.198	task-2:0.098	|	0.06649	0.0628782	0.0546793	0.053816	0.0528881	0.0527573	0.05248	0.0519611	0.0513697	0.0525386	0.0511058	0.0510112	0.0509171	0.0508273	0.0507794	0.0507018	0.0505996	0.0505169	0.050492	0.0504288	0.050302	0.05013	0.0498494	0.0499667	0.0503677	0.0495533	0.0495422	0.0495223	0.0494845	0.0494308	0.0493314	0.04923	0.0501284	0.0491671	0.0491707	0.0483314	0.0470704	0.0436387	0.037525	0.0309028	0.0293172	0.0262584	0.0240174	0.0201314	0.0141525	0.00968769	0.00753817	0.00710234	0.00646882	0.00568355	0.00505633	0.00400497	0.00252985	0.0014586	

110	0.063	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

121	0.072	1	0	task-3:0.11	task-0:0.062	task-1:0.082	task-2:0.114	|	0.0600931	0.0590768	0.0572371	0.0566868	0.0559091	0.0546847	0.0536382	0.0526673	0.0530616	0.0521575	0.0520314	0.0518103	0.0513942	0.0509641	0.0526842	0.0506607	0.0505748	0.0504802	0.0502994	0.0500072	0.0498702	0.052358	0.0496199	0.0496067	0.0495696	0.0495163	0.0494939	0.0494623	0.0494573	0.0494521	0.0494368	0.0494085	0.0493881	0.0493461	0.0493455	0.0484834	0.0471842	0.0436869	0.037547	0.0311318	0.0287515	0.0261515	0.0235101	0.0187894	0.0122037	0.00814423	0.00741137	0.00522563	0.00461511	0.00398649	0.00331998	0.00250234	0.00174276	

110	0.052	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

110	0.055	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

93	0.05	1	0	task-3:0.102	task-0:0.106	task-1:0.1	task-2:0.114	|	0.0585266	0.0558428	0.0527762	0.0525036	0.0519865	0.0512148	0.0508588	0.0557291	0.0506818	0.0506209	0.0505765	0.0504921	0.0503459	0.0501905	0.0499525	0.0500507	0.0499399	0.0497564	0.0497481	0.0497265	0.0496784	0.0487491	0.0473601	0.0442604	0.0382201	0.0328903	0.0291375	0.0233415	0.0163031	0.0175817	0.0116054	0.0101392	0.00860297	0.00621102	0.00418095	0.00369061	0.00331191	0.00301048	0.00269109	0.00249216	

110	0.059	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

110	0.045	1	0	task-3:0.122	task-0:0.034	task-1:0.14	task-2:0.108	|	0.0588328	0.0577911	0.0561185	0.05599	0.0557787	0.0553263	0.054651	0.0540018	0.0529463	0.0527119	0.0531889	0.0519878	0.0519258	0.051785	0.0515112	0.051199	0.0514623	0.0509344	0.0504457	0.0503867	0.0503086	0.0501671	0.0499262	0.0500282	0.0503455	0.0496441	0.0496317	0.0496158	0.0495804	0.0495098	0.0493801	0.0494043	0.0499372	0.0492068	0.0492095	0.0492057	0.0491984	0.0491729	0.0491833	0.0491804	0.0491746	0.0491677	0.0491439	0.0483235	0.0470269	0.0436906	0.0380464	0.0325052	0.0284649	0.0245788	0.021485	0.0187739	0.0162456	0.015533	0.0140734	0.0121157	0.00998539	0.0070608	0.00389973	0.00288283	0.00244477	

93	0.043	1	0	task-3:0.102	task-0:0.106	task-1:0.1	task-2:0.114	|	0.0585266	0.0558428	0.0527762	0.0525036	0.0519865	0.0512148	0.0508588	0.0557291	0.0506818	0.0506209	0.0505765	0.0504921	0.0503459	0.0501905	0.0499525	0.0500507	0.0499399	0.0497564	0.0497481	0.0497265	0.0496784	0.0487491	0.0473601	0.0442604	0.0382201	0.0328903	0.0291375	0.0233415	0.0163031	0.0175817	0.0116054	0.0101392	0.00860297	0.00621102	0.00418095	0.00369061	0.00331191	0.00301048	0.00269109	0.00249216	

106	0.047	1	0	task-3:0.106	task-0:0.076	task-1:0.1	task-2:0.136	|	0.0579507	0.056326	0.054397	0.0539115	0.0530223	0.051902	0.0515405	0.0561085	0.0511402	0.0510278	0.0509651	0.0508497	0.0506681	0.0505008	0.0503428	0.0501042	0.050063	0.0505631	0.0498984	0.0498842	0.0498486	0.0497796	0.0496695	0.0496239	0.0496514	0.0495702	0.0495658	0.0495586	0.0486617	0.0473149	0.0436712	0.0372949	0.0309342	0.0289191	0.0266123	0.0243375	0.0202014	0.0136636	0.00860113	0.00773845	0.00594622	0.00520952	0.00421356	0.00338649	0.00255937	0.00158254	

93	0.054	1	0	task-3:0.102	task-0:0.106	task-1:0.1	task-2:0.114	|	0.0585266	0.0558428	0.0527762	0.0525036	0.0519865	0.0512148	0.0508588	0.0557291	0.0506818	0.0506209	0.0505765	0.0504921	0.0503459	0.0501905	0.0499525	0.0500507	0.0499399	0.0497564	0.0497481	0.0497265	0.0496784	0.0487491	0.0473601	0.0442604	0.0382201	0.0328903	0.0291375	0.0233415	0.0163031	0.0175817	0.0116054	0.0101392	0.00860297	0.00621102	0.00418095	0.00369061	0.00331191	0.00301048	0.00269109	0.00249216	

93	0.053	1	0	task-3:0.102	task-0:0.106	task-1:0.1	task-2:0.114	|	0.0585266	0.0558428	0.0527762	0.0525036	0.0519865	0.0512148	0.0508588	0.0557291	0.0506818	0.0506209	0.0505765	0.0504921	0.0503459	0.0501905	0.0499525	0.0500507	0.0499399	0.0497564	0.0497481	0.0497265	0.0496784	0.0487491	0.0473601	0.0442604	0.0382201	0.0328903	0.0291375	0.0233415	0.0163031	0.0175817	0.0116054	0.0101392	0.00860297	0.00621102	0.00418095	0.00369061	0.00331191	0.00301048	0.00269109	0.00249216	

