28	0.078	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

30	0.063	16	0	task-3:0.308	task-0:0.42	task-1:0.342	task-2:0.362	|	0.0738432	0.0999567	0.0998971	0.0929967	0.0594561	0.0587706	0.0567364	0.0549833	0.0529289	0.0516465	0.050685	0.0497534	0.0494905	0.0481624	0.0459434	0.0440787	0.0446835	0.0428313	0.0419984	0.0425361	0.0425299	0.0423216	0.0443805	0.042655	0.0438548	0.041169	0.0479719	0.0447518	0.042476	0.0362729	

28	0.062	16	0	task-3:0.488	task-0:0.23	task-1:0.216	task-2:0.492	|	0.0625289	0.119491	0.11891	0.106518	0.0607004	0.0604188	0.0553012	0.0567677	0.0559267	0.0546116	0.0544567	0.054528	0.0545144	0.0542062	0.0541359	0.0540435	0.0539206	0.0538588	0.0550025	0.0541841	0.0550534	0.0539788	0.0541426	0.0510332	0.0470749	0.0434377	0.043191	0.0393733	

27	0.047	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

27	0.062	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

36	0.094	16	0	task-3:0.446	task-0:0.29	task-1:0.406	task-2:0.446	|	0.0907804	0.0999214	0.0997777	0.0863936	0.072622	0.0709089	0.061264	0.0568573	0.0540159	0.0546118	0.0536849	0.0545207	0.0541334	0.0528418	0.0521997	0.0515618	0.0506024	0.0497215	0.0488144	0.0489447	0.049828	0.0480509	0.0478147	0.0477441	0.0475751	0.0481131	0.0476596	0.0470203	0.0462597	0.0455717	0.0450498	0.0443176	0.0435625	0.0425004	0.040494	0.0357114	

27	0.093	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

27	0.078	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

27	0.078	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

27	0.078	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

64	0.157	16	0	task-3:0.31	task-0:0.374	task-1:0.306	task-2:0.338	|	0.0743166	0.0997913	0.0991665	0.0797007	0.0655315	0.0703323	0.0648772	0.0594147	0.0550362	0.0564916	0.0564122	0.0547153	0.0552868	0.0552778	0.0546071	0.0546896	0.0546547	0.0544751	0.0547237	0.0552212	0.055437	0.0557477	0.0587973	0.0571846	0.0575996	0.0560968	0.0530507	0.0507372	0.0495314	0.0480821	0.0486508	0.0471496	0.0455738	0.0457615	0.045161	0.0444555	0.0439223	0.0433819	0.042829	0.0419907	0.0419052	0.0427266	0.0416833	0.0426371	0.0448239	0.0512722	0.05225	0.054253	0.0638732	0.0617272	0.0524018	0.0497665	0.0495299	0.0498479	0.0501389	0.0506196	0.047831	0.0472673	0.0470687	0.0468868	0.0466144	0.0459286	0.0445712	0.0386459	

27	0.062	16	0	task-3:0.34	task-0:0.426	task-1:0.354	task-2:0.37	|	0.055168	0.0999921	0.0999776	0.0945344	0.064276	0.0545326	0.0584253	0.0566409	0.0544252	0.053665	0.0531737	0.0525102	0.0514069	0.0504072	0.048923	0.0486534	0.0476265	0.0480678	0.0463198	0.0454771	0.0441083	0.0446026	0.0444716	0.0425222	0.0417636	0.0407558	0.0391585	

36	0.094	16	0	task-3:0.438	task-0:0.288	task-1:0.312	task-2:0.442	|	0.0887775	0.0998498	0.099721	0.0726471	0.0918595	0.079225	0.055853	0.0624169	0.0613885	0.0560339	0.0554742	0.0553472	0.0540437	0.0540213	0.0542612	0.0545606	0.0562242	0.0555588	0.054775	0.054694	0.0546255	0.054547	0.0545311	0.0546172	0.0551745	0.054697	0.053558	0.0528688	0.0524257	0.0516281	0.0504386	0.0489841	0.0469811	0.0444018	0.0412292	0.0373813	

36	0.078	16	0	task-3:0.438	task-0:0.288	task-1:0.312	task-2:0.442	|	0.0887775	0.0998498	0.099721	0.0726471	0.0918595	0.079225	0.055853	0.0624169	0.0613885	0.0560339	0.0554742	0.0553472	0.0540437	0.0540213	0.0542612	0.0545606	0.0562242	0.0555588	0.054775	0.054694	0.0546255	0.054547	0.0545311	0.0546172	0.0551745	0.054697	0.053558	0.0528688	0.0524257	0.0516281	0.0504386	0.0489841	0.0469811	0.0444018	0.0412292	0.0373813	

64	0.14	16	0	task-3:0.31	task-0:0.374	task-1:0.306	task-2:0.338	|	0.0743166	0.0997913	0.0991665	0.0797007	0.0655315	0.0703323	0.0648772	0.0594147	0.0550362	0.0564916	0.0564122	0.0547153	0.0552868	0.0552778	0.0546071	0.0546896	0.0546547	0.0544751	0.0547237	0.0552212	0.055437	0.0557477	0.0587973	0.0571846	0.0575996	0.0560968	0.0530507	0.0507372	0.0495314	0.0480821	0.0486508	0.0471496	0.0455738	0.0457615	0.045161	0.0444555	0.0439223	0.0433819	0.042829	0.0419907	0.0419052	0.0427266	0.0416833	0.0426371	0.0448239	0.0512722	0.05225	0.054253	0.0638732	0.0617272	0.0524018	0.0497665	0.0495299	0.0498479	0.0501389	0.0506196	0.047831	0.0472673	0.0470687	0.0468868	0.0466144	0.0459286	0.0445712	0.0386459	

