
291	0.144	3	0	task-3:0.134	task-0:0.216	task-1:0.144	task-2:0.046	|	0.0382559	0.0379527	0.0371006	0.0353779	0.0325321	0.0281799	0.025196	0.0235132	0.0225512	0.022152	0.0220105	0.0219993	0.0217873	0.0214555	0.0211392	0.020962	0.0205859	0.0208172	0.0206574	0.0205484	0.0204853	0.0204708	0.0204755	0.0202651	0.0204178	0.0203764	0.0203517	0.020385	0.0203609	0.020386	0.0202348	0.0204081	0.0203163	0.0203111	0.0203017	0.020317	0.020304	0.0203308	0.0203213	0.0203668	0.0203446	0.0203458	0.0203249	0.0203176	0.0203178	0.0203186	0.0202959	0.0203128	0.020272	0.0202025	0.0200516	0.0197814	0.019204	0.0192777	0.0193278	0.0192745	0.0191952	0.0190512	0.0191569	0.0191156	0.0190868	0.0190637	0.0190254	0.0189674	0.0187592	0.0196932	0.0188194	0.0188217	0.0188277	0.0187881	0.0187307	0.0188225	0.0186679	0.0187185	0.0187365	0.0187485	0.0187235	0.0187134	0.0186941	0.0186131	0.0183916	0.0188285	0.0175694	0.0161182	0.0129678	0.00831722	0.00660417	0.00522666	0.00375379	0.00280384	0.00171186	

197	0.089	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.088	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

197	0.091	2	0	task-3:0.144	task-0:0.196	task-1:0.136	task-2:0.09	|	0.0503333	0.0453507	0.039761	0.0387718	0.0369432	0.0341214	0.0303946	0.0266201	0.0331899	0.024061	0.0235087	0.0225451	0.021284	0.0212205	0.0230153	0.0204382	0.0204845	0.020537	0.0205287	0.02051	0.0204323	0.0203449	0.0203905	0.0202163	0.0202808	0.0202878	0.0202996	0.0202823	0.0202829	0.0203234	0.0202159	0.0203662	0.0203095	0.020309	0.0203089	0.0203142	0.0203174	0.0203023	0.0203639	0.0202814	0.0203116	0.0202699	0.0201978	0.0199908	0.019599	0.0189969	0.0188947	0.018373	0.0183632	0.0178659	0.0173273	0.0168718	0.0161389	0.0151209	0.0150436	0.0148201	0.0144578	0.0140992	0.0134193	0.0125261	0.0118451	0.0113753	0.0104018	0.00856941	0.00578111	0.0141357	0.0283881	0.0047466	0.00373226	0.00370466	0.003686	0.00364314	0.00355061	0.00341887	0.00339275	0.00345692	0.00326152	0.00319647	0.00313644	0.00304809	0.00289834	0.00270013	0.00262025	0.00634073	0.0025049	0.00247374	

326	0.17	3	0	task-3:0.132	task-0:0.272	task-1:0.172	task-2:0.038	|	0.0382559	0.0379527	0.0371006	0.0353779	0.0325321	0.0281799	0.025196	0.0235132	0.0225512	0.022152	0.0220105	0.0219993	0.0217873	0.0214555	0.0211392	0.020962	0.0205859	0.0208172	0.0206574	0.0205484	0.0204853	0.0204708	0.0204755	0.0202651	0.0204178	0.0203764	0.0203517	0.020385	0.0203609	0.020386	0.0202348	0.0204081	0.0203163	0.0203111	0.0203017	0.020317	0.020304	0.0203308	0.0203213	0.0203668	0.0203446	0.0203458	0.0203249	0.0203176	0.0203178	0.0203186	0.0202927	0.0203052	0.0202531	0.020152	0.0199375	0.0195391	0.0188858	0.0189691	0.0189733	0.0189241	0.0188373	0.0191377	0.0188236	0.0188188	0.018806	0.0187845	0.0186484	0.0187287	0.0186953	0.0185567	0.0184551	0.0181879	0.0176082	0.0163415	0.0136283	0.00857361	0.0103649	0.1144	0.00405366	0.00390778	0.00379368	0.00366257	0.00343655	0.00311166	0.0027606	0.00286042	0.00254338	0.00236092	
