3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0260146	0.0154172	0.0030372	0.00124063	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0788098	0.038175	0.00207254	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.121322	0.0714995	0.00362512	0.00180238	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0802968	0.0391747	0.00209203	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0658056	0.0319157	0.0021459	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.112579	0.0642996	0.00371433	0.00182369	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0565092	0.0286612	0.00300874	0.00149806	

2	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0282771	0.0154097	0.00240915	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0556416	0.0278179	0.00274046	0.00136683	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0107871	0.0078332	0.00306625	0.00102326	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0206548	0.0127482	0.00291614	0.00113551	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0271106	0.0160211	0.00322925	0.00136595	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.104262	0.0557332	0.0027466	0.001512	

2	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0501246	0.0247362	0.00244418	

