275	0.026	1	0	task-0:0.222	|	0.315068	0.281462	0.277489	0.263637	0.242162	0.239984	0.247893	0.218107	0.216056	0.214011	0.212195	0.211856	0.210728	0.209294	0.20898	0.207861	0.20766	0.206582	0.205376	0.203032	0.202732	0.207304	0.199224	0.198716	0.197918	0.197192	0.196844	0.196593	0.196205	0.195706	0.194755	0.194352	0.197658	0.193154	0.192988	0.192628	0.192258	0.192233	0.191881	0.191701	0.191591	0.191554	0.191496	0.176819	0.156128	0.153313	0.146574	0.139018	0.13401	0.132551	0.128938	0.125787	0.123824	0.12164	0.118372	0.116553	0.113948	0.111298	0.109201	0.107182	0.104362	0.102995	0.10089	0.0985181	0.0969034	0.095281	0.0928331	0.0918177	0.0898415	0.0877697	0.0851366	0.0840682	0.0816689	0.0810135	0.0790922	0.0770014	0.0750236	0.0726451	0.0714383	0.0687031	0.0675425	0.0646067	0.0618457	0.064856	0.0593977	0.0583327	0.0570851	0.0563332	0.0541739	0.052547	0.0546196	0.05068	0.0498083	0.0486444	0.0468334	0.0453677	0.048593	0.043397	0.0428209	0.041909	0.0408373	0.0386582	0.0350773	0.0567652	0.033717	0.0333465	0.032544	0.0307693	0.027514	0.0321971	0.0847571	0.0222401	0.021995	0.0214213	0.0204109	0.0184755	0.0191511	0.0460899	0.0155791	0.0154421	0.0151171	0.0144569	0.0132152	0.0148206	0.0262554	0.0113572	0.011253	0.0110129	0.0105614	0.00995368	0.0111144	0.0100649	0.00926342	0.00919435	0.0090984	0.00893885	0.00859975	0.00877577	0.00858565	0.00845934	0.00828918	0.00825469	0.0081848	0.00802252	0.00770666	0.00721066	0.0102166	0.0127553	0.00636245	0.00630651	0.0061858	0.00591611	0.00547828	0.0055384	0.00581154	0.00511214	0.00509421	0.00504746	0.00490577	0.00462661	0.00441334	0.00704811	0.00421036	0.00419492	0.00416171	0.00409737	0.00398518	0.00380211	0.00706436	0.00394475	0.00337309	0.00337673	0.00333755	0.00325616	0.00311	0.00290472	0.00304438	0.00280898	0.00282673	0.00282499	0.00279705	0.0027322	0.00259912	0.00235027	

119	0.012	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

119	0.109	1	0	task-0:0.202	|	0.25807	0.246626	0.24441	0.241057	0.237585	0.236532	0.2333	0.229937	0.225315	0.216156	0.213557	0.28415	0.203482	0.204781	0.201766	0.201091	0.200186	0.199332	0.198797	0.198265	0.197917	0.197344	0.196876	0.196812	0.196346	0.196319	0.195961	0.195928	0.195493	0.195396	0.175388	0.170111	0.161498	0.150231	0.135392	0.112536	0.0778379	0.121924	0.232746	0.0442369	0.0434958	0.0403487	0.0390103	0.0377414	0.0352609	0.0315127	0.024874	0.0156102	0.015855	0.185206	0.0102351	0.0092233	0.00897738	0.00886067	0.00860041	0.00808865	0.00717638	0.00568304	0.00998108	0.00572802	0.00460173	0.00454971	0.00445042	0.00424715	0.00391211	0.00374744	0.00360918	0.0034746	0.00339566	0.0033361	0.00321788	0.00298736	0.00256966	0.00189968	

594	0.256	2	0	task-0:0.198	|	0.260199	0.241239	0.237269	0.233711	0.229318	0.225643	0.224894	0.222271	0.220827	0.219489	0.217804	0.216997	0.215326	0.213787	0.212146	0.209941	0.207108	0.210463	0.205023	0.204123	0.203078	0.202041	0.20043	0.197863	0.205056	0.197313	0.196854	0.196761	0.196319	0.195804	0.194775	0.195669	0.195728	0.19335	0.193196	0.192809	0.192545	0.192339	0.192231	0.19211	0.191893	0.191417	0.192184	0.191355	0.190891	0.190849	0.181971	0.173299	0.172553	0.168906	0.164727	0.154081	0.140545	0.216553	0.13248	0.129766	0.125033	0.118007	0.10973	0.129722	0.105903	0.104998	0.103099	0.102056	0.100076	0.0983237	0.0965398	0.0941265	0.0934248	0.0931206	0.0911903	0.0902076	0.0890178	0.0873092	0.0868486	0.0857435	0.0846571	0.082824	0.0843647	0.0815648	0.080502	0.07983	0.0789314	0.0778031	0.0779977	0.0769129	0.0759804	0.0753862	0.0745914	0.0732902	0.0742934	0.0723985	0.0715475	0.0710262	0.0703604	0.0692478	0.0700389	0.0684075	0.0676495	0.0672053	0.0666666	0.0657842	0.0661153	0.065012	0.0643395	0.0639516	0.0638499	0.0630644	0.062511	0.061605	0.0611273	0.0606131	0.0601291	0.0597906	0.0590666	0.0584602	0.0576393	0.0577492	0.0570688	0.0565289	0.0562011	0.0558626	0.0549672	0.0549107	0.0541857	0.0536643	0.0534449	0.052869	0.0525588	0.052318	0.051396	0.0505464	0.0519062	0.0499309	0.0496646	0.0491984	0.0480604	0.0479566	0.0537362	0.0461277	0.0459134	0.0453419	0.0445604	0.044143	0.0457152	0.0430885	0.0427925	0.0425226	0.0421195	0.0416193	0.0405686	0.0388579	0.0503763	0.0382096	0.0379189	0.0377324	0.0372946	0.0367448	0.038561	0.0363942	0.0361645	0.0359242	0.0354098	0.0343599	0.0362988	0.0353197	0.0331941	0.0330795	0.0327697	0.0324061	0.0319335	0.0329345	0.0316532	0.0314603	0.0312563	0.0308042	0.0304391	0.0318249	0.0298736	0.0297085	0.029498	0.0290982	0.0282141	0.0264384	0.0234971	0.112409	0.0232401	0.0231325	0.0231226	0.022996	0.0229583	0.0228547	0.0228426	0.0227199	0.0226929	0.022598	0.0225724	0.0224487	0.0223747	0.0222277	0.0220965	0.0217967	0.0213812	0.0224925	0.0212273	0.0211399	0.0210264	0.0209066	0.0207951	0.0207656	0.0206578	0.0205674	0.0203982	0.0202365	0.0200892	0.0199915	0.0199658	0.0198888	0.019808	0.0196519	0.0194805	0.0193419	0.0192222	0.0191954	0.0191153	0.0190509	0.0189093	0.0187463	0.0184706	0.0182112	0.0192845	0.0179446	0.0178738	0.017762	0.0175119	0.0170135	0.0176137	0.0198008	0.0162798	0.0162288	0.0161095	0.0158392	0.0152778	0.0142028	0.0151173	0.0828104	0.0124736	0.0123697	0.0123239	0.0122851	0.0122403	0.0121474	0.0121137	0.0120692	0.0119891	0.0119473	0.0118893	0.0117675	0.0117354	0.0116638	0.0115773	0.0115514	0.0114985	0.0113771	0.0111316	0.010899	0.0134629	0.0106466	0.0106166	0.0105657	0.010467	0.0104456	0.0104306	0.0103737	0.0102636	0.0102152	0.0101562	0.0100939	0.0100708	0.0100364	0.00994423	0.0098814	0.00976851	0.00979473	0.00971557	0.00966966	0.00958769	0.00956726	0.00949837	0.00948031	0.00946421	0.00947492	0.00943405	0.00938579	0.00936369	0.00934273	0.00926846	0.00924535	0.00919941	0.00910622	0.00892263	0.00903511	0.00948155	0.00861441	0.00859381	0.00855302	0.00845978	0.00845094	0.00843842	0.00839335	0.00829333	0.00809842	0.00830347	0.00873382	0.0078236	0.00780622	0.00777008	0.00768027	0.00767825	0.00766973	0.00763788	0.00756156	0.00741073	0.00735946	0.0083481	0.00714643	0.00712937	0.00709926	0.00701418	0.00700894	0.00700045	0.00696158	0.00688615	0.00684017	0.00673893	0.00681474	0.0067403	0.00670956	0.00665853	0.00664436	0.00662448	0.0065578	0.00655242	0.00650994	0.00647496	0.00644079	0.00610831	0.00598393	0.00586792	0.00569119	0.00564553	0.0056175	0.00558019	0.00551276	0.00541947	0.00525921	0.00500502	0.00499686	0.00473231	0.0046179	0.00451779	0.00434751	0.00414068	0.00385232	0.00354326	0.00365497	0.0034277	0.00339537	0.00333998	0.00324439	0.00308335	0.00293377	0.00279442	0.00273595	0.00269962	0.00264271	0.00256649	0.00250189	0.00239646	

191	0.022	1	0	task-0:0.23	|	0.311439	0.250028	0.242585	0.235101	0.233172	0.229119	0.223256	0.217352	0.216076	0.212102	0.210823	0.20998	0.20869	0.207878	0.20713	0.20586	0.205485	0.204235	0.203047	0.202267	0.202092	0.201344	0.200484	0.198802	0.199019	0.201849	0.196184	0.19587	0.195282	0.194798	0.194575	0.194334	0.194092	0.193733	0.19304	0.193229	0.194209	0.19199	0.191888	0.191607	0.191401	0.191286	0.191174	0.19111	0.19099	0.190643	0.190126	0.190552	0.195687	0.189476	0.153529	0.145026	0.128718	0.111702	0.103688	0.0905131	0.0738557	0.0475724	0.0280366	0.163698	0.0199902	0.0167327	0.0153648	0.0139033	0.011886	0.0131914	0.0100751	0.00945157	0.00907204	0.00843597	0.00755276	0.00680086	0.00618068	0.00543015	0.0044749	0.00334375	0.00255042	0.00172842	

191	0.118	1	0	task-0:0.23	|	0.311439	0.250028	0.242585	0.235101	0.233172	0.229119	0.223256	0.217352	0.216076	0.212102	0.210823	0.20998	0.20869	0.207878	0.20713	0.20586	0.205485	0.204235	0.203047	0.202267	0.202092	0.201344	0.200484	0.198802	0.199019	0.201849	0.196184	0.19587	0.195282	0.194798	0.194575	0.194334	0.194092	0.193733	0.19304	0.193229	0.194209	0.19199	0.191888	0.191607	0.191401	0.191286	0.191174	0.19111	0.19099	0.190643	0.190126	0.190552	0.195687	0.189476	0.153529	0.145026	0.128718	0.111702	0.103688	0.0905131	0.0738557	0.0475724	0.0280366	0.163698	0.0199902	0.0167327	0.0153648	0.0139033	0.011886	0.0131914	0.0100751	0.00945157	0.00907204	0.00843597	0.00755276	0.00680086	0.00618068	0.00543015	0.0044749	0.00334375	0.00255042	0.00172842	
