
289	0.265	1	0	task-0:0	|	0.261728	0.219883	0.195315	0.134891	0.123433	0.161413	0.0803276	0.0771956	0.0714602	0.0696454	0.0676003	0.0638754	0.0625117	0.0596855	0.0548848	0.0476705	0.0393947	0.101192	0.0392271	0.0394868	0.0367614	0.036499	0.0357591	0.0341778	0.0314964	0.0402241	0.0322061	0.0294726	0.0292906	0.0290247	0.0289026	0.0286207	0.0280927	0.0273618	0.0281406	0.0271376	0.0269522	0.0267563	0.0266178	0.0265692	0.026424	0.0261857	0.0260068	0.0256782	0.0251728	0.025071	0.0247444	0.0245384	0.0244568	0.024306	0.0239737	0.0233972	0.0241595	0.0230629	0.0228483	0.0228233	0.0227137	0.0225263	0.0223658	0.022131	0.0216487	0.0207197	0.0190755	0.0314918	0.0364346	0.0174872	0.0174189	0.0173852	0.0173623	0.0173177	0.0172491	0.0171506	0.0170423	0.0168633	0.0165244	0.0173576	0.0167621	0.0161737	0.0161497	0.0160924	0.0159678	0.0157146	0.0152328	0.0155286	0.0261389	0.0145085	0.0144793	0.014446	0.014404	0.0143722	0.0143144	0.0142078	0.0141316	0.0142584	0.0140326	0.0140097	0.0139747	0.01393	0.0139078	0.0138605	0.0137758	0.0137542	0.0137031	0.0136558	0.0136415	0.0136234	0.0135865	0.0135314	0.0134963	0.0134636	0.0134447	0.0134069	0.0133363	0.0131964	0.012927	0.0127843	0.0211539	0.0124665	0.0124511	0.0124285	0.0123938	0.0123685	0.0123157	0.0122108	0.012012	0.0133237	0.0120271	0.0118843	0.0118787	0.011865	0.011835	0.0117775	0.0116885	0.0118618	0.0116491	0.0116433	0.0116338	0.011613	0.0115704	0.0114858	0.0113238	0.0110574	0.0186726	0.0109974	0.0109886	0.0109738	0.0109486	0.0108977	0.0107967	0.0105995	0.0102248	0.00954666	0.0334749	0.0190395	0.00903695	0.0090307	0.00901835	0.00900559	0.00898285	0.00895789	0.00891741	0.00902232	0.00890966	0.00890287	0.00888999	0.00886964	0.00886493	0.00789296	0.0068276	0.00556811	0.00548015	0.00540882	0.00525287	0.00496958	0.00455468	0.00405255	0.00320155	0.00199282	

289	0.25	1	0	task-0:0	|	0.261728	0.219883	0.195315	0.134891	0.123433	0.161413	0.0803276	0.0771956	0.0714602	0.0696454	0.0676003	0.0638754	0.0625117	0.0596855	0.0548848	0.0476705	0.0393947	0.101192	0.0392271	0.0394868	0.0367614	0.036499	0.0357591	0.0341778	0.0314964	0.0402241	0.0322061	0.0294726	0.0292906	0.0290247	0.0289026	0.0286207	0.0280927	0.0273618	0.0281406	0.0271376	0.0269522	0.0267563	0.0266178	0.0265692	0.026424	0.0261857	0.0260068	0.0256782	0.0251728	0.025071	0.0247444	0.0245384	0.0244568	0.024306	0.0239737	0.0233972	0.0241595	0.0230629	0.0228483	0.0228233	0.0227137	0.0225263	0.0223658	0.022131	0.0216487	0.0207197	0.0190755	0.0314918	0.0364346	0.0174872	0.0174189	0.0173852	0.0173623	0.0173177	0.0172491	0.0171506	0.0170423	0.0168633	0.0165244	0.0173576	0.0167621	0.0161737	0.0161497	0.0160924	0.0159678	0.0157146	0.0152328	0.0155286	0.0261389	0.0145085	0.0144793	0.014446	0.014404	0.0143722	0.0143144	0.0142078	0.0141316	0.0142584	0.0140326	0.0140097	0.0139747	0.01393	0.0139078	0.0138605	0.0137758	0.0137542	0.0137031	0.0136558	0.0136415	0.0136234	0.0135865	0.0135314	0.0134963	0.0134636	0.0134447	0.0134069	0.0133363	0.0131964	0.012927	0.0127843	0.0211539	0.0124665	0.0124511	0.0124285	0.0123938	0.0123685	0.0123157	0.0122108	0.012012	0.0133237	0.0120271	0.0118843	0.0118787	0.011865	0.011835	0.0117775	0.0116885	0.0118618	0.0116491	0.0116433	0.0116338	0.011613	0.0115704	0.0114858	0.0113238	0.0110574	0.0186726	0.0109974	0.0109886	0.0109738	0.0109486	0.0108977	0.0107967	0.0105995	0.0102248	0.00954666	0.0334749	0.0190395	0.00903695	0.0090307	0.00901835	0.00900559	0.00898285	0.00895789	0.00891741	0.00902232	0.00890966	0.00890287	0.00888999	0.00886964	0.00886493	0.00789296	0.0068276	0.00556811	0.00548015	0.00540882	0.00525287	0.00496958	0.00455468	0.00405255	0.00320155	0.00199282	

289	0.218	1	0	task-0:0	|	0.261728	0.219883	0.195315	0.134891	0.123433	0.161413	0.0803276	0.0771956	0.0714602	0.0696454	0.0676003	0.0638754	0.0625117	0.0596855	0.0548848	0.0476705	0.0393947	0.101192	0.0392271	0.0394868	0.0367614	0.036499	0.0357591	0.0341778	0.0314964	0.0402241	0.0322061	0.0294726	0.0292906	0.0290247	0.0289026	0.0286207	0.0280927	0.0273618	0.0281406	0.0271376	0.0269522	0.0267563	0.0266178	0.0265692	0.026424	0.0261857	0.0260068	0.0256782	0.0251728	0.025071	0.0247444	0.0245384	0.0244568	0.024306	0.0239737	0.0233972	0.0241595	0.0230629	0.0228483	0.0228233	0.0227137	0.0225263	0.0223658	0.022131	0.0216487	0.0207197	0.0190755	0.0314918	0.0364346	0.0174872	0.0174189	0.0173852	0.0173623	0.0173177	0.0172491	0.0171506	0.0170423	0.0168633	0.0165244	0.0173576	0.0167621	0.0161737	0.0161497	0.0160924	0.0159678	0.0157146	0.0152328	0.0155286	0.0261389	0.0145085	0.0144793	0.014446	0.014404	0.0143722	0.0143144	0.0142078	0.0141316	0.0142584	0.0140326	0.0140097	0.0139747	0.01393	0.0139078	0.0138605	0.0137758	0.0137542	0.0137031	0.0136558	0.0136415	0.0136234	0.0135865	0.0135314	0.0134963	0.0134636	0.0134447	0.0134069	0.0133363	0.0131964	0.012927	0.0127843	0.0211539	0.0124665	0.0124511	0.0124285	0.0123938	0.0123685	0.0123157	0.0122108	0.012012	0.0133237	0.0120271	0.0118843	0.0118787	0.011865	0.011835	0.0117775	0.0116885	0.0118618	0.0116491	0.0116433	0.0116338	0.011613	0.0115704	0.0114858	0.0113238	0.0110574	0.0186726	0.0109974	0.0109886	0.0109738	0.0109486	0.0108977	0.0107967	0.0105995	0.0102248	0.00954666	0.0334749	0.0190395	0.00903695	0.0090307	0.00901835	0.00900559	0.00898285	0.00895789	0.00891741	0.00902232	0.00890966	0.00890287	0.00888999	0.00886964	0.00886493	0.00789296	0.0068276	0.00556811	0.00548015	0.00540882	0.00525287	0.00496958	0.00455468	0.00405255	0.00320155	0.00199282	

338	0.234	1	0	task-0:0	|	0.247251	0.225609	0.184719	0.163048	0.142698	0.12121	0.11655	0.104134	0.0988661	0.0868292	0.0831395	0.0740443	0.0716819	0.0700113	0.0662555	0.0631706	0.0607149	0.0580722	0.056299	0.0544094	0.0524567	0.0495782	0.0484394	0.0464785	0.0454063	0.0448206	0.0437421	0.0415891	0.0405223	0.040769	0.0385438	0.0381555	0.0373775	0.0361392	0.0358169	0.0350538	0.0347467	0.0342184	0.0331308	0.0311292	0.029575	0.0515457	0.0281428	0.0277312	0.0276474	0.0274426	0.0270235	0.02625	0.0248402	0.0271519	0.0335046	0.0231008	0.0230109	0.0228261	0.0225655	0.0220818	0.0221838	0.022325	0.0213988	0.0213217	0.0212094	0.0209835	0.0206601	0.0207534	0.0204329	0.0203689	0.0202928	0.02017	0.0199868	0.0198037	0.01976	0.0196527	0.019575	0.0195233	0.0194145	0.0192749	0.0191551	0.019077	0.0189578	0.0188338	0.0187657	0.0187331	0.0186641	0.0185124	0.0182381	0.0185178	0.0180761	0.0179677	0.0179539	0.0179079	0.0178265	0.0177419	0.017571	0.0172363	0.0165973	0.0174917	0.0279201	0.0156694	0.0156283	0.0155984	0.0155515	0.0154934	0.0154312	0.0153901	0.0153393	0.0152843	0.0152584	0.0152037	0.015094	0.0148818	0.0145539	0.0176089	0.0144796	0.0144584	0.0144243	0.0143878	0.0143127	0.0141624	0.0138685	0.0133142	0.0127002	0.0513603	0.0123985	0.0123466	0.0123334	0.0123118	0.0122762	0.0122343	0.01215	0.011983	0.0120203	0.0141653	0.0117119	0.0116996	0.011675	0.0116302	0.0116281	0.0115867	0.0115759	0.0115526	0.0115042	0.0114064	0.0112141	0.0108496	0.0109401	0.0376697	0.0103109	0.0102417	0.0102347	0.0102343	0.0102247	0.0102107	0.0102049	0.0101997	0.0101918	0.0101826	0.0101598	0.0101381	0.0100956	0.0100821	0.0101059	0.0100257	0.0100191	0.0100082	0.00998338	0.00996297	0.00992436	0.00989057	0.00996777	0.00985626	0.00984703	0.00983017	0.00981542	0.00979102	0.00975187	0.0096753	0.00989417	0.00974653	0.00959496	0.00958995	0.0095794	0.00955794	0.00953175	0.0095272	0.00951734	0.00950115	0.00949464	0.00948595	0.00946804	0.00943238	0.00936325	0.00944562	0.00965477	0.00927032	0.00926456	0.00925275	0.00922947	0.00918837	0.00923984	0.00918072	0.00917281	0.00915855	0.00914288	0.0091115	0.00905042	0.00899776	0.00992404	0.00894359	0.00893571	0.00892173	0.00890884	0.00888752	0.0088774	0.00886257	0.00885575	0.00884579	0.00883188	0.00880988	0.0088002	0.00878612	0.00796908	0.00756262	0.00664262	0.00567773	0.00562626	0.00551791	0.00528638	0.00483734	0.00405759	0.00289954	0.00218909	

338	0.265	1	0	task-0:0	|	0.247251	0.225609	0.184719	0.163048	0.142698	0.12121	0.11655	0.104134	0.0988661	0.0868292	0.0831395	0.0740443	0.0716819	0.0700113	0.0662555	0.0631706	0.0607149	0.0580722	0.056299	0.0544094	0.0524567	0.0495782	0.0484394	0.0464785	0.0454063	0.0448206	0.0437421	0.0415891	0.0405223	0.040769	0.0385438	0.0381555	0.0373775	0.0361392	0.0358169	0.0350538	0.0347467	0.0342184	0.0331308	0.0311292	0.029575	0.0515457	0.0281428	0.0277312	0.0276474	0.0274426	0.0270235	0.02625	0.0248402	0.0271519	0.0335046	0.0231008	0.0230109	0.0228261	0.0225655	0.0220818	0.0221838	0.022325	0.0213988	0.0213217	0.0212094	0.0209835	0.0206601	0.0207534	0.0204329	0.0203689	0.0202928	0.02017	0.0199868	0.0198037	0.01976	0.0196527	0.019575	0.0195233	0.0194145	0.0192749	0.0191551	0.019077	0.0189578	0.0188338	0.0187657	0.0187331	0.0186641	0.0185124	0.0182381	0.0185178	0.0180761	0.0179677	0.0179539	0.0179079	0.0178265	0.0177419	0.017571	0.0172363	0.0165973	0.0174917	0.0279201	0.0156694	0.0156283	0.0155984	0.0155515	0.0154934	0.0154312	0.0153901	0.0153393	0.0152843	0.0152584	0.0152037	0.015094	0.0148818	0.0145539	0.0176089	0.0144796	0.0144584	0.0144243	0.0143878	0.0143127	0.0141624	0.0138685	0.0133142	0.0127002	0.0513603	0.0123985	0.0123466	0.0123334	0.0123118	0.0122762	0.0122343	0.01215	0.011983	0.0120203	0.0141653	0.0117119	0.0116996	0.011675	0.0116302	0.0116281	0.0115867	0.0115759	0.0115526	0.0115042	0.0114064	0.0112141	0.0108496	0.0109401	0.0376697	0.0103109	0.0102417	0.0102347	0.0102343	0.0102247	0.0102107	0.0102049	0.0101997	0.0101918	0.0101826	0.0101598	0.0101381	0.0100956	0.0100821	0.0101059	0.0100257	0.0100191	0.0100082	0.00998338	0.00996297	0.00992436	0.00989057	0.00996777	0.00985626	0.00984703	0.00983017	0.00981542	0.00979102	0.00975187	0.0096753	0.00989417	0.00974653	0.00959496	0.00958995	0.0095794	0.00955794	0.00953175	0.0095272	0.00951734	0.00950115	0.00949464	0.00948595	0.00946804	0.00943238	0.00936325	0.00944562	0.00965477	0.00927032	0.00926456	0.00925275	0.00922947	0.00918837	0.00923984	0.00918072	0.00917281	0.00915855	0.00914288	0.0091115	0.00905042	0.00899776	0.00992404	0.00894359	0.00893571	0.00892173	0.00890884	0.00888752	0.0088774	0.00886257	0.00885575	0.00884579	0.00883188	0.00880988	0.0088002	0.00878612	0.00796908	0.00756262	0.00664262	0.00567773	0.00562626	0.00551791	0.00528638	0.00483734	0.00405759	0.00289954	0.00218909	
