176	0.011	1	0	task-0:0.368	|	0.308912	0.256854	0.253352	0.244017	0.230582	0.211218	0.208718	0.321617	0.194293	0.199876	0.192178	0.19149	0.190735	0.190491	0.189294	0.18862	0.187052	0.185553	0.185505	0.184402	0.183862	0.1836	0.183537	0.182671	0.18185	0.180438	0.178147	0.183169	0.177441	0.176726	0.176348	0.175456	0.173625	0.173681	0.172485	0.171174	0.171	0.170357	0.16893	0.170632	0.168962	0.168476	0.168108	0.16797	0.167506	0.166917	0.165902	0.163827	0.168235	0.163853	0.163464	0.163196	0.16266	0.161522	0.159563	0.163357	0.159725	0.159458	0.159359	0.159042	0.158298	0.156746	0.157567	0.155615	0.155017	0.154959	0.154793	0.154809	0.154567	0.154619	0.154627	0.154533	0.154345	0.15439	0.15417	0.154201	0.147038	0.145384	0.138764	0.110519	0.0584113	0.0512302	0.0486752	0.0460448	0.0465217	0.0436286	0.0423832	0.0410785	0.0379912	0.0322293	0.0278067	0.0913961	0.0241968	0.0235471	0.0232493	0.0228344	0.0222968	0.0215798	0.020624	0.0202564	0.0202173	0.0198085	0.0193671	0.0189417	0.0181305	0.0172364	0.0171553	0.0166971	0.0163163	0.0159011	0.0153817	0.0147745	0.013925	0.0123697	0.0149213	0.012757	0.0107282	0.0106111	0.0103152	0.00973075	0.00881687	0.0094722	0.00889795	0.00783897	0.00775067	0.00758938	0.00724168	0.00656694	0.00539303	0.0055666	0.0260699	0.00384538	0.00377437	0.00370245	0.00363921	0.00360551	0.00352736	0.00348433	0.00343259	0.00337431	0.00328876	0.00315416	0.00306312	0.0029551	0.00284643	0.0026365	0.00225791	

232	0.062	1	0	task-0:0.142	|	0.339644	0.253518	0.249541	0.239741	0.235717	0.227689	0.221045	0.218313	0.214273	0.21188	0.208767	0.207077	0.205124	0.204324	0.201622	0.199712	0.200026	0.198158	0.197347	0.19603	0.193019	0.197168	0.19236	0.191453	0.191222	0.190772	0.19057	0.189564	0.189298	0.188616	0.187348	0.187104	0.186699	0.185812	0.185581	0.185297	0.184083	0.182662	0.180732	0.183275	0.179981	0.179276	0.178938	0.178101	0.176993	0.174506	0.169344	0.18037	0.181166	0.163855	0.163454	0.163072	0.163113	0.163066	0.162645	0.162377	0.161971	0.161128	0.161362	0.160221	0.160383	0.160331	0.160023	0.159676	0.158922	0.157279	0.161857	0.157478	0.157275	0.157199	0.156962	0.156406	0.156504	0.156387	0.156214	0.156104	0.155852	0.155318	0.155772	0.155353	0.155238	0.155131	0.155092	0.199325	0.144762	0.137781	0.137923	0.139079	0.137492	0.133311	0.129284	0.116116	0.0740272	0.0688042	0.321717	0.102596	0.351414	0.236967	0.363465	0.107824	0.394754	0.233706	0.408082	0.152099	0.441378	0.210331	0.427208	0.192678	0.456006	0.160275	0.432487	0.186669	0.467458	0.147844	0.434912	0.166834	0.478538	0.154832	0.436712	0.158622	0.479015	0.152421	0.436586	0.133623	0.481745	0.156144	0.437457	0.126882	0.479263	0.154424	0.437851	0.116063	0.478448	0.15259	0.43936	0.121561	0.478178	0.156862	0.440151	0.12609	0.472123	0.154296	0.440551	0.12029	0.470476	0.152698	0.441714	0.131563	0.470573	0.15983	0.442149	0.140646	0.459191	0.156155	0.441906	0.121383	0.456234	0.149848	0.442861	0.130684	0.465411	0.163624	0.44344	0.166597	0.446776	0.162224	0.442481	0.118906	0.435908	0.14436	0.443024	0.0990871	0.463235	0.143819	0.444175	0.16831	0.489336	0.209127	0.444188	0.233257	0.411097	0.127556	0.430012	0.00664911	0.00276713	0.00159286	

160	0.013	1	0	task-0:0.374	|	0.288909	0.276165	0.260233	0.229659	0.224475	0.288139	0.206752	0.223345	0.200814	0.199927	0.197968	0.195748	0.195682	0.194476	0.193836	0.192858	0.190257	0.185516	0.182347	0.226795	0.178727	0.177322	0.177335	0.177069	0.176127	0.174052	0.17553	0.173844	0.173324	0.172868	0.172393	0.171287	0.171626	0.171216	0.170584	0.170405	0.169866	0.168491	0.165535	0.167315	0.168976	0.161869	0.161682	0.161173	0.161174	0.160644	0.160675	0.160676	0.160357	0.160191	0.16022	0.160218	0.159919	0.159759	0.18486	0.150138	0.149817	0.147407	0.146815	0.145346	0.143019	0.142096	0.139315	0.137917	0.136523	0.131272	0.126135	0.118969	0.112868	0.111893	0.104863	0.0954166	0.0727715	0.0706405	0.174802	0.0476521	0.0469464	0.0449178	0.0426908	0.0451897	0.0408811	0.0401536	0.0389208	0.0363841	0.0354557	0.0361345	0.0321055	0.0314511	0.0304849	0.0286219	0.0288051	0.0269475	0.0260939	0.0258521	0.0251679	0.0250634	0.0246454	0.0241152	0.0233628	0.0229539	0.0221416	0.0209612	0.0186501	0.01466	0.0247212	0.0462131	0.0103244	0.0101672	0.0099427	0.00950087	0.00906705	0.00872363	0.00856805	0.00835275	0.00820706	0.00808985	0.00787056	0.00752671	0.00685291	0.00567177	0.00395396	0.0191891	0.0106385	0.0029021	0.00284171	0.00278182	0.00276771	0.0027239	0.0026586	0.00260578	0.00249856	

152	0.012	1	0	task-0:0.372	|	0.258757	0.232339	0.228462	0.223191	0.215227	0.204093	0.212939	0.223293	0.195264	0.194352	0.193392	0.192769	0.190931	0.189134	0.18974	0.187971	0.187564	0.186715	0.184597	0.183843	0.185776	0.181189	0.180865	0.179863	0.178287	0.174841	0.168644	0.212796	0.168514	0.167613	0.167753	0.167678	0.167147	0.166365	0.164834	0.162022	0.174246	0.162054	0.161853	0.161783	0.16143	0.160576	0.15995	0.159391	0.159165	0.159103	0.158847	0.158191	0.156857	0.156563	0.155741	0.156041	0.15605	0.15604	0.155782	0.155791	0.155413	0.155489	0.155502	0.155401	0.180368	0.147126	0.147091	0.144797	0.14412	0.143256	0.141316	0.140357	0.137323	0.128006	0.0911396	0.0334481	0.341712	0.114611	0.555393	0.479197	0.365821	0.314689	0.504832	0.0378583	0.042584	0.0236419	0.0234773	0.0228723	0.0221667	0.0211554	0.0199474	0.0185579	0.019534	0.018028	0.0177104	0.0172115	0.0165092	0.0157369	0.0158525	0.0153481	0.0151173	0.0147459	0.0142996	0.0136245	0.0123133	0.0100613	0.0101835	0.062227	0.00724219	0.00701617	0.00696298	0.0068749	0.00674836	0.00665941	0.00646066	0.00604724	0.00530676	0.00419789	0.0269115	0.00391358	0.0037312	0.00370876	0.00367895	0.00361728	0.00356128	0.00350815	0.00343478	0.00333709	0.00315169	0.00286647	0.0023813	

152	0.012	1	0	task-0:0.372	|	0.258757	0.232339	0.228462	0.223191	0.215227	0.204093	0.212939	0.223293	0.195264	0.194352	0.193392	0.192769	0.190931	0.189134	0.18974	0.187971	0.187564	0.186715	0.184597	0.183843	0.185776	0.181189	0.180865	0.179863	0.178287	0.174841	0.168644	0.212796	0.168514	0.167613	0.167753	0.167678	0.167147	0.166365	0.164834	0.162022	0.174246	0.162054	0.161853	0.161783	0.16143	0.160576	0.15995	0.159391	0.159165	0.159103	0.158847	0.158191	0.156857	0.156563	0.155741	0.156041	0.15605	0.15604	0.155782	0.155791	0.155413	0.155489	0.155502	0.155401	0.180368	0.147126	0.147091	0.144797	0.14412	0.143256	0.141316	0.140357	0.137323	0.128006	0.0911396	0.0334481	0.341712	0.114611	0.555393	0.479197	0.365821	0.314689	0.504832	0.0378583	0.042584	0.0236419	0.0234773	0.0228723	0.0221667	0.0211554	0.0199474	0.0185579	0.019534	0.018028	0.0177104	0.0172115	0.0165092	0.0157369	0.0158525	0.0153481	0.0151173	0.0147459	0.0142996	0.0136245	0.0123133	0.0100613	0.0101835	0.062227	0.00724219	0.00701617	0.00696298	0.0068749	0.00674836	0.00665941	0.00646066	0.00604724	0.00530676	0.00419789	0.0269115	0.00391358	0.0037312	0.00370876	0.00367895	0.00361728	0.00356128	0.00350815	0.00343478	0.00333709	0.00315169	0.00286647	0.0023813	

232	0.085	1	0	task-0:0.142	|	0.339644	0.253518	0.249541	0.239741	0.235717	0.227689	0.221045	0.218313	0.214273	0.21188	0.208767	0.207077	0.205124	0.204324	0.201622	0.199712	0.200026	0.198158	0.197347	0.19603	0.193019	0.197168	0.19236	0.191453	0.191222	0.190772	0.19057	0.189564	0.189298	0.188616	0.187348	0.187104	0.186699	0.185812	0.185581	0.185297	0.184083	0.182662	0.180732	0.183275	0.179981	0.179276	0.178938	0.178101	0.176993	0.174506	0.169344	0.18037	0.181166	0.163855	0.163454	0.163072	0.163113	0.163066	0.162645	0.162377	0.161971	0.161128	0.161362	0.160221	0.160383	0.160331	0.160023	0.159676	0.158922	0.157279	0.161857	0.157478	0.157275	0.157199	0.156962	0.156406	0.156504	0.156387	0.156214	0.156104	0.155852	0.155318	0.155772	0.155353	0.155238	0.155131	0.155092	0.199325	0.144762	0.137781	0.137923	0.139079	0.137492	0.133311	0.129284	0.116116	0.0740272	0.0688042	0.321717	0.102596	0.351414	0.236967	0.363465	0.107824	0.394754	0.233706	0.408082	0.152099	0.441378	0.210331	0.427208	0.192678	0.456006	0.160275	0.432487	0.186669	0.467458	0.147844	0.434912	0.166834	0.478538	0.154832	0.436712	0.158622	0.479015	0.152421	0.436586	0.133623	0.481745	0.156144	0.437457	0.126882	0.479263	0.154424	0.437851	0.116063	0.478448	0.15259	0.43936	0.121561	0.478178	0.156862	0.440151	0.12609	0.472123	0.154296	0.440551	0.12029	0.470476	0.152698	0.441714	0.131563	0.470573	0.15983	0.442149	0.140646	0.459191	0.156155	0.441906	0.121383	0.456234	0.149848	0.442861	0.130684	0.465411	0.163624	0.44344	0.166597	0.446776	0.162224	0.442481	0.118906	0.435908	0.14436	0.443024	0.0990871	0.463235	0.143819	0.444175	0.16831	0.489336	0.209127	0.444188	0.233257	0.411097	0.127556	0.430012	0.00664911	0.00276713	0.00159286	
