231	0.109	1	0	task-3:0.12	task-0:0.4	task-1:0.424	task-2:0.042	|	0.0567168	0.0555634	0.0541337	0.0540446	0.0538648	0.0535601	0.053238	0.0552511	0.0532151	0.0532092	0.053191	0.0531526	0.0530974	0.0530697	0.0530464	0.0530184	0.0529942	0.0529778	0.0529766	0.0529714	0.052964	0.052676	0.0522462	0.0510835	0.0488309	0.0457924	0.0441865	0.0430862	0.0417557	0.0411594	0.040136	0.0379677	0.0342642	0.0360072	0.0534816	0.0291697	0.0288987	0.0283734	0.0278109	0.0275647	0.0273992	0.0271785	0.0270437	0.0266968	0.0259679	0.0246701	0.0244396	0.0339562	0.0229717	0.0226838	0.0225224	0.0224527	0.0223619	0.022171	0.02182	0.0214239	0.0218422	0.021173	0.0210998	0.0209924	0.0208376	0.0207597	0.0205833	0.0202763	0.0203457	0.0200313	0.0199331	0.0198273	0.0196161	0.0192098	0.0188835	0.0213909	0.0185745	0.0184797	0.0184043	0.018311	0.0181849	0.0180944	0.0180471	0.0180196	0.0179679	0.0178822	0.017846	0.0177159	0.01765	0.0175764	0.0174369	0.0172435	0.0171006	0.0173118	0.0169702	0.0169467	0.016905	0.0168086	0.0167107	0.0165226	0.0162208	0.0168237	0.0165136	0.0159483	0.0158934	0.0157997	0.0156434	0.015509	0.0154917	0.0153903	0.015369	0.0153449	0.0152837	0.0152049	0.0151478	0.0150623	0.0149383	0.0147953	0.0149517	0.0146779	0.0146544	0.0146183	0.0145405	0.0144391	0.0143639	0.0142708	0.0142618	0.0142446	0.0142375	0.0141963	0.014138	0.0141021	0.0140505	0.0139445	0.0139253	0.013909	0.013859	0.0137559	0.0135594	0.0135773	0.0138398	0.0132775	0.0132546	0.0132065	0.0131002	0.0128887	0.0124876	0.0134753	0.0192289	0.011881	0.0118396	0.011799	0.0117772	0.0117349	0.0116562	0.0115164	0.0113122	0.0111793	0.0170131	0.0108653	0.0107025	0.010641	0.0105959	0.010553	0.0105071	0.0104489	0.0104784	0.0104929	0.0103963	0.0103869	0.010373	0.0103426	0.0102801	0.0101464	0.00988223	
102	0.047	1	0	task-3:0.458	task-0:0.198	task-1:0.186	task-2:0.472	|	0.0747442	0.0678544	0.0546095	0.0540699	0.0538738	0.0537853	0.0536176	0.0533852	0.0532941	0.0532192	0.0531912	0.0531393	0.0530634	0.0531089	0.0530418	0.0530368	0.0530263	0.0530152	0.0530027	0.0529887	0.0520518	0.0507026	0.0472452	0.0418262	0.0368527	0.0316719	0.0281599	0.025285	0.0228227	0.019292	0.0168033	0.0141478	0.0126212	0.0104791	0.00809837	

213	0.094	1	0	task-3:0.14	task-0:0.42	task-1:0.428	task-2:0.028	|	0.059171	0.0572867	0.0552648	0.0551579	0.05496	0.0547014	0.0542174	0.0535327	0.0562238	0.053846	0.0531968	0.0531832	0.0531652	0.0531425	0.0531029	0.0530373	0.0529916	0.0536627	0.0529774	0.0529754	0.0529675	0.0529498	0.052569	0.0520051	0.0507282	0.0497295	0.0483168	0.0472993	0.0462018	0.0455494	0.0442486	0.0422323	0.0416637	0.0405294	0.0397691	0.0387915	0.0369891	0.0338959	0.0376584	0.0339268	0.0308711	0.0305614	0.0300832	0.0292039	0.0282584	0.0297601	0.0274633	0.027247	0.0269228	0.0263856	0.0258678	0.0250788	0.0242011	0.0280276	0.0237377	0.023611	0.0234053	0.0231603	0.0230618	0.0228925	0.0227013	0.0223867	0.0219686	0.0220575	0.0217299	0.0216391	0.0215364	0.0214036	0.0213107	0.0211923	0.0210475	0.0208665	0.0208077	0.0206778	0.0205104	0.0201825	0.0195501	0.0186866	0.0280379	0.0183914	0.0183293	0.0182271	0.0180705	0.0179784	0.0178197	0.0176498	0.0175984	0.0175461	0.0174619	0.0173777	0.017208	0.016922	0.0169189	0.0167192	0.0165794	0.0165467	0.0164781	0.0163306	0.0160343	0.0154722	0.0158968	0.0227407	0.0145471	0.0144913	0.0144027	0.0143371	0.0142371	0.0141302	0.0139163	0.0135159	0.0128578	0.0209751	0.0144673	0.0126588	0.012315	0.0122492	0.0121458	0.0120493	0.011878	0.0116423	0.0124896	0.0116133	0.0115812	0.0115257	0.0114821	0.0114075	0.0113046	0.0112963	0.0112599	0.0111903	0.0111118	0.010964	0.0110479	0.010862	0.0108045	0.0107942	0.0107613	0.0106901	0.0105433	0.0102501	0.0096841	

213	0.094	1	0	task-3:0.14	task-0:0.42	task-1:0.428	task-2:0.028	|	0.059171	0.0572867	0.0552648	0.0551579	0.05496	0.0547014	0.0542174	0.0535327	0.0562238	0.053846	0.0531968	0.0531832	0.0531652	0.0531425	0.0531029	0.0530373	0.0529916	0.0536627	0.0529774	0.0529754	0.0529675	0.0529498	0.052569	0.0520051	0.0507282	0.0497295	0.0483168	0.0472993	0.0462018	0.0455494	0.0442486	0.0422323	0.0416637	0.0405294	0.0397691	0.0387915	0.0369891	0.0338959	0.0376584	0.0339268	0.0308711	0.0305614	0.0300832	0.0292039	0.0282584	0.0297601	0.0274633	0.027247	0.0269228	0.0263856	0.0258678	0.0250788	0.0242011	0.0280276	0.0237377	0.023611	0.0234053	0.0231603	0.0230618	0.0228925	0.0227013	0.0223867	0.0219686	0.0220575	0.0217299	0.0216391	0.0215364	0.0214036	0.0213107	0.0211923	0.0210475	0.0208665	0.0208077	0.0206778	0.0205104	0.0201825	0.0195501	0.0186866	0.0280379	0.0183914	0.0183293	0.0182271	0.0180705	0.0179784	0.0178197	0.0176498	0.0175984	0.0175461	0.0174619	0.0173777	0.017208	0.016922	0.0169189	0.0167192	0.0165794	0.0165467	0.0164781	0.0163306	0.0160343	0.0154722	0.0158968	0.0227407	0.0145471	0.0144913	0.0144027	0.0143371	0.0142371	0.0141302	0.0139163	0.0135159	0.0128578	0.0209751	0.0144673	0.0126588	0.012315	0.0122492	0.0121458	0.0120493	0.011878	0.0116423	0.0124896	0.0116133	0.0115812	0.0115257	0.0114821	0.0114075	0.0113046	0.0112963	0.0112599	0.0111903	0.0111118	0.010964	0.0110479	0.010862	0.0108045	0.0107942	0.0107613	0.0106901	0.0105433	0.0102501	0.0096841	

213	0.109	1	0	task-3:0.14	task-0:0.42	task-1:0.428	task-2:0.028	|	0.059171	0.0572867	0.0552648	0.0551579	0.05496	0.0547014	0.0542174	0.0535327	0.0562238	0.053846	0.0531968	0.0531832	0.0531652	0.0531425	0.0531029	0.0530373	0.0529916	0.0536627	0.0529774	0.0529754	0.0529675	0.0529498	0.052569	0.0520051	0.0507282	0.0497295	0.0483168	0.0472993	0.0462018	0.0455494	0.0442486	0.0422323	0.0416637	0.0405294	0.0397691	0.0387915	0.0369891	0.0338959	0.0376584	0.0339268	0.0308711	0.0305614	0.0300832	0.0292039	0.0282584	0.0297601	0.0274633	0.027247	0.0269228	0.0263856	0.0258678	0.0250788	0.0242011	0.0280276	0.0237377	0.023611	0.0234053	0.0231603	0.0230618	0.0228925	0.0227013	0.0223867	0.0219686	0.0220575	0.0217299	0.0216391	0.0215364	0.0214036	0.0213107	0.0211923	0.0210475	0.0208665	0.0208077	0.0206778	0.0205104	0.0201825	0.0195501	0.0186866	0.0280379	0.0183914	0.0183293	0.0182271	0.0180705	0.0179784	0.0178197	0.0176498	0.0175984	0.0175461	0.0174619	0.0173777	0.017208	0.016922	0.0169189	0.0167192	0.0165794	0.0165467	0.0164781	0.0163306	0.0160343	0.0154722	0.0158968	0.0227407	0.0145471	0.0144913	0.0144027	0.0143371	0.0142371	0.0141302	0.0139163	0.0135159	0.0128578	0.0209751	0.0144673	0.0126588	0.012315	0.0122492	0.0121458	0.0120493	0.011878	0.0116423	0.0124896	0.0116133	0.0115812	0.0115257	0.0114821	0.0114075	0.0113046	0.0112963	0.0112599	0.0111903	0.0111118	0.010964	0.0110479	0.010862	0.0108045	0.0107942	0.0107613	0.0106901	0.0105433	0.0102501	0.0096841	

89	0.047	1	0	task-3:0.458	task-0:0.22	task-1:0.16	task-2:0.472	|	0.0539954	0.0539373	0.0538272	0.0537388	0.0536817	0.0535705	0.0534337	0.0532295	0.0537567	0.0531955	0.0531123	0.0531069	0.0530928	0.0521247	0.0507039	0.0470698	0.0413893	0.0363594	0.0312509	0.0285144	0.0262004	0.0243447	0.0213694	0.0189808	0.0168756	0.0157193	0.0143474	0.0130444	0.0123278	0.0108786	0.00924274	

