24	0.015	4	0	task-3:0.392	task-0:0.418	task-1:0.35	task-2:0.434	|	0.0581784	0.0840099	0.0811141	0.0633792	0.0551122	0.0551076	0.0552685	0.0551524	0.0544888	0.0549707	0.0548518	0.0543447	0.0540515	0.0538072	0.0536479	0.044959	0.0424298	0.047191	0.049417	0.0482837	0.0478305	0.045969	0.0448545	0.0394083	

58	0.11	4	0	task-3:0.396	task-0:0.336	task-1:0.322	task-2:0.482	|	0.0552695	0.0733442	0.0547014	0.0655381	0.0547501	0.0548014	0.0540649	0.054057	0.0539497	0.0537435	0.0539433	0.0544816	0.054273	0.0538033	0.0539783	0.0540383	0.0537395	0.0535148	0.0534613	0.0533144	0.0532438	0.0532287	0.0532888	0.0536262	0.0545837	0.0541261	0.054424	0.0537858	0.0519683	0.0507452	0.0484107	0.0462447	0.0471657	0.0475564	0.0477163	0.0479647	0.0473456	0.0478434	0.0482129	0.0487979	0.0494356	0.0501395	0.0507945	0.0514482	0.0513251	0.0507754	0.0504392	0.049922	0.0492575	0.0483314	0.0471534	0.045656	0.0446234	0.0437968	0.0424947	0.040972	0.0401873	0.0389308	

59	0.093	4	0	task-3:0.488	task-0:0.376	task-1:0.354	task-2:0.482	|	0.062328	0.0815096	0.0785515	0.0605923	0.0563387	0.0563404	0.0546815	0.0547956	0.0546741	0.0546439	0.0542455	0.0540638	0.0535975	0.0528072	0.0520338	0.0514338	0.0507233	0.0500559	0.049478	0.048746	0.0482284	0.0478903	0.0475297	0.0468181	0.045988	0.0444407	0.044224	0.0438471	0.0437345	0.0454605	0.0452316	0.0441161	0.0438314	0.04386	0.044067	0.0442495	0.0443549	0.0441587	0.0441317	0.0443106	0.0445473	0.0449907	0.0450018	0.0456688	0.0449037	0.0440615	0.0438299	0.043636	0.0433486	0.0430384	0.0426025	0.0421975	0.0417278	0.041469	0.0413098	0.0407969	0.0403725	0.0400494	0.0399693	

42	0.063	4	0	task-3:0.442	task-0:0.348	task-1:0.24	task-2:0.482	|	0.0602335	0.0946474	0.0941317	0.0772454	0.0545383	0.0686098	0.0646983	0.0577215	0.0545892	0.054584	0.055061	0.0550986	0.054656	0.0546076	0.0546067	0.0545376	0.0546457	0.054929	0.0560774	0.055714	0.0548875	0.0548409	0.0550239	0.0549962	0.0546631	0.0539257	0.053529	0.0526894	0.0514772	0.0505776	0.0496144	0.0485415	0.0474674	0.0467064	0.0455435	0.0446521	0.044382	0.0437991	0.0431266	0.042025	0.0401783	0.0389848	

59	0.11	4	0	task-3:0.488	task-0:0.376	task-1:0.354	task-2:0.482	|	0.062328	0.0815096	0.0785515	0.0605923	0.0563387	0.0563404	0.0546815	0.0547956	0.0546741	0.0546439	0.0542455	0.0540638	0.0535975	0.0528072	0.0520338	0.0514338	0.0507233	0.0500559	0.049478	0.048746	0.0482284	0.0478903	0.0475297	0.0468181	0.045988	0.0444407	0.044224	0.0438471	0.0437345	0.0454605	0.0452316	0.0441161	0.0438314	0.04386	0.044067	0.0442495	0.0443549	0.0441587	0.0441317	0.0443106	0.0445473	0.0449907	0.0450018	0.0456688	0.0449037	0.0440615	0.0438299	0.043636	0.0433486	0.0430384	0.0426025	0.0421975	0.0417278	0.041469	0.0413098	0.0407969	0.0403725	0.0400494	0.0399693	

68	0.109	4	0	task-3:0.192	task-0:0.35	task-1:0.3	task-2:0.48	|	0.0675672	0.0762042	0.0704149	0.0552172	0.0677097	0.0677097	0.0566593	0.0563101	0.0564408	0.0545192	0.057415	0.0574322	0.0552475	0.0545566	0.0545631	0.0546149	0.0546171	0.0545106	0.054545	0.0544903	0.0543519	0.0543268	0.0542637	0.0542121	0.0541478	0.0541634	0.054042	0.0539948	0.0539617	0.0539065	0.0538219	0.0537444	0.0536473	0.0535518	0.0534565	0.0533242	0.0531773	0.0530173	0.0528203	0.0525916	0.0523261	0.0520246	0.0518596	0.0515502	0.0511874	0.0509098	0.0505333	0.0501581	0.0498217	0.0493512	0.0488695	0.0483523	0.0478219	0.0472085	0.046529	0.0458079	0.0450357	0.0441878	0.0432518	0.0422491	0.0414975	0.041045	0.0415398	0.0411486	0.0404244	0.0401567	0.0400263	0.0396428	

118	0.172	4	0	task-3:0.364	task-0:0.438	task-1:0.432	task-2:0.396	|	0.0562581	0.0917486	0.0908254	0.0713821	0.0548164	0.0554041	0.0568189	0.0560345	0.0555676	0.055608	0.0547193	0.0547868	0.0550448	0.0549566	0.0553496	0.0563034	0.0584171	0.0562914	0.0558618	0.0554126	0.0550989	0.05482	0.0539018	0.0539879	0.0536524	0.0528994	0.0517483	0.0505452	0.052273	0.0545704	0.0556626	0.060405	0.0579569	0.0551846	0.0545566	0.0536646	0.052916	0.0527205	0.0524944	0.052385	0.0521461	0.0519008	0.0517373	0.0516728	0.0516647	0.0517048	0.0518269	0.0519581	0.0516215	0.0512606	0.0509401	0.0506854	0.0504464	0.050307	0.0501186	0.0499467	0.0497213	0.0495433	0.0493612	0.049609	0.0492767	0.049409	0.0493928	0.049184	0.0491598	0.0491259	0.0490658	0.0489924	0.0489262	0.0488604	0.0487632	0.048677	0.0486123	0.0485227	0.0484229	0.0483162	0.0483678	0.0482341	0.0481453	0.0480909	0.0480311	0.0479579	0.0478938	0.0478199	0.0477372	0.0476124	0.0475133	0.0473991	0.0472643	0.0471249	0.0469916	0.046911	0.0467727	0.0466562	0.0464818	0.0462951	0.0459883	0.0456505	0.0452398	0.0449256	0.0444651	0.0439929	0.0435879	0.043172	0.0429671	0.0425832	0.0421818	0.0417772	0.0414929	0.0410759	0.0408534	0.0409014	0.0406273	0.0403581	0.0403799	0.040186	0.0400167	0.0399078	

118	0.093	4	0	task-3:0.364	task-0:0.438	task-1:0.432	task-2:0.396	|	0.0562581	0.0917486	0.0908254	0.0713821	0.0548164	0.0554041	0.0568189	0.0560345	0.0555676	0.055608	0.0547193	0.0547868	0.0550448	0.0549566	0.0553496	0.0563034	0.0584171	0.0562914	0.0558618	0.0554126	0.0550989	0.05482	0.0539018	0.0539879	0.0536524	0.0528994	0.0517483	0.0505452	0.052273	0.0545704	0.0556626	0.060405	0.0579569	0.0551846	0.0545566	0.0536646	0.052916	0.0527205	0.0524944	0.052385	0.0521461	0.0519008	0.0517373	0.0516728	0.0516647	0.0517048	0.0518269	0.0519581	0.0516215	0.0512606	0.0509401	0.0506854	0.0504464	0.050307	0.0501186	0.0499467	0.0497213	0.0495433	0.0493612	0.049609	0.0492767	0.049409	0.0493928	0.049184	0.0491598	0.0491259	0.0490658	0.0489924	0.0489262	0.0488604	0.0487632	0.048677	0.0486123	0.0485227	0.0484229	0.0483162	0.0483678	0.0482341	0.0481453	0.0480909	0.0480311	0.0479579	0.0478938	0.0478199	0.0477372	0.0476124	0.0475133	0.0473991	0.0472643	0.0471249	0.0469916	0.046911	0.0467727	0.0466562	0.0464818	0.0462951	0.0459883	0.0456505	0.0452398	0.0449256	0.0444651	0.0439929	0.0435879	0.043172	0.0429671	0.0425832	0.0421818	0.0417772	0.0414929	0.0410759	0.0408534	0.0409014	0.0406273	0.0403581	0.0403799	0.040186	0.0400167	0.0399078	

102	0.094	4	0	task-3:0.528	task-0:0.354	task-1:0.474	task-2:0.498	|	0.0705349	0.0829077	0.0821069	0.0594182	0.0573613	0.0573463	0.0543628	0.054459	0.0554589	0.0555617	0.0545786	0.0544478	0.0545347	0.0543591	0.0545508	0.0550795	0.0555755	0.058076	0.056532	0.0548846	0.0547244	0.0544694	0.054015	0.0537551	0.0536748	0.0537029	0.0537047	0.0537033	0.0538779	0.0539255	0.0538834	0.0538345	0.0537254	0.0535899	0.0534376	0.0532603	0.0529803	0.0525868	0.0520767	0.0514141	0.0505225	0.0494089	0.0482585	0.0482714	0.0472138	0.0456708	0.0452275	0.0462802	0.0453957	0.0458464	0.0481316	0.0462544	0.0465349	0.0462924	0.0453717	0.0452349	0.0455724	0.0453733	0.0458596	0.0467575	0.0483792	0.0501071	0.0487567	0.0488363	0.0496222	0.050921	0.0527783	0.0554123	0.0589767	0.0548368	0.051674	0.0512929	0.0517047	0.0513696	0.0510097	0.0501975	0.0491737	0.0485468	0.0474748	0.0465803	0.0461351	0.0462621	0.0462477	0.0465362	0.0460919	0.0455739	0.0462978	0.0462888	0.0459445	0.0450201	0.0449386	0.0454281	0.045268	0.0448891	0.0444105	0.0438226	0.0431806	0.0432178	0.0428179	0.0422478	0.040586	0.0387472	

