52	0.014	1	0	task-0:0.034	|	0.144962	0.0169219	0.00115189	1.05783e-005	4.2885e-009	1.95921e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.015	1	0	task-0:0.034	|	0.387746	0.0241702	0.000183323	5.43507e-007	5.35248e-010	1.33573e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.022	1	0	task-0:0.034	|	0.0759681	0.0027592	2.21973e-005	6.71548e-008	6.62054e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.016	1	0	task-0:0.034	|	0.2796	0.0662228	0.00811118	0.000325894	1.3721e-006	5.64227e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.015	1	0	task-0:0.034	|	0.494359	0.172315	0.0279904	0.00117561	3.63754e-006	1.62829e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.015	1	0	task-0:0.034	|	0.431063	0.0839888	0.00790009	9.89793e-005	5.05226e-008	2.66103e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.014	1	0	task-0:0.034	|	0.443103	0.083467	0.00802555	0.000104327	7.30284e-008	5.05136e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.015	1	0	task-0:0.034	|	0.336665	0.0207984	0.000129332	3.66656e-007	3.59483e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.014	1	0	task-0:0.034	|	0.344439	0.0453447	0.00303348	2.09087e-005	9.66122e-009	8.44023e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.015	1	0	task-0:0.034	|	0.110391	0.00276896	1.81104e-005	5.37761e-008	5.30768e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.015	1	0	task-0:0.034	|	0.0698228	0.00223863	1.5828e-005	4.71849e-008	4.65464e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.018	1	0	task-0:0.034	|	0.11397	0.0151233	0.000922544	4.87799e-006	1.41659e-009	3.19592e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.014	1	0	task-0:0.034	|	0.0628163	0.00158692	1.25036e-005	3.84606e-008	3.80953e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

