3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0582233	0.0324087	0.00342891	0.00151911	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.062451	0.0359959	0.00451769	0.00188556	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0871583	0.0496678	0.00427751	0.0019291	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0273011	0.0169096	0.00371621	0.00141808	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0867173	0.0495056	0.00442951	0.00198417	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0851505	0.0494215	0.00429168	0.00184084	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.056522	0.0328037	0.00471539	0.00196816	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0698559	0.0386312	0.00358806	0.00165084	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0699413	0.0398256	0.00461031	0.00200873	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0272103	0.0172252	0.00403362	0.00149759	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0210404	0.0139995	0.00393767	0.00136866	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0556737	0.0320178	0.00450415	0.00191208	

3	0.002	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.107603	0.0666074	0.00567661	0.00217925	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0841157	0.0505452	0.00563655	0.00212998	

3	0.001	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0618495	0.0356889	0.00431134	0.00181452	

