3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0280625	0.016382	0.00306971	0.00130055	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0164765	0.0107882	0.00304693	0.0011236	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.02762	0.0162681	0.00314186	0.00132742	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0296615	0.0167359	0.00281179	0.00123705	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0239375	0.0141123	0.00276323	0.00113629	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0589491	0.0295744	0.00238651	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0157798	0.0106827	0.00333726	0.00119596	

2	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0920574	0.0475854	0.00221904	

3	0.002	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0488906	0.025712	0.00290935	0.00140568	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.106822	0.0599429	0.00279772	0.00142599	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.10229	0.0563863	0.00316674	0.00162691	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0970064	0.0508671	0.00260487	0.00144913	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.147428	0.104639	0.0089035	0.00218506	

3	0.001	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0260644	0.0148545	0.00255517	0.00108673	

