2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.13284	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.370801	0.03	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0360611	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.251612	0.03	

2	0.016	48	0	task-3:0.95	task-0:0.195	task-1:0.775	task-2:0.035	|	0.326183	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.239885	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.711951	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.827095	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.210703	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.194166	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.487276	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.900173	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.101729	0.03	

1	0.016	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.029382	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.849187	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.867989	0.03	

2	0.032	48	0	task-3:0.95	task-0:0.805	task-1:0.225	task-2:0.035	|	0.30576	0.03	

2	0.015	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0943632	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.324386	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0895298	0.03	

2	0.031	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.551397	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0465472	0.03	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0303676	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.311025	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.792446	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.731753	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.63414	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.62296	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.228411	0.03	

2	0.031	48	0	task-3:0.95	task-0:0.805	task-1:0.225	task-2:0.035	|	0.508257	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.67834	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.742074	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.191685	0.03	

2	0.032	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.902892	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.286802	0.03	

1	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0294729	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0338434	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.0427177	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.51339	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.134133	0.03	

2	0.031	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.478979	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.369176	0.03	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0292177	

1	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0327618	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.941922	0.03	

2	0.031	48	0	task-3:0.95	task-0:0.195	task-1:0.225	task-2:0.035	|	0.443076	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.484537	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.960725	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.183511	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.538298	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.911661	0.03	

