53	0.047	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.063	1	0	task-0:0.47	|	0.281775	0.221413	0.219848	0.216827	0.190299	0.185766	0.168825	0.184105	0.177039	0.180214	0.180214	0.173052	0.173777	0.175276	0.177731	0.179592	0.182083	0.185808	0.187095	0.19019	0.191344	0.192121	0.193884	0.194827	0.195236	0.19481	0.194521	0.193991	0.193742	0.193578	0.193715	0.193951	0.194236	0.194579	0.194992	0.195463	0.195639	0.195801	0.195888	0.195914	0.195903	0.195886	0.195886	0.195892	0.195903	0.195874	0.195855	0.195837	0.195825	0.195809	0.195794	0.195777	0.195756	

53	0.047	1	0	task-0:0.47	|	0.277072	0.223922	0.22382	0.227576	0.227574	0.222433	0.224733	0.224733	0.222572	0.222678	0.222678	0.222223	0.222731	0.222731	0.222341	0.222234	0.222234	0.222236	0.222236	0.222222	0.22224	0.22224	0.222226	0.222223	0.222223	0.222223	0.222223	0.222222	0.222223	0.222223	0.222221	0.222202	0.22167	0.211328	0.215181	0.210403	0.213815	0.220869	0.221742	0.221922	0.22201	0.222049	0.222054	0.222022	0.22192	0.221616	0.220542	0.216144	0.219772	0.221975	0.22214	0.222169	0.222183	

53	0.047	1	0	task-0:0.47	|	0.281775	0.221413	0.219848	0.216827	0.190299	0.185766	0.168825	0.184105	0.177039	0.180214	0.180214	0.173052	0.173777	0.175276	0.177731	0.179592	0.182083	0.185808	0.187095	0.19019	0.191344	0.192121	0.193884	0.194827	0.195236	0.19481	0.194521	0.193991	0.193742	0.193578	0.193715	0.193951	0.194236	0.194579	0.194992	0.195463	0.195639	0.195801	0.195888	0.195914	0.195903	0.195886	0.195886	0.195892	0.195903	0.195874	0.195855	0.195837	0.195825	0.195809	0.195794	0.195777	0.195756	

61	0.062	1	0	task-0:0.47	|	0.227774	0.281822	0.276695	0.218825	0.239079	0.239079	0.212615	0.216005	0.212945	0.206091	0.206458	0.203381	0.198408	0.195376	0.191519	0.186428	0.181301	0.172706	0.16504	0.160506	0.157304	0.155276	0.154637	0.1554	0.157542	0.159229	0.160721	0.16303	0.165974	0.169637	0.174414	0.181148	0.185717	0.18602	0.190015	0.190015	0.186471	0.186245	0.186245	0.185871	0.18672	0.18672	0.186105	0.185421	0.185255	0.185446	0.18529	0.185085	0.184762	0.184375	0.183916	0.183365	0.183129	0.18267	0.182374	0.182178	0.181967	0.181789	0.181631	0.181441	0.181314	

61	0.016	1	0	task-0:0.47	|	0.227774	0.281822	0.276695	0.218825	0.239079	0.239079	0.212615	0.216005	0.212945	0.206091	0.206458	0.203381	0.198408	0.195376	0.191519	0.186428	0.181301	0.172706	0.16504	0.160506	0.157304	0.155276	0.154637	0.1554	0.157542	0.159229	0.160721	0.16303	0.165974	0.169637	0.174414	0.181148	0.185717	0.18602	0.190015	0.190015	0.186471	0.186245	0.186245	0.185871	0.18672	0.18672	0.186105	0.185421	0.185255	0.185446	0.18529	0.185085	0.184762	0.184375	0.183916	0.183365	0.183129	0.18267	0.182374	0.182178	0.181967	0.181789	0.181631	0.181441	0.181314	

55	0.016	1	0	task-0:0.47	|	0.224583	0.280502	0.27168	0.21256	0.218402	0.212863	0.197731	0.198427	0.191003	0.186871	0.183739	0.181065	0.17826	0.175119	0.171683	0.168228	0.165934	0.166008	0.165912	0.166275	0.167695	0.169205	0.170345	0.171622	0.173435	0.176082	0.179707	0.180224	0.181602	0.183604	0.183946	0.184673	0.185813	0.187175	0.187561	0.188028	0.188849	0.18913	0.189407	0.189654	0.189628	0.189461	0.189323	0.189301	0.189348	0.189403	0.189326	0.189241	0.189111	0.189045	0.189003	0.188954	0.188907	0.188847	0.188777	

57	0.016	1	0	task-0:0.47	|	0.425381	0.233013	0.249651	0.244212	0.222734	0.242234	0.242054	0.224379	0.223583	0.223394	0.220815	0.223049	0.22146	0.217466	0.215444	0.213941	0.212347	0.21102	0.208948	0.206628	0.205381	0.204883	0.204671	0.204928	0.205315	0.206089	0.206977	0.207782	0.208426	0.208868	0.209187	0.209494	0.209948	0.210728	0.212031	0.214128	0.216154	0.218144	0.219966	0.221307	0.222055	0.222299	0.222331	0.222283	0.22222	0.222186	0.222229	0.22225	0.222228	0.222226	0.222226	0.222222	0.222222	0.222223	0.222223	0.222222	0.222222	

61	0.015	1	0	task-0:0.47	|	0.232272	0.27413	0.260106	0.211772	0.233739	0.225967	0.201503	0.209488	0.205366	0.196571	0.194279	0.191142	0.188243	0.184951	0.180411	0.17537	0.170179	0.164368	0.158373	0.154568	0.151875	0.152067	0.154555	0.155917	0.157589	0.160477	0.164987	0.171245	0.175688	0.176415	0.18028	0.181803	0.185084	0.18894	0.193375	0.196693	0.197133	0.197832	0.197832	0.196983	0.196185	0.195795	0.194997	0.194535	0.193809	0.192952	0.192536	0.191792	0.191412	0.190749	0.18996	0.189559	0.189298	0.189164	0.189098	0.188809	0.188612	0.188355	0.188237	0.188082	0.187923	

53	0.016	1	0	task-0:0.47	|	0.306349	0.222959	0.222933	0.229696	0.229633	0.222535	0.223124	0.22266	0.220824	0.222175	0.221831	0.219694	0.217455	0.216353	0.216336	0.21721	0.216766	0.215571	0.215459	0.215943	0.216333	0.216322	0.216147	0.216035	0.21641	0.21711	0.217842	0.218657	0.219537	0.220385	0.221103	0.22163	0.221957	0.222123	0.22219	0.222209	0.222222	0.222224	0.222224	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

57	0.015	1	0	task-0:0.47	|	0.222483	0.401807	0.390133	0.261567	0.219467	0.211178	0.195533	0.18477	0.165527	0.165552	0.160988	0.161534	0.161534	0.156435	0.162167	0.161888	0.158181	0.158262	0.159173	0.160218	0.161939	0.163706	0.165799	0.168298	0.17189	0.173558	0.176807	0.180611	0.185168	0.186468	0.187537	0.1898	0.191434	0.191334	0.191774	0.191247	0.191253	0.190744	0.190031	0.189215	0.188167	0.186922	0.18541	0.184555	0.184076	0.183828	0.183652	0.183413	0.183176	0.182889	0.182566	0.182511	0.182337	0.182363	0.182492	0.182659	0.182716	

56	0.016	1	0	task-0:0.47	|	0.243544	0.276328	0.276328	0.230686	0.260002	0.260002	0.224889	0.234145	0.233676	0.223259	0.226902	0.226902	0.222408	0.223672	0.223541	0.222004	0.222499	0.222429	0.221607	0.221218	0.22087	0.220392	0.219683	0.218591	0.216951	0.21453	0.211205	0.207242	0.202803	0.197825	0.192887	0.188599	0.185537	0.182849	0.179664	0.175748	0.171759	0.167896	0.162704	0.160516	0.15888	0.158113	0.158363	0.160437	0.162528	0.165527	0.169829	0.177211	0.186254	0.187265	0.18945	0.193278	0.195583	0.196092	0.196464	0.196166	

