51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0303629	0.000131494	3.18291e-008	2.88693e-011	1.16387e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36316e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.037171	0.00252854	4.36925e-005	5.79359e-007	6.78489e-009	7.16109e-012	0	0	0	0	0	0	0	4.87995e-015	0	0	0	0	0	0	3.43859e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.018726	0.000169677	1.64725e-006	9.25111e-009	4.65994e-011	2.84614e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0277296	0.000153364	1.4625e-006	2.72984e-008	1.2807e-009	1.10271e-010	2.21969e-013	0	5.05317e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0116723	0.00226293	6.53726e-005	1.13869e-005	7.81487e-007	7.40599e-009	6.18641e-012	0	0	0	0	0	0	4.77275e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.802	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0427998	0.000700452	1.57817e-006	1.03525e-008	1.90376e-011	0	0	0	0	0	0	0	0	0	0	0	0	5.19953e-015	0	0	0	4.91785e-015	0	0	2.11997e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0120332	4.36077e-006	3.27567e-010	1.72655e-013	1.74059e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.59568e-015	0	0	3.78881e-015	0	0	3.72984e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0662113	0.00335443	4.81888e-005	2.6794e-007	1.15195e-009	6.59599e-013	0	0	0	0	0	0	0	0	2.57279e-015	0	0	0	0	6.01631e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

