94	0.047	1	0	task-3:0.438	task-0:0.094	task-1:0.062	task-2:0.424	|	0.0726171	0.0660262	0.0542887	0.0539144	0.0538532	0.0538121	0.0537131	0.0535249	0.0532639	0.0533274	0.05325	0.0531256	0.053112	0.0530894	0.0530638	0.0530406	0.0529971	0.0529473	0.0531715	0.0529315	0.0529273	0.0529189	0.0529051	0.0528808	0.0523812	0.0516778	0.0497015	0.0459187	0.0410555	0.0380096	0.0350211	0.0327635	0.0289322	0.0242162	0.0215129	0.0198189	0.0191687	0.0184893	0.0179786	0.0170503	0.0154386	0.0132787	0.0161317	0.0127514	0.0121128	0.0119842	0.0117057	0.0111647	0.010328	0.00906672	0.00717405	0.0112148	0.0128646	0.00594221	

177	0.078	1	0	task-3:0.134	task-0:0.414	task-1:0.436	task-2:0.146	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0527374	0.0521975	0.0508849	0.0490272	0.0470511	0.0459925	0.0437334	0.0396757	0.0410706	0.041211	0.035187	0.0345602	0.0341973	0.0336231	0.0328944	0.031837	0.0302318	0.0308249	0.0298318	0.0284903	0.0282679	0.0279197	0.0272684	0.0266117	0.0275001	0.0260995	0.0259522	0.0256398	0.0250707	0.0241933	0.022901	0.0291516	0.0223865	0.0222862	0.0222118	0.0220758	0.021905	0.0216165	0.0212069	0.0204883	0.0193715	0.028709	0.0189911	0.0187727	0.0186977	0.0186168	0.018539	0.0184454	0.0183362	0.0181693	0.0180833	0.0179707	0.0177934	0.0177151	0.0176557	0.0175333	0.0174106	0.0172586	0.017121	0.0170639	0.0169971	0.0169375	0.0168881	0.0167753	0.0165876	0.0165158	0.0164414	0.0163493	0.0163121	0.0162763	0.0162175	0.0161228	0.0159725	0.0159512	0.0157987	0.0157573	0.0157313	0.0156609	0.0155642	0.0155059	0.0154529	0.0153384	0.0152478	0.0150765	0.0149115	0.0154168	0.0147886	0.0147409	0.0146648	0.0145461	0.0143552	0.0144509	

103	0.047	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.047	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.062	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.047	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.047	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.047	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.063	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

103	0.046	1	0	task-3:0.456	task-0:0.202	task-1:0.078	task-2:0.476	|	0.057959	0.0576307	0.0570093	0.0564209	0.0554105	0.0543445	0.0543569	0.054032	0.0539672	0.0539314	0.0538649	0.0537728	0.0535928	0.0532947	0.0537819	0.0536478	0.0530648	0.0530555	0.053034	0.0529915	0.0529194	0.0529309	0.0539127	0.0528407	0.0528397	0.0528375	0.0528335	0.0528282	0.0528305	0.0520527	0.0509335	0.0480525	0.0436986	0.0400551	0.0359703	0.032737	0.0307277	0.0295627	0.026724	0.0221274	0.0188071	0.0195481	0.0173793	0.0167199	0.0158572	0.0143552	0.0120686	0.0100812	0.0104488	0.00908539	

