3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0467445	0.0385667	0.0175344	0.00107219	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0342623	0.0272548	0.0116633	0.00156072	

4	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0616353	0.054209	0.0305643	0.00251893	0.00105575	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00568719	0.00498049	0.00333756	0.00128055	

3	0.015	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0307642	0.0243635	0.0105034	0.00163034	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0284899	0.0224813	0.00970137	0.00165246	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0191867	0.0153747	0.00741735	0.00156448	

3	0	0	0	task-3:0.214	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0136035	0.011123	0.00588618	0.00137046	

3	0.016	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0329806	0.0262843	0.0113878	0.00151015	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0274771	0.021702	0.00947897	0.00167144	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0140875	0.0114751	0.00598752	0.00139119	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0448915	0.037019	0.0170543	0.00113769	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0107344	0.00893022	0.00504784	0.00122699	

3	0	0	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0288296	0.0227874	0.00985712	0.00162577	

