3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0638073	0.0529012	0.0197196	0.000457148	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0285818	0.0200072	0.00563243	0.00169959	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0603176	0.0490811	0.0170022	0.000399567	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0704097	0.0614446	0.0287922	0.000669617	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0180258	0.0127192	0.00400878	0.00123243	

3	0.016	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.04287	0.0314485	0.00783813	0.00128946	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0346264	0.0247247	0.00707423	0.00200536	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00862457	0.00695297	0.00365878	0.00112992	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0496893	0.0373571	0.0101796	0.00161216	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.00494636	0.00419288	0.00257181	0.000838747	

3	0.015	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0291975	0.0202293	0.00501882	0.00136021	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.0598503	0.0485661	0.0166912	0.000439995	

3	0	0	0	task-3:0.226	task-0:0.034	task-1:0.05	task-2:0.194	|	0.043294	0.0317107	0.00843519	0.0016077	

